method,paper_name,solved,total,actual_mean_time,actual_median_time,capped_mean_time,capped_median_time
one_shot,One-shot,48,200,47.66469374202754,60.29197563101451,47.43418947941043,60.0
online,Online-Consistent Selector,53,200,46.3236018911141,60.38336779825847,46.036268631942114,60.0
old_compact,Old Compact,54,200,46.277745955079396,60.37635132858785,45.99365547763264,60.0
local,+ Local Boundary Correction,54,200,45.91385553458355,60.37747524799856,45.63183440839719,60.0
cadical,CaDiCaL,75,200,42.92442253967514,60.0,42.92442253967514,60.0
