file_key,one_shot_solved,one_shot_time_mean,cadical_solved,cadical_time,pattern,method,paper_name,parallel_solved,parallel_time,winner,online_solved,online_time_mean,old_compact_solved,old_compact_time_mean,local_correction_solved,local_correction_time_mean
3sat_146.cnf,False,60.29837882461548,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_147.cnf,True,13.459145491282143,False,60.0,1111,one_shot,One-shot,True,13.459145491282143,one_shot,,,,,,
3sat_148.cnf,False,60.296212157948816,True,26.65602825814858,0000,one_shot,One-shot,True,26.65602825814858,cadical,,,,,,
3sat_149.cnf,True,4.138948824615478,True,9.47403134033084,1111,one_shot,One-shot,True,4.138948824615478,one_shot,,,,,,
3sat_15.cnf,False,60.28451215794882,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_150.cnf,True,0.7180564912821451,True,0.6038581440225244,1111,one_shot,One-shot,True,0.6038581440225244,cadical,,,,,,
3sat_151.cnf,False,60.29974549128215,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_152.cnf,False,60.2885935643514,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_153.cnf,False,60.29346023101807,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_154.cnf,True,1.7204268976847332,True,2.75419194623828,1111,one_shot,One-shot,True,1.7204268976847332,one_shot,,,,,,
3sat_155.cnf,False,60.3073935643514,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_156.cnf,False,60.29379356435141,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_157.cnf,True,3.2543535643514,True,6.270832111127675,1111,one_shot,One-shot,True,3.2543535643514,one_shot,,,,,,
3sat_158.cnf,False,60.3013935643514,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_159.cnf,False,60.29456023101807,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_16.cnf,False,60.29506023101806,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_160.cnf,False,60.30616023101808,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_161.cnf,False,60.317221690368655,True,35.81325959926471,0000,one_shot,One-shot,True,35.81325959926471,cadical,,,,,,
3sat_162.cnf,False,60.31305502370199,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_163.cnf,False,60.333221690368646,True,18.501433050259948,0111,one_shot,One-shot,True,18.501433050259948,cadical,,,,,,
3sat_164.cnf,False,60.32135502370198,True,26.31007248768583,0000,one_shot,One-shot,True,26.31007248768583,cadical,,,,,,
3sat_165.cnf,True,0.4920106903686523,True,5.116305225994438,1111,one_shot,One-shot,True,0.4920106903686523,one_shot,,,,,,
3sat_166.cnf,False,60.326621690368654,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
