Unnamed: 0,restarts,conflicts,decisions,propagations,CPU time,Result,cnf_id,sample_id,file,final GPU time,refinement CPU time,refinement GPU time,GPU time,time,file_key,method,paper_name,repeat,solved,timeout,raw_csv
0,2.0,1461679.0,1668116.0,81470402.0,59.9738,INDETERMINATE,0,0,data/test/3sat/400/3sat_0.cnf,0.299232006072998,0.0,0.0,0.299232006072998,60.273032006073,3sat_0.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
1,1.0,73715.0,85712.0,4316774.0,2.57745,SATISFIABLE,1,0,data/test/3sat/400/3sat_1.cnf,0.299232006072998,0.0,0.0,0.299232006072998,2.876682006072998,3sat_1.cnf,one_shot,One-shot,0,True,False,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
2,2.0,1591319.0,1816987.0,89724659.0,59.9689,INDETERMINATE,2,0,data/test/3sat/400/3sat_10.cnf,0.299232006072998,0.0,0.0,0.299232006072998,60.268132006073,3sat_10.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
3,1.0,3392.0,4166.0,213902.0,0.0686,SATISFIABLE,3,0,data/test/3sat/400/3sat_100.cnf,0.299232006072998,0.0,0.0,0.299232006072998,0.367832006072998,3sat_100.cnf,one_shot,One-shot,0,True,False,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
4,2.0,1443895.0,1650087.0,81115272.0,59.9906,INDETERMINATE,4,0,data/test/3sat/400/3sat_101.cnf,0.299232006072998,0.0,0.0,0.299232006072998,60.289832006073,3sat_101.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
5,2.0,1563680.0,1807809.0,89413657.0,59.986,INDETERMINATE,5,0,data/test/3sat/400/3sat_102.cnf,0.299232006072998,0.0,0.0,0.299232006072998,60.285232006073,3sat_102.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
6,2.0,1573384.0,1808526.0,89275812.0,59.9788,INDETERMINATE,6,0,data/test/3sat/400/3sat_103.cnf,0.299232006072998,0.0,0.0,0.299232006072998,60.278032006073,3sat_103.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
7,2.0,1462820.0,1671171.0,81319904.0,59.9752,INDETERMINATE,7,0,data/test/3sat/400/3sat_104.cnf,0.299232006072998,0.0,0.0,0.299232006072998,60.274432006073,3sat_104.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
8,2.0,1531726.0,1742617.0,87646346.0,59.9609,INDETERMINATE,8,0,data/test/3sat/400/3sat_105.cnf,0.299232006072998,0.0,0.0,0.299232006072998,60.260132006073,3sat_105.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
9,2.0,1414524.0,1617608.0,78831678.0,59.982,INDETERMINATE,9,0,data/test/3sat/400/3sat_106.cnf,0.299232006072998,0.0,0.0,0.299232006072998,60.281232006073,3sat_106.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
10,2.0,1356455.0,1558370.0,77428113.0,59.9638,INDETERMINATE,10,0,data/test/3sat/400/3sat_107.cnf,0.2920982837677002,0.0,0.0,0.2920982837677002,60.2558982837677,3sat_107.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
11,2.0,1466296.0,1688911.0,82123440.0,59.9765,INDETERMINATE,11,0,data/test/3sat/400/3sat_108.cnf,0.2920982837677002,0.0,0.0,0.2920982837677002,60.2685982837677,3sat_108.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
12,2.0,1528716.0,1751654.0,85639672.0,59.9575,INDETERMINATE,12,0,data/test/3sat/400/3sat_109.cnf,0.2920982837677002,0.0,0.0,0.2920982837677002,60.2495982837677,3sat_109.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
13,1.0,40661.0,47692.0,2496556.0,1.35306,SATISFIABLE,13,0,data/test/3sat/400/3sat_11.cnf,0.2920982837677002,0.0,0.0,0.2920982837677002,1.6451582837677,3sat_11.cnf,one_shot,One-shot,0,True,False,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
14,2.0,1474825.0,1692629.0,85290406.0,59.9718,INDETERMINATE,14,0,data/test/3sat/400/3sat_110.cnf,0.2920982837677002,0.0,0.0,0.2920982837677002,60.2638982837677,3sat_110.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
15,2.0,1476736.0,1693966.0,86185333.0,59.9923,INDETERMINATE,15,0,data/test/3sat/400/3sat_111.cnf,0.2920982837677002,0.0,0.0,0.2920982837677002,60.2843982837677,3sat_111.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
16,2.0,1526659.0,1734834.0,88246240.0,59.9705,INDETERMINATE,16,0,data/test/3sat/400/3sat_112.cnf,0.2920982837677002,0.0,0.0,0.2920982837677002,60.2625982837677,3sat_112.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
17,2.0,1423580.0,1615249.0,81561632.0,59.9759,INDETERMINATE,17,0,data/test/3sat/400/3sat_113.cnf,0.2920982837677002,0.0,0.0,0.2920982837677002,60.2679982837677,3sat_113.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
18,2.0,1458256.0,1674641.0,82495983.0,59.9734,INDETERMINATE,18,0,data/test/3sat/400/3sat_114.cnf,0.2920982837677002,0.0,0.0,0.2920982837677002,60.2654982837677,3sat_114.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
19,2.0,1372258.0,1567152.0,77530395.0,59.9856,INDETERMINATE,19,0,data/test/3sat/400/3sat_115.cnf,0.2920982837677002,0.0,0.0,0.2920982837677002,60.2776982837677,3sat_115.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
20,2.0,1478475.0,1682922.0,82549385.0,59.9726,INDETERMINATE,20,0,data/test/3sat/400/3sat_116.cnf,0.2787117958068847,0.0,0.0,0.2787117958068847,60.251311795806885,3sat_116.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
21,2.0,1451515.0,1661463.0,81095045.0,59.9758,INDETERMINATE,21,0,data/test/3sat/400/3sat_117.cnf,0.2787117958068847,0.0,0.0,0.2787117958068847,60.25451179580688,3sat_117.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
22,2.0,1491288.0,1705015.0,83880502.0,59.9765,INDETERMINATE,22,0,data/test/3sat/400/3sat_118.cnf,0.2787117958068847,0.0,0.0,0.2787117958068847,60.255211795806886,3sat_118.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
23,2.0,1493708.0,1708068.0,82675305.0,59.9909,INDETERMINATE,23,0,data/test/3sat/400/3sat_119.cnf,0.2787117958068847,0.0,0.0,0.2787117958068847,60.26961179580689,3sat_119.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
24,2.0,1423165.0,1627697.0,79938892.0,59.9806,INDETERMINATE,24,0,data/test/3sat/400/3sat_12.cnf,0.2787117958068847,0.0,0.0,0.2787117958068847,60.25931179580689,3sat_12.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
25,1.0,75813.0,87762.0,4687360.0,2.93774,SATISFIABLE,25,0,data/test/3sat/400/3sat_120.cnf,0.2787117958068847,0.0,0.0,0.2787117958068847,3.216451795806885,3sat_120.cnf,one_shot,One-shot,0,True,False,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
26,1.0,47329.0,54623.0,2823769.0,1.40555,SATISFIABLE,26,0,data/test/3sat/400/3sat_121.cnf,0.2787117958068847,0.0,0.0,0.2787117958068847,1.6842617958068848,3sat_121.cnf,one_shot,One-shot,0,True,False,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
27,2.0,1466804.0,1677971.0,83878155.0,59.9805,INDETERMINATE,27,0,data/test/3sat/400/3sat_122.cnf,0.2787117958068847,0.0,0.0,0.2787117958068847,60.25921179580688,3sat_122.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
28,2.0,1477100.0,1680290.0,84160249.0,59.9844,INDETERMINATE,28,0,data/test/3sat/400/3sat_123.cnf,0.2787117958068847,0.0,0.0,0.2787117958068847,60.263111795806886,3sat_123.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
29,1.0,654.0,900.0,43163.0,0.009285,SATISFIABLE,29,0,data/test/3sat/400/3sat_124.cnf,0.2787117958068847,0.0,0.0,0.2787117958068847,0.2879967958068847,3sat_124.cnf,one_shot,One-shot,0,True,False,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
30,1.0,87018.0,101016.0,5296049.0,3.23725,SATISFIABLE,30,0,data/test/3sat/400/3sat_125.cnf,0.288672924041748,0.0,0.0,0.288672924041748,3.525922924041748,3sat_125.cnf,one_shot,One-shot,0,True,False,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
31,2.0,1471198.0,1682333.0,84379790.0,59.9742,INDETERMINATE,31,0,data/test/3sat/400/3sat_126.cnf,0.288672924041748,0.0,0.0,0.288672924041748,60.26287292404175,3sat_126.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
32,2.0,1437435.0,1663942.0,84133421.0,59.9881,INDETERMINATE,32,0,data/test/3sat/400/3sat_127.cnf,0.288672924041748,0.0,0.0,0.288672924041748,60.27677292404175,3sat_127.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
33,2.0,972401.0,1117185.0,56912346.0,34.4847,SATISFIABLE,33,0,data/test/3sat/400/3sat_128.cnf,0.288672924041748,0.0,0.0,0.288672924041748,34.773372924041745,3sat_128.cnf,one_shot,One-shot,0,True,False,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
34,1.0,28034.0,33114.0,1750425.0,0.815215,SATISFIABLE,34,0,data/test/3sat/400/3sat_129.cnf,0.288672924041748,0.0,0.0,0.288672924041748,1.103887924041748,3sat_129.cnf,one_shot,One-shot,0,True,False,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
35,2.0,1474669.0,1695725.0,84686776.0,59.9886,INDETERMINATE,35,0,data/test/3sat/400/3sat_13.cnf,0.288672924041748,0.0,0.0,0.288672924041748,60.27727292404175,3sat_13.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
36,2.0,121568.0,139021.0,7304329.0,4.67628,SATISFIABLE,36,0,data/test/3sat/400/3sat_130.cnf,0.288672924041748,0.0,0.0,0.288672924041748,4.964952924041748,3sat_130.cnf,one_shot,One-shot,0,True,False,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
37,1.0,82086.0,96037.0,5035591.0,3.40087,SATISFIABLE,37,0,data/test/3sat/400/3sat_131.cnf,0.288672924041748,0.0,0.0,0.288672924041748,3.689542924041748,3sat_131.cnf,one_shot,One-shot,0,True,False,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
38,1.0,4890.0,5982.0,303741.0,0.092346,SATISFIABLE,38,0,data/test/3sat/400/3sat_132.cnf,0.288672924041748,0.0,0.0,0.288672924041748,0.381018924041748,3sat_132.cnf,one_shot,One-shot,0,True,False,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
39,2.0,1424437.0,1646910.0,82951561.0,59.9813,INDETERMINATE,39,0,data/test/3sat/400/3sat_133.cnf,0.288672924041748,0.0,0.0,0.288672924041748,60.26997292404175,3sat_133.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
40,2.0,1408271.0,1612102.0,78784273.0,59.9795,INDETERMINATE,40,0,data/test/3sat/400/3sat_134.cnf,0.2900097370147705,0.0,0.0,0.2900097370147705,60.26950973701477,3sat_134.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
41,2.0,1553266.0,1768004.0,86693109.0,59.9585,INDETERMINATE,41,0,data/test/3sat/400/3sat_135.cnf,0.2900097370147705,0.0,0.0,0.2900097370147705,60.24850973701477,3sat_135.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
42,2.0,1453652.0,1667016.0,85302257.0,59.9801,INDETERMINATE,42,0,data/test/3sat/400/3sat_136.cnf,0.2900097370147705,0.0,0.0,0.2900097370147705,60.27010973701477,3sat_136.cnf,one_shot,One-shot,0,False,True,runs/analysis/full400_repeated_runtime/raw/one_shot/repeat0.csv
