file_key,method,paper_name,repeats,solved_repeats,timeout_repeats,time_mean,time_std,time_min,time_max,result_values
3sat_0.cnf,local_reopen_guarded,+ Local Boundary Correction,3,0,3,60.42790238451639,0.03831167785314459,60.39112826622009,60.480748479599,INDETERMINATE
3sat_0.cnf,one_shot,One-shot,3,0,3,60.323140388870236,0.04799974946528648,60.273032006073,60.38785345573425,INDETERMINATE
3sat_0.cnf,online_consistent_boundary400,Online-Consistent Selector,3,0,3,60.43005462882487,0.0391882464639936,60.39893350965881,60.48532897628784,INDETERMINATE
3sat_1.cnf,local_reopen_guarded,+ Local Boundary Correction,3,3,0,3.199037051183065,0.11456244269656944,3.0465704077301026,3.3227284795989998,SATISFIABLE
3sat_1.cnf,one_shot,One-shot,3,3,0,3.097757055536906,0.1580847045198488,2.876682006072998,3.237113455734253,SATISFIABLE
3sat_1.cnf,online_consistent_boundary400,Online-Consistent Selector,3,3,0,3.3258219621582032,0.07641193215490047,3.236925400527954,3.4234795096588138,SATISFIABLE
3sat_10.cnf,local_reopen_guarded,+ Local Boundary Correction,3,0,3,60.417639051183066,0.043218544773514125,60.3848254077301,60.478702479599,INDETERMINATE
3sat_10.cnf,one_shot,One-shot,3,0,3,60.31480705553691,0.04513593890096783,60.268132006073,60.37585345573425,INDETERMINATE
3sat_10.cnf,online_consistent_boundary400,Online-Consistent Selector,3,0,3,60.42795229549154,0.024730429639571477,60.39926850965882,60.45962397628784,INDETERMINATE
3sat_100.cnf,local_reopen_guarded,+ Local Boundary Correction,3,3,0,0.5194960511830647,0.047511699088224855,0.4850484077301025,0.586680479598999,SATISFIABLE
3sat_100.cnf,one_shot,One-shot,3,3,0,0.40904072220357257,0.04246553907152726,0.367832006072998,0.4674784557342529,SATISFIABLE
3sat_100.cnf,online_consistent_boundary400,Online-Consistent Selector,3,3,0,0.5167376288248698,0.032750409651974344,0.4783255096588135,0.5583549762878418,SATISFIABLE
3sat_101.cnf,local_reopen_guarded,+ Local Boundary Correction,3,0,3,60.42762138451639,0.03729639722643114,60.39078426622009,60.478732479599,INDETERMINATE
3sat_101.cnf,one_shot,One-shot,3,0,3,60.32417372220357,0.03263821000729847,60.289832006073,60.368053455734255,INDETERMINATE
3sat_101.cnf,online_consistent_boundary400,Online-Consistent Selector,3,0,3,60.429073628824874,0.031910478638772284,60.401011509658815,60.473711976287845,INDETERMINATE
3sat_102.cnf,local_reopen_guarded,+ Local Boundary Correction,3,0,3,60.40170571784973,0.05247712235722416,60.3625064077301,60.475879479598994,INDETERMINATE
3sat_102.cnf,one_shot,One-shot,3,0,3,60.32514038887024,0.04407075839278632,60.285232006073,60.38655345573425,INDETERMINATE
3sat_102.cnf,online_consistent_boundary400,Online-Consistent Selector,3,0,3,60.428348628824864,0.02263158637152724,60.401127509658814,60.45653797628784,INDETERMINATE
