file_key,one_shot_solved_repeats,one_shot_solved,one_shot_time_mean,one_shot_time_std,one_shot_result_values,online_solved_repeats,online_solved,online_time_mean,online_time_std,online_result_values,old_compact_solved_repeats,old_compact_solved,old_compact_time_mean,old_compact_time_std,old_compact_result_values,local_correction_solved_repeats,local_correction_solved,local_correction_time_mean,local_correction_time_std,local_correction_result_values,pattern,pattern_label,stable_repeats,online_minus_one_shot_time_mean,old_minus_online_time_mean,local_minus_online_time_mean,local_minus_old_time_mean
3sat_0.cnf,0,False,60.32314038887024,0.0479997494652864,INDETERMINATE,0,False,60.43005462882487,0.0391882464639936,INDETERMINATE,0,False,60.4265950978953,0.0614970846984837,INDETERMINATE,0,False,60.42790238451639,0.0383116778531445,INDETERMINATE,0000,p0000,True,0.10691423995462657,-0.0034595309295681886,-0.00215224430847627,0.0013072866210919187
3sat_1.cnf,3,True,3.097757055536906,0.1580847045198488,SATISFIABLE,3,True,3.3258219621582032,0.0764119321549004,SATISFIABLE,3,True,3.2909814312286376,0.1003086357105671,SATISFIABLE,3,True,3.199037051183065,0.1145624426965694,SATISFIABLE,1111,p1111,True,0.22806490662129741,-0.03484053092956563,-0.12678491097513822,-0.0919443800455726
3sat_10.cnf,0,False,60.31480705553691,0.0451359389009678,INDETERMINATE,0,False,60.42795229549154,0.0247304296395714,INDETERMINATE,0,False,60.43117143122864,0.0537206239448886,INDETERMINATE,0,False,60.417639051183066,0.0432185447735141,INDETERMINATE,0000,p0000,True,0.11314523995462622,0.00321913573710475,-0.01031324430847036,-0.01353238004557511
3sat_100.cnf,3,True,0.4090407222035725,0.0424655390715272,SATISFIABLE,3,True,0.5167376288248698,0.0327504096519743,SATISFIABLE,3,True,0.523043764561971,0.0531358568657222,SATISFIABLE,3,True,0.5194960511830647,0.0475116990882248,SATISFIABLE,1111,p1111,True,0.10769690662129733,0.006306135737101148,0.0027584223581949008,-0.0035477133789062476
3sat_101.cnf,0,False,60.32417372220357,0.0326382100072984,INDETERMINATE,0,False,60.42907362882488,0.0319104786387722,INDETERMINATE,0,False,60.42818009789531,0.0701146646466382,INDETERMINATE,0,False,60.42762138451639,0.0372963972264311,INDETERMINATE,0000,p0000,True,0.10489990662131277,-0.0008935309295736715,-0.0014522443084885595,-0.0005587133789148879
3sat_102.cnf,0,False,60.32514038887024,0.0440707583927863,INDETERMINATE,0,False,60.428348628824864,0.0226315863715272,INDETERMINATE,0,False,60.4193000978953,0.0597856136133473,INDETERMINATE,0,False,60.40170571784973,0.0524771223572241,INDETERMINATE,0000,p0000,True,0.10320823995462547,-0.009048530929561593,-0.02664291097513427,-0.017594380045572677
3sat_103.cnf,0,False,60.31214038887024,0.0416307295374501,INDETERMINATE,0,False,60.43113862882488,0.0414809912167445,INDETERMINATE,0,False,60.43277676456197,0.0565141563944778,INDETERMINATE,0,False,60.42768471784973,0.0400178979187227,INDETERMINATE,0000,p0000,True,0.11899823995464232,0.0016381357370889305,-0.0034539109751534625,-0.005092046712242393
3sat_104.cnf,0,False,60.32397372220357,0.0486859404426657,INDETERMINATE,0,False,60.43526762882488,0.0344296001716721,INDETERMINATE,0,False,60.424882097895306,0.0547046495540004,INDETERMINATE,0,False,60.4123953845164,0.0581146218882201,INDETERMINATE,0000,p0000,True,0.111293906621313,-0.010385530929575282,-0.02287224430848056,-0.012486713378905279
3sat_105.cnf,0,False,60.32127372220358,0.0537477827679832,INDETERMINATE,0,False,60.42449096215821,0.0400915795643049,INDETERMINATE,0,False,60.42217276456197,0.0520861686658055,INDETERMINATE,0,False,60.42810405118306,0.035493611780257,INDETERMINATE,0000,p0000,True,0.10321723995463117,-0.002318197596238747,0.0036130890248529113,0.005931286621091658
3sat_106.cnf,0,False,60.32270705553691,0.0428773812590301,INDETERMINATE,0,False,60.42733229549154,0.0405997451587034,INDETERMINATE,0,False,60.41296376456197,0.0619148906297522,INDETERMINATE,0,False,60.4195013845164,0.0315127026728592,INDETERMINATE,0000,p0000,True,0.10462523995462902,-0.014368530929566248,-0.007830910975137328,0.006537619954428919
3sat_107.cnf,0,False,60.292612768809,0.0280745981358843,INDETERMINATE,0,False,60.37870003078715,0.0274250070596371,INDETERMINATE,0,False,60.38155669151814,0.017386881513504,INDETERMINATE,0,False,60.39395334239197,0.0159754790363426,INDETERMINATE,0000,p0000,True,0.08608726197815031,0.002856660730991223,0.015253311604816133,0.01239665087382491
3sat_108.cnf,0,False,60.29131276880901,0.0243952824307513,INDETERMINATE,0,False,60.38927436412049,0.0177930605537456,INDETERMINATE,0,False,60.38518869151815,0.0069875399003002,INDETERMINATE,0,False,60.385481675725295,0.0159861903051915,INDETERMINATE,0000,p0000,True,0.09796159531148163,-0.004085672602336388,-0.003792688395193977,0.00029298420714241047
3sat_109.cnf,0,False,60.28811276880899,0.0319188156687628,INDETERMINATE,0,False,60.38060536412048,0.0271836755333252,INDETERMINATE,0,False,60.38607035818482,0.0095893802212124,INDETERMINATE,0,False,60.38816300905864,0.0071799288879163,INDETERMINATE,0000,p0000,True,0.09249259531148368,0.00546499406434009,0.007557644938160024,0.0020926508738199345
3sat_11.cnf,3,True,1.6723594354756672,0.0195037932125782,SATISFIABLE,3,True,1.7912470307871502,0.0151380029542885,SATISFIABLE,3,True,1.816361691518148,0.0354240069561527,SATISFIABLE,3,True,1.7861993423919678,0.0277660028445502,SATISFIABLE,1111,p1111,True,0.11888759531148296,0.025114660730997773,-0.005047688395182437,-0.03016234912618021
3sat_110.cnf,0,False,60.287579435475664,0.0167590937847989,INDETERMINATE,0,False,60.38509036412049,0.0199350154888552,INDETERMINATE,0,False,60.39737902485148,0.0193436884102507,INDETERMINATE,0,False,60.388973009058624,0.0034039996370898,INDETERMINATE,0000,p0000,True,0.09751092864482303,0.012288660730995105,0.0038826449381375028,-0.008406015792857602
3sat_111.cnf,0,False,60.301012768809,0.013830596393936,INDETERMINATE,0,False,60.39376003078715,0.0261945432904401,INDETERMINATE,0,False,60.381956358184816,0.0136832729755492,INDETERMINATE,0,False,60.39064867572531,0.0099286330803342,INDETERMINATE,0000,p0000,True,0.09274726197814687,-0.011803672602333393,-0.0031113550618400154,0.008692317540493377
3sat_112.cnf,0,False,60.29257943547567,0.0228337992288351,INDETERMINATE,0,False,60.38488636412049,0.0181087646343343,INDETERMINATE,0,False,60.39076335818481,0.0036758653219262,INDETERMINATE,0,False,60.3877076757253,0.0043505676850998,INDETERMINATE,0000,p0000,True,0.09230692864481682,0.005876994064323071,0.002821311604812138,-0.0030556824595109333
3sat_113.cnf,0,False,60.28977943547567,0.0156932927647606,INDETERMINATE,0,False,60.38173936412048,0.0240841241044514,INDETERMINATE,0,False,60.38794469151815,0.006314235036969,INDETERMINATE,0,False,60.38360234239197,0.0056983427469595,INDETERMINATE,0000,p0000,True,0.09195992864480473,0.006205327397672988,0.0018629782714896237,-0.004342349126183365
3sat_114.cnf,0,False,60.286512768809,0.0193404017195194,INDETERMINATE,0,False,60.38650836412049,0.0276696172969607,INDETERMINATE,0,False,60.37539435818481,0.0102150815173951,INDETERMINATE,0,False,60.380431342391965,0.0088159858879236,INDETERMINATE,0000,p0000,True,0.0999955953114906,-0.011114005935674243,-0.006077021728522425,0.005036984207151818
3sat_115.cnf,0,False,60.29877943547567,0.0150857206650014,INDETERMINATE,0,False,60.377517030787146,0.0232461617171846,INDETERMINATE,0,False,60.375415024851485,0.0127319056439008,INDETERMINATE,0,False,60.38150534239196,0.0154396983996256,INDETERMINATE,0000,p0000,True,0.07873759531147329,-0.002102005935661566,0.003988311604814498,0.0060903175404760646
3sat_116.cnf,0,False,60.284616257095344,0.02596323283736,INDETERMINATE,0,False,60.382456505727134,0.0398357514069443,INDETERMINATE,0,False,60.39921497477214,0.0041498506053069,INDETERMINATE,0,False,60.392367594752,0.0208271377018791,INDETERMINATE,0000,p0000,True,0.09784024863179042,0.01675846904500844,0.009911089024868147,-0.006847380020140292
3sat_117.cnf,0,False,60.279082923762,0.0241754575793384,INDETERMINATE,0,False,60.38426583906047,0.0304114741064043,INDETERMINATE,0,False,60.38279464143881,0.0052449092667462,INDETERMINATE,0,False,60.375996594752,0.0192718108917846,INDETERMINATE,0000,p0000,True,0.1051829152984709,-0.0014711976216617018,-0.008269244308465318,-0.006798046686803616
3sat_118.cnf,0,False,60.28471625709534,0.0252813762725163,INDETERMINATE,0,False,60.36898250572713,0.0215421073585738,INDETERMINATE,0,False,60.393207641438806,0.0116572996840539,INDETERMINATE,0,False,60.385765594752,0.0384970323583051,INDETERMINATE,0000,p0000,True,0.084266248631792,0.024225135711674284,0.01678308902486947,-0.007442046686804815
3sat_119.cnf,0,False,60.28614959042867,0.0149656573674805,INDETERMINATE,0,False,60.3879991723938,0.0359686007254173,INDETERMINATE,0,False,60.377726641438805,0.0056745280197265,INDETERMINATE,0,False,60.38595292808532,0.024969491533956,INDETERMINATE,0000,p0000,True,0.10184958196512639,-0.010272530954992476,-0.0020462443084809934,0.008226286646511483
3sat_12.cnf,0,False,60.276782923762006,0.0196012353473893,INDETERMINATE,0,False,60.38462683906047,0.0299303791810775,INDETERMINATE,0,False,60.39589597477214,0.0093510851188504,INDETERMINATE,0,False,60.38348492808532,0.0184309977005401,INDETERMINATE,0000,p0000,True,0.10784391529846715,0.011269135711664546,-0.00114191097515004,-0.012411046686814586
3sat_120.cnf,3,True,3.357666257095337,0.1093213660036651,SATISFIABLE,3,True,1.0680655057271322,0.0236186028334065,SATISFIABLE,3,True,1.0892729747721357,0.0054407108316895,SATISFIABLE,3,True,1.0835625947519938,0.0227968603226574,SATISFIABLE,1111,p1111,True,-2.289600751368205,0.02120746904500348,0.015497089024861577,-0.005710380020141903
3sat_121.cnf,3,True,1.6929362570953368,0.0111427004104037,SATISFIABLE,3,True,1.785663839060465,0.0550957178119048,SATISFIABLE,3,True,1.7825659747721356,0.0255456505955097,SATISFIABLE,3,True,1.779595594751994,0.0349650618691512,SATISFIABLE,1111,p1111,True,0.09272758196512831,-0.003097864288329477,-0.0060682443084711934,-0.0029703800201417163
3sat_122.cnf,0,False,60.285949590428665,0.0189869101321791,INDETERMINATE,0,False,60.381383505727136,0.0347218628463362,INDETERMINATE,0,False,60.38893397477214,0.0108607043495387,INDETERMINATE,0,False,60.386891594752,0.0099544530240584,INDETERMINATE,0000,p0000,True,0.09543391529847156,0.007550469045000341,0.00550808902486466,-0.002042380020135681
3sat_123.cnf,0,False,60.28641625709534,0.019774853892818,INDETERMINATE,0,False,60.38763783906046,0.0340044187428943,INDETERMINATE,0,False,60.398885974772135,0.0055295483297471,INDETERMINATE,0,False,60.382299261418666,0.0296671714941454,INDETERMINATE,0000,p0000,True,0.10122158196512032,0.011248135711674934,-0.005338577641794018,-0.01658671335346895
3sat_124.cnf,3,True,0.3174945904286702,0.0241254897729538,SATISFIABLE,3,True,0.3980935057271321,0.0312143292359408,SATISFIABLE,3,True,0.408818641438802,0.0014814658460861,SATISFIABLE,3,True,0.3882982614186605,0.0252616590427098,SATISFIABLE,1111,p1111,True,0.08059891529846192,0.010725135711669886,-0.009795244308471618,-0.020520380020141504
3sat_125.cnf,3,True,3.497265422566732,0.0614772910792658,SATISFIABLE,3,True,3.523623152750652,0.0107970201822784,SATISFIABLE,3,True,3.491972345840454,0.0393891183250528,SATISFIABLE,3,True,3.501587469228109,0.0416444481811314,SATISFIABLE,1111,p1111,True,0.02635773018391996,-0.031650806910197726,-0.022035683522542815,0.009615123387654911
3sat_126.cnf,0,False,60.2845320892334,0.0300668159698083,INDETERMINATE,0,False,60.38413348608398,0.0201874175779778,INDETERMINATE,0,False,60.3897376791738,0.010180796493455,INDETERMINATE,0,False,60.36905813589478,0.0141628341221424,INDETERMINATE,0000,p0000,True,0.09960139685058067,0.0056041930898160786,-0.01507535018919981,-0.02067954327901589
3sat_127.cnf,0,False,60.28169875590007,0.043730711486377,INDETERMINATE,0,False,60.38173348608399,0.0108926075536883,INDETERMINATE,0,False,60.39431667917379,0.0094017338719615,INDETERMINATE,0,False,60.37803680256144,0.0070958388729786,INDETERMINATE,0000,p0000,True,0.10003473018392128,0.012583193089803046,-0.003696683522548483,-0.01627987661235153
3sat_128.cnf,3,True,35.33206542256673,0.4080954118315092,SATISFIABLE,3,True,8.577792819417319,0.1048147701607379,SATISFIABLE,3,True,8.719744345840455,0.0997210830464931,SATISFIABLE,3,True,8.54055646922811,0.1245247220378566,SATISFIABLE,1111,p1111,True,-26.75427260314941,0.1419515264231368,-0.03723635018920923,-0.17918787661234603
3sat_129.cnf,3,True,1.1188710892333986,0.0184602193352347,SATISFIABLE,3,True,1.1946508194173178,0.0276418485798669,SATISFIABLE,3,True,1.2108833458404542,0.0223299725113563,SATISFIABLE,3,True,1.1970264692281087,0.0185766810032527,SATISFIABLE,1111,p1111,True,0.07577973018391915,0.01623252642313644,0.0023756498107909696,-0.01385687661234547
3sat_13.cnf,0,False,60.29039875590007,0.0318294497071754,INDETERMINATE,0,False,60.39028948608399,0.0069940434072254,INDETERMINATE,0,False,60.38171434584046,0.0138822421280196,INDETERMINATE,0,False,60.39018313589477,0.0107720659486861,INDETERMINATE,0000,p0000,True,0.09989073018391537,-0.008575140243529233,-0.00010635018921334449,0.008468790054315889
3sat_130.cnf,3,True,4.822122089233399,0.1118950547564439,SATISFIABLE,3,True,4.928618486083984,0.1335954590111863,SATISFIABLE,3,True,4.90185401250712,0.1313286661696729,SATISFIABLE,3,True,4.879011802561442,0.1149733122090801,SATISFIABLE,1111,p1111,True,0.1064963968505852,-0.026764473576863956,-0.049606683522541495,-0.02284220994567754
3sat_131.cnf,3,True,3.643878755900065,0.047445718522622,SATISFIABLE,3,True,3.747180486083984,0.1017475705155259,SATISFIABLE,3,True,3.713381679173788,0.0287034479273891,SATISFIABLE,3,True,3.684956469228109,0.0512159554991595,SATISFIABLE,1111,p1111,True,0.10330173018391875,-0.03379880691019599,-0.062224016855874975,-0.028425209945678986
