method,paper_name,repeats,solved_mean,solved_std,solved_min,solved_max,mean_time_mean,mean_time_std,mean_time_min,mean_time_max,median_time_mean,median_time_std
one_shot,One-shot,3,48.0,0.0,48,48,47.65315920999217,0.014772337946711941,47.64172867552078,47.67401845668808,60.28140090408325,0.01530935499890652
online_consistent_boundary400,Online-Consistent Selector,3,53.0,0.0,53,53,46.312013790842535,0.024622651454286208,46.27721039261047,46.33039275685349,60.36597439566549,0.013847323462983431
old_compact,Old Compact,3,54.0,0.0,54,54,46.25820103130457,0.012053254129713415,46.2414676034021,46.26938122986527,60.355686026295984,0.009999210946002573
local_reopen_guarded,+ Local Boundary Correction,3,54.0,0.0,54,54,45.90170014070353,0.00739039509538714,45.89356575344452,45.91145070634613,60.36610420812988,0.005735616292171333
