file,restarts,conflicts,decisions,propagations,CPU time,Result,time,wall_time,external_timeout,returncode
data/test/3sat/400/3sat_148.cnf,,,,,60.0,INDETERMINATE,60.0,65.02292672917247,True,timeout
data/test/3sat/400/3sat_150.cnf,2.0,553491.0,640786.0,31462894.0,17.4085,SATISFIABLE,17.4085,17.419305684044957,False,10
data/test/3sat/400/3sat_15.cnf,,,,,60.0,INDETERMINATE,60.0,65.0035457117483,True,timeout
data/test/3sat/400/3sat_151.cnf,,,,,60.0,INDETERMINATE,60.0,65.02151123294607,True,timeout
data/test/3sat/400/3sat_154.cnf,,,,,60.0,INDETERMINATE,60.0,65.01714583532885,True,timeout
data/test/3sat/400/3sat_152.cnf,,,,,60.0,INDETERMINATE,60.0,65.02159295929596,True,timeout
data/test/3sat/400/3sat_153.cnf,,,,,60.0,INDETERMINATE,60.0,65.02076517371461,True,timeout
data/test/3sat/400/3sat_156.cnf,,,,,60.0,INDETERMINATE,60.0,65.02136121038347,True,timeout
data/test/3sat/400/3sat_155.cnf,,,,,60.0,INDETERMINATE,60.0,65.02101939311251,True,timeout
data/test/3sat/400/3sat_157.cnf,,,,,60.0,INDETERMINATE,60.0,65.00641168281436,True,timeout
data/test/3sat/400/3sat_158.cnf,,,,,60.0,INDETERMINATE,60.0,65.00481648603454,True,timeout
data/test/3sat/400/3sat_159.cnf,,,,,60.0,INDETERMINATE,60.0,65.00511534372345,True,timeout
data/test/3sat/400/3sat_160.cnf,,,,,60.0,INDETERMINATE,60.0,65.00201635994017,True,timeout
data/test/3sat/400/3sat_163.cnf,,,,,60.0,INDETERMINATE,60.0,65.01051263697445,True,timeout
data/test/3sat/400/3sat_16.cnf,,,,,60.0,INDETERMINATE,60.0,65.0228849677369,True,timeout
data/test/3sat/400/3sat_161.cnf,,,,,60.0,INDETERMINATE,60.0,65.02174496091902,True,timeout
data/test/3sat/400/3sat_162.cnf,,,,,60.0,INDETERMINATE,60.0,65.02061539515853,True,timeout
data/test/3sat/400/3sat_164.cnf,,,,,60.0,INDETERMINATE,60.0,65.0050263418816,True,timeout
data/test/3sat/400/3sat_165.cnf,,,,,60.0,INDETERMINATE,60.0,65.01932019926608,True,timeout
data/test/3sat/400/3sat_166.cnf,,,,,60.0,INDETERMINATE,60.0,65.01951512414962,True,timeout
data/test/3sat/400/3sat_167.cnf,,,,,60.0,INDETERMINATE,60.0,65.02233778499067,True,timeout
data/test/3sat/400/3sat_168.cnf,,,,,60.0,INDETERMINATE,60.0,65.02080082986504,True,timeout
data/test/3sat/400/3sat_17.cnf,,,,,60.0,INDETERMINATE,60.0,65.01878291135654,True,timeout
data/test/3sat/400/3sat_169.cnf,,,,,60.0,INDETERMINATE,60.0,65.02010864391923,True,timeout
data/test/3sat/400/3sat_170.cnf,,,,,60.0,INDETERMINATE,60.0,65.02059804694727,True,timeout
data/test/3sat/400/3sat_171.cnf,,,,,60.0,INDETERMINATE,60.0,65.02198892878368,True,timeout
data/test/3sat/400/3sat_172.cnf,,,,,60.0,INDETERMINATE,60.0,65.01982920011505,True,timeout
data/test/3sat/400/3sat_173.cnf,,,,,60.0,INDETERMINATE,60.0,65.01950162323192,True,timeout
data/test/3sat/400/3sat_176.cnf,,,,,60.0,INDETERMINATE,60.0,65.00287218997255,True,timeout
data/test/3sat/400/3sat_174.cnf,,,,,60.0,INDETERMINATE,60.0,65.02313655707985,True,timeout
data/test/3sat/400/3sat_178.cnf,,,,,60.0,INDETERMINATE,60.0,65.00465404614806,True,timeout
data/test/3sat/400/3sat_175.cnf,,,,,60.0,INDETERMINATE,60.0,65.02216682210565,True,timeout
data/test/3sat/400/3sat_177.cnf,,,,,60.0,INDETERMINATE,60.0,65.02024590503424,True,timeout
data/test/3sat/400/3sat_179.cnf,,,,,60.0,INDETERMINATE,60.0,65.00425174599513,True,timeout
data/test/3sat/400/3sat_18.cnf,,,,,60.0,INDETERMINATE,60.0,65.0113470563665,True,timeout
data/test/3sat/400/3sat_181.cnf,,,,,60.0,INDETERMINATE,60.0,65.00373599398881,True,timeout
data/test/3sat/400/3sat_180.cnf,,,,,60.0,INDETERMINATE,60.0,65.02154011791572,True,timeout
data/test/3sat/400/3sat_184.cnf,,,,,60.0,INDETERMINATE,60.0,65.00320189120248,True,timeout
data/test/3sat/400/3sat_183.cnf,,,,,60.0,INDETERMINATE,60.0,65.01506839273497,True,timeout
data/test/3sat/400/3sat_182.cnf,,,,,60.0,INDETERMINATE,60.0,65.01924710441381,True,timeout
data/test/3sat/400/3sat_185.cnf,,,,,60.0,INDETERMINATE,60.0,65.0139717166312,True,timeout
data/test/3sat/400/3sat_186.cnf,,,,,60.0,INDETERMINATE,60.0,65.01875785691664,True,timeout
data/test/3sat/400/3sat_187.cnf,,,,,60.0,INDETERMINATE,60.0,65.01781378313899,True,timeout
data/test/3sat/400/3sat_188.cnf,,,,,60.0,INDETERMINATE,60.0,65.00579731399193,True,timeout
data/test/3sat/400/3sat_189.cnf,,,,,60.0,INDETERMINATE,60.0,65.02045703772455,True,timeout
data/test/3sat/400/3sat_19.cnf,,,,,60.0,INDETERMINATE,60.0,65.02316749002784,True,timeout
data/test/3sat/400/3sat_191.cnf,,,,,60.0,INDETERMINATE,60.0,65.017472920008,True,timeout
data/test/3sat/400/3sat_192.cnf,,,,,60.0,INDETERMINATE,60.0,65.02046457165852,True,timeout
data/test/3sat/400/3sat_190.cnf,,,,,60.0,INDETERMINATE,60.0,65.02127702627331,True,timeout
data/test/3sat/400/3sat_193.cnf,,,,,60.0,INDETERMINATE,60.0,65.02186655206606,True,timeout
data/test/3sat/400/3sat_194.cnf,,,,,60.0,INDETERMINATE,60.0,65.0205566380173,True,timeout
data/test/3sat/400/3sat_20.cnf,2.0,437167.0,512122.0,25413753.0,13.68,SATISFIABLE,13.68,13.689930928871036,False,10
data/test/3sat/400/3sat_195.cnf,,,,,60.0,INDETERMINATE,60.0,65.0185593101196,True,timeout
data/test/3sat/400/3sat_196.cnf,,,,,60.0,INDETERMINATE,60.0,65.0181803861633,True,timeout
data/test/3sat/400/3sat_199.cnf,,,,,60.0,INDETERMINATE,60.0,65.01394457928836,True,timeout
data/test/3sat/400/3sat_197.cnf,,,,,60.0,INDETERMINATE,60.0,65.01678202301264,True,timeout
data/test/3sat/400/3sat_198.cnf,,,,,60.0,INDETERMINATE,60.0,65.01773458300158,True,timeout
data/test/3sat/400/3sat_2.cnf,,,,,60.0,INDETERMINATE,60.0,65.01617301022634,True,timeout
data/test/3sat/400/3sat_21.cnf,,,,,60.0,INDETERMINATE,60.0,65.01585612911731,True,timeout
data/test/3sat/400/3sat_27.cnf,2.0,548377.0,636652.0,31953409.0,19.6219,SATISFIABLE,19.6219,19.632798557635397,False,10
data/test/3sat/400/3sat_22.cnf,,,,,60.0,INDETERMINATE,60.0,65.0141924531199,True,timeout
data/test/3sat/400/3sat_23.cnf,,,,,60.0,INDETERMINATE,60.0,65.00573092605919,True,timeout
data/test/3sat/400/3sat_24.cnf,,,,,60.0,INDETERMINATE,60.0,65.01327126007527,True,timeout
data/test/3sat/400/3sat_28.cnf,,,,,60.0,INDETERMINATE,60.0,65.00993528962135,True,timeout
data/test/3sat/400/3sat_26.cnf,,,,,60.0,INDETERMINATE,60.0,65.0149426353164,True,timeout
data/test/3sat/400/3sat_25.cnf,,,,,60.0,INDETERMINATE,60.0,65.01829006103799,True,timeout
data/test/3sat/400/3sat_29.cnf,,,,,60.0,INDETERMINATE,60.0,65.0098447422497,True,timeout
data/test/3sat/400/3sat_3.cnf,,,,,60.0,INDETERMINATE,60.0,65.01541622495279,True,timeout
data/test/3sat/400/3sat_30.cnf,,,,,60.0,INDETERMINATE,60.0,65.0129368416965,True,timeout
data/test/3sat/400/3sat_31.cnf,,,,,60.0,INDETERMINATE,60.0,65.00933421682566,True,timeout
data/test/3sat/400/3sat_32.cnf,,,,,60.0,INDETERMINATE,60.0,65.009613617789,True,timeout
data/test/3sat/400/3sat_33.cnf,,,,,60.0,INDETERMINATE,60.0,65.01299131801352,True,timeout
data/test/3sat/400/3sat_35.cnf,,,,,60.0,INDETERMINATE,60.0,65.01089627481997,True,timeout
data/test/3sat/400/3sat_34.cnf,,,,,60.0,INDETERMINATE,60.0,65.0134383989498,True,timeout
data/test/3sat/400/3sat_36.cnf,,,,,60.0,INDETERMINATE,60.0,65.01418694388121,True,timeout
data/test/3sat/400/3sat_37.cnf,,,,,60.0,INDETERMINATE,60.0,65.0125504177995,True,timeout
data/test/3sat/400/3sat_38.cnf,,,,,60.0,INDETERMINATE,60.0,65.00828234804794,True,timeout
data/test/3sat/400/3sat_39.cnf,,,,,60.0,INDETERMINATE,60.0,65.00766813755035,True,timeout
data/test/3sat/400/3sat_4.cnf,,,,,60.0,INDETERMINATE,60.0,65.01137583330274,True,timeout
data/test/3sat/400/3sat_40.cnf,,,,,60.0,INDETERMINATE,60.0,65.00671650609002,True,timeout
data/test/3sat/400/3sat_41.cnf,,,,,60.0,INDETERMINATE,60.0,65.00428949808702,True,timeout
data/test/3sat/400/3sat_42.cnf,,,,,60.0,INDETERMINATE,60.0,65.00696043018252,True,timeout
data/test/3sat/400/3sat_47.cnf,2.0,159782.0,187286.0,9297360.0,6.81018,SATISFIABLE,6.81018,6.820450352039188,False,10
data/test/3sat/400/3sat_43.cnf,,,,,60.0,INDETERMINATE,60.0,65.01233812095597,True,timeout
data/test/3sat/400/3sat_44.cnf,,,,,60.0,INDETERMINATE,60.0,65.01128662703559,True,timeout
data/test/3sat/400/3sat_45.cnf,,,,,60.0,INDETERMINATE,60.0,65.00770167121664,True,timeout
