file_key,method,paper_name,seeds,solved_seeds,timeout_seeds,stable_across_seeds,time_mean,time_std,time_min,time_max,result_values
3sat_0.cnf,local_reopen_guarded,+ Local Boundary Correction,3,0,3,True,60.42343984547424,0.053188554317304695,60.38076957922363,60.498421690979,INDETERMINATE
3sat_0.cnf,old_compact,Old Compact,3,0,3,True,60.38791285391236,0.02631153579263184,60.36151287025452,60.42382244769287,INDETERMINATE
3sat_0.cnf,one_shot,One-shot,3,0,3,True,60.28425401535034,0.010717186014039547,60.273032006073,60.29868754768371,INDETERMINATE
3sat_0.cnf,online_consistent_boundary400,Online-Consistent Selector,3,0,3,True,60.44960028707377,0.032037751638097044,60.40590140052795,60.48181466069031,INDETERMINATE
3sat_1.cnf,local_reopen_guarded,+ Local Boundary Correction,3,3,0,True,3.2754621788075764,0.033790386281693265,3.2278122662200928,3.3024175792236328,SATISFIABLE
3sat_1.cnf,old_compact,Old Compact,3,3,0,True,3.26375352057902,0.05212867911487943,3.205715447692871,3.3321398702545166,SATISFIABLE
3sat_1.cnf,one_shot,One-shot,3,3,0,True,3.051657348683675,0.12643515719792603,2.876682006072998,3.171027547683716,SATISFIABLE
3sat_1.cnf,online_consistent_boundary400,Online-Consistent Selector,3,3,0,True,3.2917032870737715,0.05100244901568485,3.236925400527954,3.359729800003052,SATISFIABLE
3sat_10.cnf,local_reopen_guarded,+ Local Boundary Correction,3,0,3,True,60.40621217880758,0.04412818926910933,60.36257857922364,60.466668690979,INDETERMINATE
3sat_10.cnf,old_compact,Old Compact,3,0,3,True,60.39509718724569,0.012810007241492874,60.38199087025452,60.41248144769287,INDETERMINATE
3sat_10.cnf,one_shot,One-shot,3,0,3,True,60.28458734868368,0.011693913017987376,60.268132006073,60.29424249229431,INDETERMINATE
3sat_10.cnf,online_consistent_boundary400,Online-Consistent Selector,3,0,3,True,60.44868028707378,0.018427114497288285,60.42496440052796,60.46989266069031,INDETERMINATE
3sat_100.cnf,local_reopen_guarded,+ Local Boundary Correction,3,3,0,True,0.5082198454742431,0.04590376757507664,0.4658905792236328,0.5720096909790039,SATISFIABLE
3sat_100.cnf,old_compact,Old Compact,3,3,0,True,0.49881785391235356,0.027564951417962832,0.4681178702545166,0.5349734476928711,SATISFIABLE
3sat_100.cnf,one_shot,One-shot,3,3,0,True,0.3787433486836751,0.00822022132838099,0.367832006072998,0.3876724922943115,SATISFIABLE
3sat_100.cnf,online_consistent_boundary400,Online-Consistent Selector,3,3,0,True,0.5560572870737711,0.03249378678610925,0.5135324005279541,0.5924026606903077,SATISFIABLE
