method,paper_name,seeds,solved_mean,solved_std,solved_min,solved_max,mean_time_mean,mean_time_std,mean_time_min,mean_time_max,median_time_mean,median_time_std
one_shot,One-shot,3,48.0,0.0,48,48,47.66469374202753,0.020670254896524114,47.64172867552078,47.691839718276825,60.288920203844704,0.011704174445897197
online_consistent_boundary400,Online-Consistent Selector,3,53.0,0.0,53,53,46.323601891114095,0.009784680855565126,46.30976504665161,46.33064786983719,60.36647401773072,0.005602748180404243
old_compact,Old Compact,3,54.0,0.0,54,54,46.27774595507939,0.01763155047460869,46.261585483880005,46.30227115149292,60.37253785467275,0.01481450829851554
local_reopen_guarded,+ Local Boundary Correction,3,54.0,0.0,54,54,45.91385553458354,0.014962292141484467,45.89685168933761,45.933264208066866,60.36885614113617,0.012862592782446038
