Unnamed: 0,restarts,conflicts,decisions,propagations,CPU time,Result,cnf_id,sample_id,file,final GPU time,refinement CPU time,refinement GPU time,GPU time,time,file_key,method,paper_name,seed,solved,timeout,raw_csv
20,2.0,1478475.0,1682922.0,82549385.0,59.9726,INDETERMINATE,20,0,data/test/3sat/400/3sat_116.cnf,0.2787117958068847,0.0,0.0,0.2787117958068847,60.251311795806885,3sat_116.cnf,one_shot,One-shot,1,False,True,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
21,2.0,1451515.0,1661463.0,81095045.0,59.9758,INDETERMINATE,21,0,data/test/3sat/400/3sat_117.cnf,0.2787117958068847,0.0,0.0,0.2787117958068847,60.25451179580688,3sat_117.cnf,one_shot,One-shot,1,False,True,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
22,2.0,1491288.0,1705015.0,83880502.0,59.9765,INDETERMINATE,22,0,data/test/3sat/400/3sat_118.cnf,0.2787117958068847,0.0,0.0,0.2787117958068847,60.255211795806886,3sat_118.cnf,one_shot,One-shot,1,False,True,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
23,2.0,1493708.0,1708068.0,82675305.0,59.9909,INDETERMINATE,23,0,data/test/3sat/400/3sat_119.cnf,0.2787117958068847,0.0,0.0,0.2787117958068847,60.26961179580689,3sat_119.cnf,one_shot,One-shot,1,False,True,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
24,2.0,1423165.0,1627697.0,79938892.0,59.9806,INDETERMINATE,24,0,data/test/3sat/400/3sat_12.cnf,0.2787117958068847,0.0,0.0,0.2787117958068847,60.25931179580689,3sat_12.cnf,one_shot,One-shot,1,False,True,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
25,1.0,75813.0,87762.0,4687360.0,2.93774,SATISFIABLE,25,0,data/test/3sat/400/3sat_120.cnf,0.2787117958068847,0.0,0.0,0.2787117958068847,3.216451795806885,3sat_120.cnf,one_shot,One-shot,1,True,False,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
26,1.0,47329.0,54623.0,2823769.0,1.40555,SATISFIABLE,26,0,data/test/3sat/400/3sat_121.cnf,0.2787117958068847,0.0,0.0,0.2787117958068847,1.6842617958068848,3sat_121.cnf,one_shot,One-shot,1,True,False,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
27,2.0,1466804.0,1677971.0,83878155.0,59.9805,INDETERMINATE,27,0,data/test/3sat/400/3sat_122.cnf,0.2787117958068847,0.0,0.0,0.2787117958068847,60.25921179580688,3sat_122.cnf,one_shot,One-shot,1,False,True,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
28,2.0,1477100.0,1680290.0,84160249.0,59.9844,INDETERMINATE,28,0,data/test/3sat/400/3sat_123.cnf,0.2787117958068847,0.0,0.0,0.2787117958068847,60.263111795806886,3sat_123.cnf,one_shot,One-shot,1,False,True,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
29,1.0,654.0,900.0,43163.0,0.009285,SATISFIABLE,29,0,data/test/3sat/400/3sat_124.cnf,0.2787117958068847,0.0,0.0,0.2787117958068847,0.2879967958068847,3sat_124.cnf,one_shot,One-shot,1,True,False,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
30,1.0,87018.0,101016.0,5296049.0,3.23725,SATISFIABLE,30,0,data/test/3sat/400/3sat_125.cnf,0.288672924041748,0.0,0.0,0.288672924041748,3.525922924041748,3sat_125.cnf,one_shot,One-shot,1,True,False,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
31,2.0,1471198.0,1682333.0,84379790.0,59.9742,INDETERMINATE,31,0,data/test/3sat/400/3sat_126.cnf,0.288672924041748,0.0,0.0,0.288672924041748,60.26287292404175,3sat_126.cnf,one_shot,One-shot,1,False,True,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
32,2.0,1437435.0,1663942.0,84133421.0,59.9881,INDETERMINATE,32,0,data/test/3sat/400/3sat_127.cnf,0.288672924041748,0.0,0.0,0.288672924041748,60.27677292404175,3sat_127.cnf,one_shot,One-shot,1,False,True,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
33,2.0,972401.0,1117185.0,56912346.0,34.4847,SATISFIABLE,33,0,data/test/3sat/400/3sat_128.cnf,0.288672924041748,0.0,0.0,0.288672924041748,34.773372924041745,3sat_128.cnf,one_shot,One-shot,1,True,False,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
34,1.0,28034.0,33114.0,1750425.0,0.815215,SATISFIABLE,34,0,data/test/3sat/400/3sat_129.cnf,0.288672924041748,0.0,0.0,0.288672924041748,1.103887924041748,3sat_129.cnf,one_shot,One-shot,1,True,False,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
35,2.0,1474669.0,1695725.0,84686776.0,59.9886,INDETERMINATE,35,0,data/test/3sat/400/3sat_13.cnf,0.288672924041748,0.0,0.0,0.288672924041748,60.27727292404175,3sat_13.cnf,one_shot,One-shot,1,False,True,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
36,2.0,121568.0,139021.0,7304329.0,4.67628,SATISFIABLE,36,0,data/test/3sat/400/3sat_130.cnf,0.288672924041748,0.0,0.0,0.288672924041748,4.964952924041748,3sat_130.cnf,one_shot,One-shot,1,True,False,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
37,1.0,82086.0,96037.0,5035591.0,3.40087,SATISFIABLE,37,0,data/test/3sat/400/3sat_131.cnf,0.288672924041748,0.0,0.0,0.288672924041748,3.689542924041748,3sat_131.cnf,one_shot,One-shot,1,True,False,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
38,1.0,4890.0,5982.0,303741.0,0.092346,SATISFIABLE,38,0,data/test/3sat/400/3sat_132.cnf,0.288672924041748,0.0,0.0,0.288672924041748,0.381018924041748,3sat_132.cnf,one_shot,One-shot,1,True,False,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
39,2.0,1424437.0,1646910.0,82951561.0,59.9813,INDETERMINATE,39,0,data/test/3sat/400/3sat_133.cnf,0.288672924041748,0.0,0.0,0.288672924041748,60.26997292404175,3sat_133.cnf,one_shot,One-shot,1,False,True,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
40,2.0,1408271.0,1612102.0,78784273.0,59.9795,INDETERMINATE,40,0,data/test/3sat/400/3sat_134.cnf,0.2900097370147705,0.0,0.0,0.2900097370147705,60.26950973701477,3sat_134.cnf,one_shot,One-shot,1,False,True,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
41,2.0,1553266.0,1768004.0,86693109.0,59.9585,INDETERMINATE,41,0,data/test/3sat/400/3sat_135.cnf,0.2900097370147705,0.0,0.0,0.2900097370147705,60.24850973701477,3sat_135.cnf,one_shot,One-shot,1,False,True,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
42,2.0,1453652.0,1667016.0,85302257.0,59.9801,INDETERMINATE,42,0,data/test/3sat/400/3sat_136.cnf,0.2900097370147705,0.0,0.0,0.2900097370147705,60.27010973701477,3sat_136.cnf,one_shot,One-shot,1,False,True,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
43,2.0,1481482.0,1679406.0,79963790.0,59.9704,INDETERMINATE,43,0,data/test/3sat/400/3sat_137.cnf,0.2900097370147705,0.0,0.0,0.2900097370147705,60.26040973701477,3sat_137.cnf,one_shot,One-shot,1,False,True,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
44,2.0,1529483.0,1739728.0,88414383.0,59.9874,INDETERMINATE,44,0,data/test/3sat/400/3sat_138.cnf,0.2900097370147705,0.0,0.0,0.2900097370147705,60.27740973701477,3sat_138.cnf,one_shot,One-shot,1,False,True,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
45,2.0,1508908.0,1734344.0,86211524.0,59.9703,INDETERMINATE,45,0,data/test/3sat/400/3sat_139.cnf,0.2900097370147705,0.0,0.0,0.2900097370147705,60.26030973701477,3sat_139.cnf,one_shot,One-shot,1,False,True,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
46,2.0,133587.0,154405.0,8365184.0,5.30925,SATISFIABLE,46,0,data/test/3sat/400/3sat_14.cnf,0.2900097370147705,0.0,0.0,0.2900097370147705,5.59925973701477,3sat_14.cnf,one_shot,One-shot,1,True,False,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
47,2.0,1244295.0,1419655.0,73705026.0,48.8749,SATISFIABLE,47,0,data/test/3sat/400/3sat_140.cnf,0.2900097370147705,0.0,0.0,0.2900097370147705,49.16490973701477,3sat_140.cnf,one_shot,One-shot,1,True,False,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
48,1.0,71109.0,82102.0,4299119.0,2.98583,SATISFIABLE,48,0,data/test/3sat/400/3sat_141.cnf,0.2900097370147705,0.0,0.0,0.2900097370147705,3.2758397370147705,3sat_141.cnf,one_shot,One-shot,1,True,False,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
49,1.0,61037.0,70865.0,3765471.0,2.06337,SATISFIABLE,49,0,data/test/3sat/400/3sat_142.cnf,0.2900097370147705,0.0,0.0,0.2900097370147705,2.3533797370147704,3sat_142.cnf,one_shot,One-shot,1,True,False,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
50,2.0,1451048.0,1666240.0,83441183.0,59.9893,INDETERMINATE,50,0,data/test/3sat/400/3sat_143.cnf,0.2915382385253906,0.0,0.0,0.2915382385253906,60.28083823852539,3sat_143.cnf,one_shot,One-shot,1,False,True,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
51,2.0,1360008.0,1544807.0,75759127.0,59.9877,INDETERMINATE,51,0,data/test/3sat/400/3sat_144.cnf,0.2915382385253906,0.0,0.0,0.2915382385253906,60.27923823852539,3sat_144.cnf,one_shot,One-shot,1,False,True,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
52,2.0,1419344.0,1641383.0,81136567.0,59.9845,INDETERMINATE,52,0,data/test/3sat/400/3sat_145.cnf,0.2915382385253906,0.0,0.0,0.2915382385253906,60.27603823852539,3sat_145.cnf,one_shot,One-shot,1,False,True,runs/analysis/full400_seed_robustness/raw/one_shot/seed1.csv
