file_key,one_shot_solved_seeds,one_shot_solved,one_shot_time_mean,one_shot_time_std,one_shot_result_values,online_solved_seeds,online_solved,online_time_mean,online_time_std,online_result_values,old_compact_solved_seeds,old_compact_solved,old_compact_time_mean,old_compact_time_std,old_compact_result_values,local_correction_solved_seeds,local_correction_solved,local_correction_time_mean,local_correction_time_std,local_correction_result_values,pattern,pattern_label,stable_across_seeds_all_methods,old_minus_online_time_mean,local_minus_online_time_mean,local_minus_old_time_mean
3sat_0.cnf,0,False,60.28425401535034,0.010717186014039547,INDETERMINATE,0,False,60.44960028707377,0.032037751638097044,INDETERMINATE,0,False,60.38791285391236,0.02631153579263184,INDETERMINATE,0,False,60.42343984547424,0.053188554317304695,INDETERMINATE,0000,p0000,True,-0.0616874331614099,-0.02616044159952935,0.03552699156188055
3sat_1.cnf,3,True,3.051657348683675,0.12643515719792603,SATISFIABLE,3,True,3.2917032870737715,0.05100244901568485,SATISFIABLE,3,True,3.26375352057902,0.05212867911487943,SATISFIABLE,3,True,3.2754621788075764,0.033790386281693265,SATISFIABLE,1111,p1111,True,-0.02794976649475167,-0.01624110826619507,0.011708658228556601
3sat_10.cnf,0,False,60.28458734868368,0.011693913017987376,INDETERMINATE,0,False,60.44868028707378,0.018427114497288285,INDETERMINATE,0,False,60.39509718724569,0.012810007241492874,INDETERMINATE,0,False,60.40621217880758,0.04412818926910933,INDETERMINATE,0000,p0000,True,-0.05358309982808862,-0.04246810826619907,0.011114991561889553
3sat_100.cnf,3,True,0.3787433486836751,0.00822022132838099,SATISFIABLE,3,True,0.5560572870737711,0.03249378678610925,SATISFIABLE,3,True,0.49881785391235356,0.027564951417962832,SATISFIABLE,3,True,0.5082198454742431,0.04590376757507664,SATISFIABLE,1111,p1111,True,-0.05723943316141755,-0.04783744159952796,0.009401991561889589
3sat_101.cnf,0,False,60.288787348683684,0.00461350763968313,INDETERMINATE,0,False,60.4466856204071,0.02473822666916892,INDETERMINATE,0,False,60.39612152057902,0.029935666393702234,INDETERMINATE,0,False,60.41664851214091,0.0477259227008053,INDETERMINATE,0000,p0000,True,-0.050564099828079634,-0.030037108266192547,0.020526991561887087
3sat_102.cnf,0,False,60.28662068201701,0.006950712439003663,INDETERMINATE,0,False,60.456811287073776,0.02375018804715249,INDETERMINATE,0,False,60.403762853912355,0.029512797709606974,INDETERMINATE,0,False,60.41138817880758,0.05330891963549816,INDETERMINATE,0000,p0000,True,-0.053048433161421826,-0.04542310826619911,0.007625324895222718
3sat_103.cnf,0,False,60.29068734868368,0.008960880180221778,INDETERMINATE,0,False,60.46130395374044,0.019303476202422922,INDETERMINATE,0,False,60.41140618724569,0.02024414815213757,INDETERMINATE,0,False,60.42698351214091,0.04405330638793811,INDETERMINATE,0000,p0000,True,-0.04989776649475175,-0.03432044159953307,0.01557732489521868
3sat_104.cnf,0,False,60.29535401535035,0.016565196544464207,INDETERMINATE,0,False,60.46698628707377,0.0211621205625731,INDETERMINATE,0,False,60.40918652057903,0.030442430864549397,INDETERMINATE,0,False,60.41900984547425,0.06562301399358883,INDETERMINATE,0000,p0000,True,-0.05779976649474605,-0.04797644159952341,0.00982332489522264
3sat_105.cnf,0,False,60.291820682017004,0.023705858890591264,INDETERMINATE,0,False,60.45620162040711,0.037269629115962544,INDETERMINATE,0,False,60.40227318724569,0.03137804983786993,INDETERMINATE,0,False,60.4280805121409,0.06060736374945615,INDETERMINATE,0000,p0000,True,-0.05392843316141693,-0.028121108266205397,0.025807324895211536
3sat_106.cnf,0,False,60.28305401535034,0.005443493720088234,INDETERMINATE,0,False,60.4597326204071,0.030869308390150847,INDETERMINATE,0,False,60.39317585391236,0.04277462315019251,INDETERMINATE,0,False,60.42287884547424,0.03912748290931427,INDETERMINATE,0000,p0000,True,-0.06655676649474174,-0.036853774932865235,0.0297029915618765
