method,n,solved,mean_time,median_time,mean_cpu_time,mean_gpu_time,mean_conflicts,mean_decisions
oneshot,200,50,47.7516624905774,60.76596526165008,46.94407305500001,0.8075894355773926,1360590.18,1553591.675
old_compact,200,56,46.348388939752496,60.88062349633026,45.429550795,0.8467973947525025,1310319.785,1496544.645
pairwise_veto_actual,200,52,46.87552306334686,60.95929075707245,45.956313145,0.8467198133468627,1302398.595,1487153.925
online_consistent_boundary400,200,56,46.22166870912506,60.88202661372375,45.33663646,0.812635064125061,1314977.19,1501977.42
