size,split,file_key,one_shot_result,one_shot_solved,one_shot_time,one_shot_cpu_time,one_shot_gpu_time,one_shot_conflicts,one_shot_decisions,one_shot_propagations,old_result,old_solved,old_time,old_cpu_time,old_gpu_time,old_conflicts,old_decisions,old_propagations,online_result,online_solved,online_time,online_cpu_time,online_gpu_time,online_conflicts,online_decisions,online_propagations,local_result,local_solved,local_time,local_cpu_time,local_gpu_time,local_conflicts,local_decisions,local_propagations,pairwise_result,pairwise_solved,pairwise_time,pairwise_cpu_time,pairwise_gpu_time,pairwise_conflicts,pairwise_decisions,pairwise_propagations,delta_time_vs_one_shot,delta_conflicts_vs_one_shot,delta_decisions_vs_one_shot,outcome_vs_one_shot,delta_time_vs_old,delta_conflicts_vs_old,delta_decisions_vs_old,outcome_vs_old,delta_time_vs_online,delta_conflicts_vs_online,delta_decisions_vs_online,outcome_vs_online,difficulty_bucket
400,data/test/3sat/400,3sat_107.cnf,INDETERMINATE,False,60.82452078895569,59.9758,0.8487207889556885,1600565.0,1837295.0,90759839.0,INDETERMINATE,False,60.89722497093201,59.9859,0.8363549709320068,1585870.0,1820519.0,89958440.0,INDETERMINATE,False,61.16381945095826,59.9851,1.107811450958252,1600946.0,1837728.0,90780653.0,INDETERMINATE,False,60.36731285026551,59.9769,0.3009078502655029,1559711.0,1790714.0,88518101.0,INDETERMINATE,False,61.11487111923218,59.9933,1.0557761192321775,1482915.0,1702812.0,84344795.0,-0.45720793869017484,-40854.0,-46581.0,both_timeout,-0.529912120666495,-26159.0,-29805.0,both_timeout,-0.7965066006927444,-41235.0,-47014.0,both_timeout,timeout
400,data/test/3sat/400,3sat_108.cnf,INDETERMINATE,False,60.82592078895569,59.9772,0.8487207889556885,1728958.0,1989185.0,96396235.0,INDETERMINATE,False,60.875312970932,59.9725,0.8363549709320068,1730622.0,1991069.0,96489008.0,INDETERMINATE,False,61.17099645095825,59.9899,1.107811450958252,1725392.0,1985125.0,96193001.0,INDETERMINATE,False,60.391862850265504,59.9978,0.3009078502655029,1698848.0,1954754.0,94751890.0,INDETERMINATE,False,61.11781011923218,59.9898,1.0557761192321775,1593102.0,1833907.0,89003329.0,-0.43405793869018794,-30110.0,-34431.0,both_timeout,-0.48345012066649673,-31774.0,-36315.0,both_timeout,-0.7791336006927452,-26544.0,-30371.0,both_timeout,timeout
400,data/test/3sat/400,3sat_109.cnf,INDETERMINATE,False,60.83962078895569,59.9909,0.8487207889556885,1808106.0,2071473.0,101041981.0,INDETERMINATE,False,60.89453097093201,59.9846,0.8363549709320068,1821906.0,2087123.0,101784536.0,INDETERMINATE,False,61.16848345095825,59.9813,1.107811450958252,1827510.0,2093491.0,102080655.0,INDETERMINATE,False,60.3796748502655,59.9932,0.3009078502655029,1786513.0,2047051.0,99853018.0,INDETERMINATE,False,61.12352211923218,59.9909,1.0557761192321775,1661282.0,1903575.0,92944054.0,-0.45994593869018985,-21593.0,-24422.0,both_timeout,-0.5148561206665079,-35393.0,-40072.0,both_timeout,-0.7888086006927466,-40997.0,-46440.0,both_timeout,timeout
400,data/test/3sat/400,3sat_11.cnf,SATISFIABLE,True,1.9485707889556885,1.09985,0.8487207889556885,40661.0,47692.0,2496556.0,SATISFIABLE,True,2.0168879709320064,1.12295,0.8363549709320068,40661.0,47692.0,2496556.0,SATISFIABLE,True,2.318524450958252,1.13113,1.107811450958252,40661.0,47692.0,2496556.0,SATISFIABLE,True,1.5036918502655028,1.11824,0.3009078502655029,40661.0,47692.0,2496556.0,SATISFIABLE,True,2.241860119232178,1.11337,1.0557761192321775,40661.0,47692.0,2496556.0,-0.4448789386901857,0.0,0.0,faster_both_solved,-0.5131961206665037,0.0,0.0,faster_both_solved,-0.8148326006927493,0.0,0.0,faster_both_solved,easy(<10s)
400,data/test/3sat/400,3sat_110.cnf,INDETERMINATE,False,60.82512078895569,59.9764,0.8487207889556885,1774139.0,2032507.0,102326835.0,INDETERMINATE,False,60.899328970932,59.9876,0.8363549709320068,1754857.0,2010700.0,101232155.0,INDETERMINATE,False,61.15523345095825,59.9741,1.107811450958252,1781647.0,2041122.0,102751782.0,INDETERMINATE,False,60.36521885026551,59.9868,0.3009078502655029,1714122.0,1964337.0,98886116.0,INDETERMINATE,False,61.110389119232174,59.9775,1.0557761192321775,1608836.0,1844496.0,92840458.0,-0.45990193869018015,-60017.0,-68170.0,both_timeout,-0.5341101206664902,-40735.0,-46363.0,both_timeout,-0.7900146006927429,-67525.0,-76785.0,both_timeout,timeout
400,data/test/3sat/400,3sat_111.cnf,INDETERMINATE,False,60.82162078895569,59.9729,0.8487207889556885,1710394.0,1961076.0,99286334.0,INDETERMINATE,False,60.88047197093201,59.9816,0.8363549709320068,1709374.0,1959931.0,99229951.0,INDETERMINATE,False,61.15475145095825,59.9721,1.107811450958252,1721582.0,1973962.0,99917343.0,INDETERMINATE,False,60.37802685026551,59.9795,0.3009078502655029,1688573.0,1936236.0,98057375.0,INDETERMINATE,False,61.09785311923218,59.9671,1.0557761192321775,1581989.0,1814364.0,92090475.0,-0.44359393869017794,-21821.0,-24840.0,both_timeout,-0.5024451206664935,-20801.0,-23695.0,both_timeout,-0.776724600692738,-33009.0,-37726.0,both_timeout,timeout
400,data/test/3sat/400,3sat_112.cnf,INDETERMINATE,False,60.82602078895569,59.9773,0.8487207889556885,1769174.0,2008339.0,101665147.0,INDETERMINATE,False,60.877311970932006,59.9835,0.8363549709320068,1768266.0,2007315.0,101612809.0,INDETERMINATE,False,61.15026545095825,59.977,1.107811450958252,1778276.0,2018660.0,102165448.0,INDETERMINATE,False,60.3601858502655,59.975,0.3009078502655029,1776566.0,2016730.0,102076200.0,INDETERMINATE,False,61.10360711923217,59.9661,1.0557761192321775,1661604.0,1886811.0,95757385.0,-0.4658349386901861,7392.0,8391.0,both_timeout,-0.5171261206665037,8300.0,9415.0,both_timeout,-0.7900796006927493,-1710.0,-1930.0,both_timeout,timeout
400,data/test/3sat/400,3sat_113.cnf,INDETERMINATE,False,60.83292078895569,59.9842,0.8487207889556885,1693818.0,1920061.0,96494421.0,INDETERMINATE,False,60.90229097093201,59.9826,0.8363549709320068,1664178.0,1887273.0,94811442.0,INDETERMINATE,False,61.14504445095825,59.9635,1.107811450958252,1680833.0,1905952.0,95732168.0,INDETERMINATE,False,60.4043678502655,59.9981,0.3009078502655029,1638453.0,1858297.0,93388164.0,INDETERMINATE,False,61.115984119232174,59.9817,1.0557761192321775,1641227.0,1858560.0,92826882.0,-0.4285529386901885,-55365.0,-61764.0,both_timeout,-0.49792312066650624,-25725.0,-28976.0,both_timeout,-0.7406766006927512,-42380.0,-47655.0,both_timeout,timeout
400,data/test/3sat/400,3sat_114.cnf,INDETERMINATE,False,60.83402078895569,59.9853,0.8487207889556885,1709296.0,1961409.0,96336052.0,INDETERMINATE,False,60.89531997093201,59.9864,0.8363549709320068,1724149.0,1978315.0,97180904.0,INDETERMINATE,False,61.17578945095825,59.988,1.107811450958252,1718141.0,1971508.0,96842379.0,INDETERMINATE,False,60.3869438502655,59.9926,0.3009078502655029,1744197.0,2001109.0,98273577.0,INDETERMINATE,False,61.11773611923218,59.9895,1.0557761192321775,1669170.0,1915671.0,94081330.0,-0.44707693869018783,34901.0,39700.0,both_timeout,-0.5083761206665045,20048.0,22794.0,both_timeout,-0.7888456006927456,26056.0,29601.0,both_timeout,timeout
400,data/test/3sat/400,3sat_115.cnf,INDETERMINATE,False,60.82212078895569,59.9734,0.8487207889556885,1650354.0,1881664.0,92843324.0,INDETERMINATE,False,60.89821597093201,59.9823,0.8363549709320068,1621893.0,1839377.0,89733544.0,INDETERMINATE,False,61.15731345095825,59.9803,1.107811450958252,1619515.0,1846395.0,91151865.0,INDETERMINATE,False,60.3670338502655,59.9751,0.3009078502655029,1596489.0,1820153.0,89884309.0,INDETERMINATE,False,61.12467811923217,59.9875,1.0557761192321775,1509660.0,1712637.0,83408953.0,-0.45508693869018657,-53865.0,-61511.0,both_timeout,-0.5311821206665073,-25404.0,-19224.0,both_timeout,-0.7902796006927488,-23026.0,-26242.0,both_timeout,timeout
400,data/test/3sat/400,3sat_116.cnf,INDETERMINATE,False,60.772918489456174,59.9905,0.7824184894561768,1697795.0,1930913.0,94374845.0,INDETERMINATE,False,60.93063267906189,59.979,0.8776776790618896,1722472.0,1958329.0,95697539.0,INDETERMINATE,False,61.19261487010193,59.9854,1.1401078701019287,1736337.0,1973886.0,96428155.0,INDETERMINATE,False,60.39821597183227,59.9858,0.3114609718322754,1686115.0,1917829.0,93741453.0,INDETERMINATE,False,61.09464342176819,59.9801,1.0373194217681885,1648873.0,1875946.0,91726949.0,-0.37470251762390205,-11680.0,-13084.0,both_timeout,-0.5324167072296149,-36357.0,-40500.0,both_timeout,-0.7943988982696553,-50222.0,-56057.0,both_timeout,timeout
400,data/test/3sat/400,3sat_117.cnf,INDETERMINATE,False,60.76231848945618,59.9799,0.7824184894561768,1725605.0,1976075.0,96110989.0,INDETERMINATE,False,60.92502467906189,59.9761,0.8776776790618896,1766097.0,2019593.0,98164834.0,INDETERMINATE,False,61.19825687010193,59.9861,1.1401078701019287,1743714.0,1996951.0,97125924.0,INDETERMINATE,False,60.40042097183228,59.9928,0.3114609718322754,1766604.0,2022969.0,98430839.0,INDETERMINATE,False,61.10649442176819,59.9891,1.0373194217681885,1740182.0,1990318.0,96724180.0,-0.36189751762389477,40999.0,46894.0,both_timeout,-0.524603707229609,507.0,3376.0,both_timeout,-0.7978358982696463,22890.0,26018.0,both_timeout,timeout
400,data/test/3sat/400,3sat_118.cnf,INDETERMINATE,False,60.76561848945617,59.9832,0.7824184894561768,1736295.0,1982749.0,97276222.0,INDETERMINATE,False,60.93393867906189,59.9846,0.8776776790618896,1718190.0,1962426.0,96263670.0,INDETERMINATE,False,61.20848887010192,59.9935,1.1401078701019287,1722229.0,1966888.0,96493735.0,INDETERMINATE,False,60.41047497183228,59.9983,0.3114609718322754,1686399.0,1926263.0,94529377.0,INDETERMINATE,False,61.09582242176819,59.9855,1.0373194217681885,1623049.0,1854613.0,91101516.0,-0.35514351762389396,-49896.0,-56486.0,both_timeout,-0.5234637072296096,-31791.0,-36163.0,both_timeout,-0.7980138982696374,-35830.0,-40625.0,both_timeout,timeout
