eval_path,checkpoint,cnf_id,file,file_key,guidance_hash,weight_mean,weight_std,weight_min,weight_max,phase_true,risk_prob,recovery_prob,slowdown_prob,use_before_veto,slowdown_veto,use_adapter,local_reopen_rule_open,use_adapter_with_local_reopen,local_reopen_candidate,warmup_c500_solved,warmup_c1000_solved,warmup_c2000_base_rho_std,warmup_c2000_base_rho_range,warmup_c2000_event_conf_learnt_log_max,warmup_c2000_minus_warmup_c1000_delta_abs_mean,warmup_c2000_minus_warmup_c1000_delta_mu_abs_mean,warmup_c2000_minus_warmup_c1000_propagations,warmup_c2000_event_entropy_norm,warmup_c2000_event_top10_mass,warmup_c1000_minus_warmup_c500_rho_event_top10_overlap,warmup_c2000_minus_warmup_c1000_event_top05_mass,warmup_c500_decisions,warmup_c1000_decisions,warmup_c2000_decisions,warmup_c500_propagations,warmup_c1000_propagations,warmup_c2000_propagations,warmup_c2000_cpu_time,warmup_c2000_base_rho_mean,warmup_c2000_delta_abs_mean,warmup_c2000_delta_abs_max,warmup_c2000_rho_event_corr,warmup_c2000_rho_event_top10_overlap,warmup_c2000_event_conf_learnt_log_mean,warmup_c1000_minus_warmup_c500_event_top10_mass,warmup_c2000_minus_warmup_c1000_event_top10_mass,warmup_c1000_minus_warmup_c500_rho_event_corr,warmup_c2000_minus_warmup_c1000_rho_event_corr,warmup_c1000_minus_warmup_c750_decisions
data/test/3sat/400/*.cnf,runs/GNN_Glucose_3SAT_TwoStageRiskControllerOnlineConsistentBoundary400LocalReopenOverride/best.pt,0,data/test/3sat/400/3sat_0.cnf,3sat_0.cnf,14fcd69cc1405fb61f9938bd91487b50f8bdc478285586fc2ed1e7a811a70f1e,0.9104063510894775,0.23303240537643433,0.785521388053894,2.1279895305633545,36,0.2233346849679947,0.2407248467206955,0.16673019528388977,False,False,False,0.0,False,0.0,0.0,0.0,2.0434746742248535,24.756954193115234,7.122866630554199,-0.0011136271059513092,-0.003340885043144226,56419.0,0.863401472568512,0.5119901895523071,-0.025000005960464478,0.007357805967330933,626.0,1227.0,2402.0,27999.0,58388.0,114807.0,0.043917,-0.3707832992076874,0.03423348069190979,0.0416666716337204,-0.15454451739788055,0.4000000059604645,4.730160236358643,0.0005387067794799805,-0.00016355514526367188,-0.03671662509441376,-0.001070261001586914,306.0
data/test/3sat/400/*.cnf,runs/GNN_Glucose_3SAT_TwoStageRiskControllerOnlineConsistentBoundary400LocalReopenOverride/best.pt,1,data/test/3sat/400/3sat_1.cnf,3sat_1.cnf,6e2977c58b7e9e23254bd726db05bb2677ebe12b3f064ea8242a9a84d306e60c,0.9159769415855408,0.2457561194896698,0.7878244519233704,2.334571599960327,35,0.8162674307823181,0.0932178720831871,0.7328309416770935,False,False,False,0.0,False,0.0,0.0,0.0,2.302459478378296,27.52845573425293,7.114769458770752,-0.0003341399133205414,-0.0010024309158325195,58710.0,0.8851549029350281,0.4700225293636322,0.0,0.023805856704711914,625.0,1269.0,2481.0,29796.0,61119.0,119829.0,0.038728,-0.30125901103019714,0.034852396696805954,0.0416666716337204,-0.08003980666399002,0.3499999940395355,4.922647476196289,-0.006091117858886719,0.02145552635192871,0.016184408217668533,-0.030046317726373672,308.0
data/test/3sat/400/*.cnf,runs/GNN_Glucose_3SAT_TwoStageRiskControllerOnlineConsistentBoundary400LocalReopenOverride/best.pt,2,data/test/3sat/400/3sat_10.cnf,3sat_10.cnf,5337e8d4fc741ec0f2724155eb072a9fb0a333691a52b875b9936ee696eca98f,0.9218933582305908,0.2545146942138672,0.786039412021637,2.448359727859497,46,0.6861668825149536,0.058777160942554474,0.753455638885498,False,False,False,0.0,False,0.0,0.0,0.0,2.5030665397644043,29.806772232055664,7.108243942260742,0.0012326836585998535,0.003698013722896576,61711.0,0.8786972165107727,0.47048258781433105,0.0,0.004116535186767578,624.0,1236.0,2381.0,31182.0,62435.0,124146.0,0.039493,-0.1920880824327469,0.035255756229162216,0.041666675359010696,0.09080114960670471,0.44999998807907104,4.7935709953308105,0.002432912588119507,0.005869388580322266,0.017559848725795746,-0.008237093687057495,311.0
data/test/3sat/400/*.cnf,runs/GNN_Glucose_3SAT_TwoStageRiskControllerOnlineConsistentBoundary400LocalReopenOverride/best.pt,3,data/test/3sat/400/3sat_100.cnf,3sat_100.cnf,22c87f470a9ebe75a1a4e39d639727166e763a9669a4fee31d683a82235cb906,0.9199556708335876,0.25052306056022644,0.7881075143814087,2.2525570392608643,42,0.5239686369895935,0.44329833984375,0.27042168378829956,False,False,False,0.0,False,0.0,0.0,0.0,2.510010242462158,29.087318420410156,7.0166096687316895,0.0005759969353675842,0.001727968454360962,60634.0,0.884122908115387,0.45999881625175476,0.02499997615814209,0.004728823900222778,659.0,1274.0,2465.0,30440.0,61798.0,122432.0,0.04155,-0.1999620497226715,0.0347868837416172,0.041666675359010696,0.010844649747014046,0.42500001192092896,4.843822479248047,-0.02143809199333191,0.012455254793167114,-0.005840081721544266,-0.03001033328473568,318.0
data/test/3sat/400/*.cnf,runs/GNN_Glucose_3SAT_TwoStageRiskControllerOnlineConsistentBoundary400LocalReopenOverride/best.pt,4,data/test/3sat/400/3sat_101.cnf,3sat_101.cnf,e5ab2a4cb9d070c323ab17ea7c3e088156a7634aacd84f92d7f604c61a705300,0.9090423583984375,0.23216696083545685,0.7846302390098572,2.3333029747009277,41,0.7640919089317322,0.012073112651705742,0.9277133941650391,False,False,False,0.0,False,0.0,0.0,0.0,1.9484856128692627,24.255176544189453,7.201916217803955,0.0009226091206073761,0.00276782363653183,56822.0,0.868004560470581,0.5008584260940552,0.0,-7.414817810058594e-05,666.0,1248.0,2438.0,30085.0,59284.0,116106.0,0.042069,-0.16424483060836792,0.03640216216444969,0.041666675359010696,0.08238424360752106,0.32499998807907104,4.7749342918396,0.018086344003677368,0.007875233888626099,0.008259192109107971,-0.01650877296924591,301.0
data/test/3sat/400/*.cnf,runs/GNN_Glucose_3SAT_TwoStageRiskControllerOnlineConsistentBoundary400LocalReopenOverride/best.pt,5,data/test/3sat/400/3sat_102.cnf,3sat_102.cnf,efc1312b1e9fb4fcd26fbaef59148700515c6c01227d4c39d426174782dd134b,0.9188714623451233,0.23333488404750824,0.7858549356460571,2.103160858154297,38,0.5667339563369751,0.1381828635931015,0.13410377502441406,False,False,False,0.0,False,0.0,0.0,0.0,2.460568904876709,29.233577728271484,7.149916648864746,-0.0004816986620426178,-0.0014451146125793457,58122.0,0.8809319138526917,0.4758136570453644,0.0,-0.003138929605484009,677.0,1281.0,2486.0,30093.0,60897.0,119019.0,0.04189,-0.42399710416793823,0.035121411085128784,0.0416666716337204,-0.3273721933364868,0.3499999940395355,4.929051876068115,-0.004614710807800293,-0.033717185258865356,-0.0010621249675750732,-0.03750044107437134,293.0
data/test/3sat/400/*.cnf,runs/GNN_Glucose_3SAT_TwoStageRiskControllerOnlineConsistentBoundary400LocalReopenOverride/best.pt,6,data/test/3sat/400/3sat_103.cnf,3sat_103.cnf,da7d66325fa1a78a9fe6c56f2e5240155e7c8b6a844a2fb8830d33cb5f28c33e,0.9322965145111084,0.2575570344924927,0.6954655647277832,2.0473036766052246,31,0.10333963483572006,0.7813164591789246,0.016524208709597588,True,False,True,0.0,True,0.0,0.0,0.0,2.1165030002593994,23.39627456665039,7.007600784301758,-0.0003826506435871124,-0.0011479482054710388,63878.0,0.8947376012802124,0.4363493323326111,0.025000005960464478,-0.013145625591278076,626.0,1286.0,2543.0,30636.0,60802.0,124680.0,0.034245,-0.3048749268054962,0.03460557758808136,0.0416666716337204,-0.017413077875971794,0.3499999940395355,4.973979949951172,-0.0173662006855011,-0.020964831113815308,0.003446955233812332,0.012011954560875893,317.0
data/test/3sat/400/*.cnf,runs/GNN_Glucose_3SAT_TwoStageRiskControllerOnlineConsistentBoundary400LocalReopenOverride/best.pt,7,data/test/3sat/400/3sat_104.cnf,3sat_104.cnf,5e4bb528b39f58a75fbbe6daef01ace01db7fbd6c6c0bbb10c90d7c6953dd1a8,0.9150617718696594,0.23682208359241486,0.7863847017288208,2.2540013790130615,38,0.8074127435684204,0.3173525035381317,0.725966215133667,False,False,False,0.0,False,0.0,0.0,0.0,2.278611660003662,26.481338500976562,7.19743537902832,-0.00025976449251174927,-0.0007793232798576355,63197.0,0.8700537085533142,0.5024093985557556,0.025000005960464478,0.02546820044517517,629.0,1225.0,2374.0,30931.0,60007.0,123204.0,0.044606,-0.1566149741411209,0.0349927693605423,0.0416666716337204,0.1697843074798584,0.4000000059604645,4.880904674530029,0.013980627059936523,0.030491530895233154,0.012838780879974365,0.0008102059364318848,298.0
data/test/3sat/400/*.cnf,runs/GNN_Glucose_3SAT_TwoStageRiskControllerOnlineConsistentBoundary400LocalReopenOverride/best.pt,8,data/test/3sat/400/3sat_105.cnf,3sat_105.cnf,1d41b08e1ccc3b6fd3118cb30563c752802da8b52bef7bfec27a650e0167f986,0.917249321937561,0.25550708174705505,0.7856611013412476,2.537971258163452,34,0.5250226259231567,0.13756690919399261,0.5083116888999939,False,False,False,0.0,False,0.0,0.0,0.0,2.5421931743621826,29.28011703491211,7.042286396026611,0.00019907578825950623,0.0005972161889076233,62831.0,0.8885788321495056,0.46477770805358887,0.02499997615814209,0.0005431771278381348,662.0,1282.0,2472.0,29885.0,61292.0,124123.0,0.035682,-0.5281243324279785,0.0353630892932415,0.0416666716337204,-0.3156875967979431,0.32499998807907104,4.921380996704102,-0.02137356996536255,0.0027693510055541992,0.004994690418243408,0.0065309107303619385,321.0
data/test/3sat/400/*.cnf,runs/GNN_Glucose_3SAT_TwoStageRiskControllerOnlineConsistentBoundary400LocalReopenOverride/best.pt,9,data/test/3sat/400/3sat_106.cnf,3sat_106.cnf,ced882d9c8e9d0e39f46ebcba7f625388c2147a292b93363f0a8d5d5581cd92c,0.9209908843040466,0.26086190342903137,0.786631166934967,2.235264778137207,31,0.41828396916389465,0.3243902921676636,0.12971068918704987,False,False,False,0.0,False,1.0,0.0,0.0,2.689344644546509,30.401111602783203,6.960347652435303,0.0009939111769199371,0.0029817596077919006,59172.0,0.8950257897377014,0.4324340224266052,-0.050000011920928955,-0.00022611021995544434,642.0,1263.0,2494.0,31478.0,61981.0,121153.0,0.041091,-0.4587804079055786,0.034093666821718216,0.041666675359010696,-0.11659644544124603,0.375,4.8700642585754395,0.0054108500480651855,0.001992732286453247,0.008434511721134186,-0.01883503794670105,324.0
data/test/3sat/400/*.cnf,runs/GNN_Glucose_3SAT_TwoStageRiskControllerOnlineConsistentBoundary400LocalReopenOverride/best.pt,10,data/test/3sat/400/3sat_107.cnf,3sat_107.cnf,0a9dbe4613b4c642bf51a9521b289a3a88862ea52f36f72382a9c2fea13385af,0.9090028405189514,0.2386258989572525,0.7874140739440918,2.4368646144866943,32,0.3209258019924164,0.33236050605773926,0.3118278980255127,False,False,False,0.0,False,0.0,0.0,0.0,2.293107032775879,28.928333282470703,7.091742038726807,8.106231689453125e-06,2.4303793907165527e-05,61849.0,0.8735092282295227,0.4923228323459625,0.0,0.004878968000411987,608.0,1208.0,2367.0,28787.0,59397.0,121246.0,0.034454,-0.3443050682544708,0.035367202013731,0.0416666716337204,-0.11215564608573914,0.32499998807907104,4.842386722564697,-0.02399289608001709,-0.003862351179122925,0.0037049874663352966,0.0016614198684692383,300.0
data/test/3sat/400/*.cnf,runs/GNN_Glucose_3SAT_TwoStageRiskControllerOnlineConsistentBoundary400LocalReopenOverride/best.pt,11,data/test/3sat/400/3sat_108.cnf,3sat_108.cnf,96ee7893846803ebba3d33bbc9381a73f5a5b6b0f351d2e4bf1e5bb09a192bb0,0.904877781867981,0.21777863800525665,0.7856666445732117,1.9987730979919434,37,0.4455910623073578,0.2663910984992981,0.22993862628936768,False,False,False,0.0,False,0.0,0.0,0.0,2.1643660068511963,22.343114852905273,7.074963092803955,0.0007850080728530884,0.002355016767978668,60490.0,0.8711184859275818,0.49692395329475403,-0.025000005960464478,-2.899765968322754e-05,636.0,1256.0,2444.0,29290.0,58701.0,119191.0,0.040629,-0.3713659644126892,0.034934647381305695,0.0416666716337204,-0.12196130305528641,0.3499999940395355,4.7874064445495605,-0.0071863532066345215,-0.00926920771598816,0.003129042685031891,-0.013514161109924316,314.0
data/test/3sat/400/*.cnf,runs/GNN_Glucose_3SAT_TwoStageRiskControllerOnlineConsistentBoundary400LocalReopenOverride/best.pt,12,data/test/3sat/400/3sat_109.cnf,3sat_109.cnf,646807866b0acbd7e4961aad0e598c1df7a4d811acae63346a883d8718533ba3,0.9092862010002136,0.23265454173088074,0.7854805588722229,2.2236101627349854,28,0.6774603724479675,0.02793627791106701,0.865441083908081,False,False,False,0.0,False,0.0,0.0,0.0,2.2060675621032715,27.23941421508789,7.14755916595459,-0.0003115609288215637,-0.0009347200393676758,60806.0,0.8729159235954285,0.4991191625595093,0.0,0.021535724401474,640.0,1241.0,2433.0,31285.0,62582.0,123388.0,0.032699,-0.3767279088497162,0.035667784512043,0.0416666716337204,-0.09144717454910278,0.4000000059604645,4.87287712097168,-0.01858830451965332,0.016333281993865967,0.004379644989967346,-0.012119442224502563,310.0
data/test/3sat/400/*.cnf,runs/GNN_Glucose_3SAT_TwoStageRiskControllerOnlineConsistentBoundary400LocalReopenOverride/best.pt,13,data/test/3sat/400/3sat_11.cnf,3sat_11.cnf,3192b19b99ce8dfefae0ebeffd30289935c3b6b7747a9cc7e30bf84cfa7a5aac,0.9109044671058655,0.23383240401744843,0.7869735360145569,2.3766613006591797,37,0.4396730661392212,0.27983736991882324,0.45095524191856384,False,False,False,0.0,False,0.0,0.0,0.0,2.2893319129943848,30.020235061645508,7.083387851715088,0.0005259625613689423,0.0015778839588165283,61252.0,0.8779625296592712,0.4885426163673401,0.0,0.0013476908206939697,677.0,1288.0,2499.0,29876.0,60525.0,121777.0,0.038356,-0.33525416254997253,0.03507619723677635,0.0416666716337204,-0.043598879128694534,0.32499998807907104,4.898748874664307,-0.02249053120613098,0.004493802785873413,0.0019476525485515594,-0.021370891481637955,311.0
data/test/3sat/400/*.cnf,runs/GNN_Glucose_3SAT_TwoStageRiskControllerOnlineConsistentBoundary400LocalReopenOverride/best.pt,14,data/test/3sat/400/3sat_110.cnf,3sat_110.cnf,0f5da67127259f1256cab38340e91d0216bcf330f7658d3d589e91bb615c1e79,0.9100294709205627,0.23169834911823273,0.7867119908332825,2.230646848678589,45,0.5852739810943604,0.007192235440015793,0.592128574848175,False,False,False,0.0,False,0.0,0.0,0.0,2.1523988246917725,28.258544921875,7.170888423919678,-3.082677721977234e-05,-9.251385927200317e-05,60180.0,0.8828560709953308,0.4695206582546234,0.050000011920928955,-0.006122946739196777,681.0,1282.0,2457.0,29991.0,60888.0,121068.0,0.038171,-0.27672114968299866,0.03490415960550308,0.0416666716337204,-0.026432914659380913,0.42500001192092896,4.912844657897949,0.018641233444213867,-0.005855470895767212,0.0007296446710824966,-0.005258288234472275,300.0
