instance,file_key,group,method,repeat,result,time,cpu_time,timeout,conclusion_tag,raw_csv
3sat_163.cnf,3sat_163.cnf,recovered_timeout,one_shot,0,INDETERMINATE,60.18914006767273,59.9656,True,timeout,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/one_shot/repeat0.csv
3sat_188.cnf,3sat_188.cnf,recovered_timeout,one_shot,0,INDETERMINATE,60.21064006767273,59.9871,True,timeout,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/one_shot/repeat0.csv
3sat_189.cnf,3sat_189.cnf,recovered_timeout,one_shot,0,INDETERMINATE,60.19214006767273,59.9686,True,timeout,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/one_shot/repeat0.csv
3sat_85.cnf,3sat_85.cnf,recovered_timeout,one_shot,0,INDETERMINATE,60.20214006767273,59.9786,True,timeout,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/one_shot/repeat0.csv
3sat_89.cnf,3sat_89.cnf,recovered_timeout,one_shot,0,INDETERMINATE,60.18644006767273,59.9629,True,timeout,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/one_shot/repeat0.csv
3sat_97.cnf,3sat_97.cnf,recovered_timeout,one_shot,0,INDETERMINATE,60.18304006767273,59.9595,True,timeout,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/one_shot/repeat0.csv
3sat_163.cnf,3sat_163.cnf,recovered_timeout,online_consistent_boundary400,0,SATISFIABLE,29.016106650253292,28.7002,False,solved,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/online_consistent_boundary400/repeat0.csv
3sat_188.cnf,3sat_188.cnf,recovered_timeout,online_consistent_boundary400,0,SATISFIABLE,26.130549650253297,25.8159,False,solved,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/online_consistent_boundary400/repeat0.csv
3sat_189.cnf,3sat_189.cnf,recovered_timeout,online_consistent_boundary400,0,SATISFIABLE,14.284385650253297,13.9646,False,solved,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/online_consistent_boundary400/repeat0.csv
3sat_85.cnf,3sat_85.cnf,recovered_timeout,online_consistent_boundary400,0,SATISFIABLE,0.999749650253296,0.663333,False,solved,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/online_consistent_boundary400/repeat0.csv
