method,family,control_type,scale,benchmark_role,solver_path_role,rows,base_instances,solved_rows,unsolved_rows,indeterminate_rows,known_expected_rows,unknown_expected_rows,known_expected_match_rows,known_expected_wrong_rows,mean_final_cpu_time,median_final_cpu_time,mean_protocol_accounted_time,median_protocol_accounted_time
cached_trace_no_adapter_final,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,27,3,27,0,0,27,0,27,0,1.2055363703703703,0.519612,1.3118009459807498,0.614566029942274
cached_trace_no_adapter_final,php,strong_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,1.7858523888888886,1.7362644999999999,1.895231545629988,1.8521571136389672
cached_trace_no_adapter_final,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,63,7,63,0,0,0,63,0,0,0.8638200952380952,0.038707,1.0199554617559656,0.17882394303584098
cached_trace_no_adapter_final,subset_cardinality,weak_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,0.002477611111111111,0.001765,0.08139051684316993,0.08960506961989403
cached_trace_no_adapter_final,subset_cardinality,weak_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,0.0008516666666666667,0.000714,0.03612784578345882,0.03584959974741936
event_adapter_final,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,27,3,27,0,0,27,0,27,0,1.2867176666666666,0.364729,1.3965788836762882,0.4633099548686147
event_adapter_final,php,strong_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,1.9280643333333332,1.686329,2.0400096687141622,1.8290538522063196
event_adapter_final,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,63,7,63,0,0,0,63,0,0,0.9431803968253968,0.161771,1.1030212346242885,0.3215626256196499
event_adapter_final,subset_cardinality,weak_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,0.0021818333333333334,0.0016970000000000002,0.0835984785283506,0.0939983931146264
event_adapter_final,subset_cardinality,weak_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,0.0015816666666666668,0.001845,0.03881899754228857,0.038587724195957185
neutral_weighted_glucose,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,27,3,27,0,0,27,0,27,0,1.252090222222222,0.512283,1.252090222222222,0.512283
neutral_weighted_glucose,php,strong_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,1.8318930555555555,1.7725735,1.8318930555555555,1.7725735
neutral_weighted_glucose,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,63,7,63,0,0,0,63,0,0,1.3521673174603175,0.483525,1.3521673174603175,0.483525
neutral_weighted_glucose,subset_cardinality,weak_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,0.0034032777777777776,0.0032855000000000002,0.0034032777777777776,0.0032855000000000002
neutral_weighted_glucose,subset_cardinality,weak_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,0.0016488888888888888,0.001778,0.0016488888888888888,0.001778
plain_unguided_glucose,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,27,3,27,0,0,27,0,27,0,1.3344194444444444,0.489722,1.3344194444444444,0.489722
plain_unguided_glucose,php,strong_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,1.9783658333333334,1.8604135,1.9783658333333334,1.8604135
plain_unguided_glucose,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,63,7,63,0,0,0,63,0,0,1.6622627142857143,0.565228,1.6622627142857143,0.565228
plain_unguided_glucose,subset_cardinality,weak_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,0.0020585555555555557,0.0013375000000000001,0.0020585555555555557,0.0013375000000000001
plain_unguided_glucose,subset_cardinality,weak_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,0.0016569999999999998,0.001683,0.0016569999999999998,0.001683
static_weighted_glucose,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,27,3,27,0,0,27,0,27,0,1.2055363703703703,0.519612,1.3040725791942454,0.6090740184936524
static_weighted_glucose,php,strong_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,1.7858523888888886,1.7362644999999999,1.8859548135104707,1.8416320467605591
static_weighted_glucose,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,63,7,63,0,0,0,63,0,0,0.8638200952380952,0.038707,1.0134149774160233,0.17487297528076173
static_weighted_glucose,subset_cardinality,weak_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,0.002477611111111111,0.001765,0.07903792295837403,0.08659541275024413
static_weighted_glucose,subset_cardinality,weak_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,0.0008516666666666667,0.000714,0.034145311253865565,0.034274831176757815
cached_trace_no_adapter_final,__overall__,__overall__,__overall__,__overall__,patched_pretrue_main,135,15,135,0,0,72,63,72,0,0.8827240962962963,0.04462,1.004297536064252,0.17882394303584098
event_adapter_final,__overall__,__overall__,__overall__,__overall__,patched_pretrue_main,135,15,135,0,0,72,63,72,0,0.9549659851851853,0.161771,1.0797947056950798,0.3215626256196499
neutral_weighted_glucose,__overall__,__overall__,__overall__,__overall__,patched_pretrue_main,135,15,135,0,0,72,63,72,0,1.1262455629629629,0.483525,1.1262455629629629,0.483525
plain_unguided_glucose,__overall__,__overall__,__overall__,__overall__,patched_pretrue_main,135,15,135,0,0,72,63,72,0,1.3067735407407406,0.493825,1.3067735407407406,0.493825
static_weighted_glucose,__overall__,__overall__,__overall__,__overall__,patched_pretrue_main,135,15,135,0,0,72,63,72,0,0.8827240962962963,0.04462,0.9980168909124304,0.17487297528076173
