family,method,rows,families,solved_instances,known_expected_instances,known_expected_match_instances,protocol_supported_instances,events_available_instances,mean_protocol_accounted_time,median_protocol_accounted_time,mean_protocol_wall_time,mean_final_cpu_time,median_final_cpu_time,mean_final_wall_time,mean_final_decisions,mean_final_conflicts,mean_static_inference_wall_time,mean_warmup_cpu_time,mean_warmup_wall_time,mean_event_attach_wall_time,mean_adapter_inference_wall_time,mean_event_state_nonzero_vars,mean_event_state_l2_sum
complete_coloring,plain_unguided_glucose,27,1,27,27,27,27,0,1.6803207037037038,0.608984,1.6878076329896297,1.6803207037037038,0.608984,1.6878076329896297,138452.77777777778,127753.44444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complete_coloring,neutral_weighted_glucose,27,1,27,27,27,27,0,1.6717705555555555,0.725242,1.6814887511923358,1.6717705555555555,0.725242,1.6814887511923358,116941.44444444444,108454.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complete_coloring,static_weighted_glucose,27,1,27,27,27,27,0,2.5726926272599964,1.5404439088745117,2.5827571299892886,1.671882888888889,0.738116,1.681947391618181,112804.11111111111,104668.22222222222,0.9008097383711073,0.0,0.0,0.0,0.0,0.0,0.0
complete_coloring,cached_trace_no_adapter_final,27,1,27,27,27,27,27,2.578709695103319,1.5419920827118754,2.5936432194861547,1.671882888888889,0.738116,1.681947391618181,112804.11111111111,104668.22222222222,0.9008097383711073,0.004492222222222222,0.009361243875766243,0.0015248456211001784,0.0,72.66666666666667,159.2198944091797
complete_coloring,event_adapter_final,27,1,27,27,27,27,27,2.447752922653119,1.5785509560867548,2.4595283426827304,1.4800763703703705,0.435841,1.4869827687464379,127591.33333333333,119291.0,0.9008097383711073,0.004492222222222222,0.009361243875766243,0.0015248456211001784,0.06084974606831869,72.66666666666667,159.2198944091797
php,plain_unguided_glucose,18,1,18,18,18,18,0,2.495375777777778,2.3047945,2.5043907450615532,2.495375777777778,2.3047945,2.5043907450615532,204663.16666666666,188881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
php,neutral_weighted_glucose,18,1,18,18,18,18,0,2.492776166666667,2.4594375,2.5028117867704065,2.492776166666667,2.4594375,2.5028117867704065,172352.5,159885.83333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
php,static_weighted_glucose,18,1,18,18,18,18,0,2.851155840435452,2.81100778603363,2.862140032928437,2.489382111111111,2.349483,2.500366303604096,166146.5,154206.16666666666,0.3617737293243408,0.0,0.0,0.0,0.0,0.0,0.0
php,cached_trace_no_adapter_final,18,1,18,18,18,18,18,2.8565253869211507,2.817524026266545,2.8730071876198053,2.489382111111111,2.349483,2.500366303604096,166146.5,154206.16666666666,0.3617737293243408,0.004102611111111111,0.009600219316780567,0.0012669353745877743,0.0,81.0,176.2218805948893
php,event_adapter_final,18,1,18,18,18,18,18,2.637094158949756,2.6471486470493675,2.6514709423710077,2.199326611111111,2.07674,2.208205786326693,188513.5,176302.0,0.3617737293243408,0.004102611111111111,0.009600219316780567,0.0012669353745877743,0.07062427202860515,81.0,176.2218805948893
