checkpoint,checkpoint_order,warmup_conflicts,family,base_instance_id,rows,search_ok_frac,search_blowup_frac,adapter_cached_cpu_delta_mean,adapter_cached_cpu_delta_median,adapter_cached_decisions_delta_mean,adapter_cached_conflicts_delta_mean,adapter_plain_protocol_delta_mean,adapter_plain_protocol_improved_frac
iter=80,80.0,3,complete_coloring,k8_color7,9,1.0,0.0,-0.02044199999999999,-0.019448,-372.3333333333333,-323.3333333333333,1.0192066381683216,0.0
iter=80,80.0,3,complete_coloring,k9_color8,9,1.0,0.0,-0.28214422222222224,-0.307449,-3562.0,-3233.0,0.7026553707876271,0.1111111111111111
iter=80,80.0,3,php,php_p10_h9,9,0.0,1.0,-0.29812000000000005,-0.3165199999999997,48296.0,47424.666666666664,-0.008770414090487646,0.4444444444444444
iter=80,80.0,3,php,php_p9_h8,9,1.0,0.0,-0.28199099999999994,-0.284396,-3562.0,-3233.0,0.29220717643444405,0.3333333333333333
iter=80,80.0,3,random_3sat_control,random_3sat_control_v160_c704_seed2615,9,0.0,1.0,-0.0032915555555555445,-0.001951,409.6666666666667,243.0,0.27489537764696936,0.0
iter=80,80.0,3,random_3sat_control,random_3sat_control_v180_c760_seed3301,9,0.0,1.0,0.17126222222222215,0.1720489999999999,13584.666666666666,11806.666666666666,-0.27969233436575863,0.8888888888888888
iter=80,80.0,3,random_3sat_control,random_3sat_control_v220_c928_seed3303,9,0.0,1.0,0.0036738888888889,0.003241,324.3333333333333,274.6666666666667,-0.5295923346425229,0.6666666666666666
iter=80,80.0,3,random_3sat_control,random_3sat_control_v220_c942_seed3304,9,0.0,1.0,0.1684813333333333,0.190275,14524.666666666666,12976.0,0.2453304368534088,0.0
iter=80,80.0,3,random_3sat_control,random_3sat_control_v260_c1097_seed3305,9,1.0,0.0,-0.48626311111111115,-0.3746860000000001,-10347.0,-9936.666666666666,-4.7995018110110435,1.0
iter=80,80.0,3,random_3sat_control,random_3sat_control_v260_c1113_seed3306,9,0.0,1.0,0.18173666666666677,0.2632399999999997,44119.666666666664,34001.666666666664,0.992034627144489,0.1111111111111111
iter=80,80.0,3,random_3sat_control,random_3sat_control_v300_c1266_seed3307,9,0.0,1.0,0.0287693333333333,0.027296,2307.6666666666665,1909.3333333333333,-0.9580936760969428,0.8888888888888888
iter=80,80.0,3,subset_cardinality,subset_cardinality_bw10,9,0.0,1.0,-0.0002690000000000222,0.00015,19.0,2.6666666666666665,0.21870092590253218,0.0
iter=80,80.0,3,subset_cardinality,subset_cardinality_bw12,9,0.0,1.0,0.0003695555555555666,2.1999999999999996e-05,23.666666666666668,17.0,0.12489576088705319,0.0
iter=80,80.0,3,subset_cardinality,subset_cardinality_bw8,9,0.0,1.0,-0.0003122222222222222,-0.000387,13.0,3.3333333333333335,0.0781177981164587,0.0
v1_2_iter15,inf,1,complete_coloring,k10_color9,9,0.6666666666666666,0.3333333333333333,-0.18443777777777756,0.09314,-19274.0,-15695.666666666666,-0.07157051328535162,0.5555555555555556
v1_2_iter15,inf,1,complete_coloring,k8_color7,9,0.6666666666666666,0.3333333333333333,-0.006191333333333333,-0.002658,-140.0,-110.0,0.842075162833419,0.0
v1_2_iter15,inf,1,complete_coloring,k9_color8,9,1.0,0.0,-0.14853466666666662,-0.1494739999999999,-1917.6666666666667,-1785.0,0.5532167721413372,0.1111111111111111
v1_2_iter15,inf,1,php,php_p10_h9,9,0.6666666666666666,0.3333333333333333,-0.3622844444444444,0.07599,-29556.666666666668,-25850.333333333332,-0.8447637695981463,0.7777777777777778
v1_2_iter15,inf,1,php,php_p9_h8,9,1.0,0.0,-0.08458677777777773,-0.1134899999999999,-1917.6666666666667,-1785.0,0.17060724784280856,0.3333333333333333
v1_2_iter15,inf,1,random_3sat_control,random_3sat_control_v160_c704_seed2615,9,0.0,1.0,0.002061666666666644,0.0016339999999999,672.6666666666666,494.3333333333333,0.3413540061805777,0.0
v1_2_iter15,inf,1,random_3sat_control,random_3sat_control_v180_c760_seed3301,9,0.0,1.0,0.5872858888888888,0.615757,40412.0,35797.333333333336,0.31903162516571415,0.2222222222222222
v1_2_iter15,inf,1,random_3sat_control,random_3sat_control_v220_c928_seed3303,9,0.0,1.0,0.0028603333333333445,0.002385,277.3333333333333,233.33333333333334,-0.3219348718331523,0.5555555555555556
v1_2_iter15,inf,1,random_3sat_control,random_3sat_control_v220_c942_seed3304,9,0.0,1.0,0.18769733333333327,0.1987449999999999,13873.0,12218.0,0.6387745871826279,0.0
v1_2_iter15,inf,1,random_3sat_control,random_3sat_control_v260_c1097_seed3305,9,0.0,1.0,0.6393210000000001,0.5745,34077.333333333336,29953.333333333332,-3.086469606218285,1.0
v1_2_iter15,inf,1,random_3sat_control,random_3sat_control_v260_c1113_seed3306,9,0.0,1.0,0.7958277777777778,0.8149999999999995,55015.333333333336,43529.666666666664,1.6161805504675442,0.0
v1_2_iter15,inf,1,random_3sat_control,random_3sat_control_v300_c1266_seed3307,9,0.0,1.0,0.03172688888888889,0.030961,2524.0,2108.0,-0.5754527897060447,0.6666666666666666
v1_2_iter15,inf,1,subset_cardinality,subset_cardinality_bw10,9,0.3333333333333333,0.6666666666666666,0.0009277777777777665,0.0003449999999999,1.6666666666666667,1.3333333333333333,0.5420739553442596,0.0
v1_2_iter15,inf,1,subset_cardinality,subset_cardinality_bw12,9,0.0,1.0,0.0009445555555555556,0.000145,26.333333333333332,25.0,0.25627060683476915,0.0
v1_2_iter15,inf,1,subset_cardinality,subset_cardinality_bw8,9,0.0,1.0,-2.011111111113334e-05,1.8000000000000004e-05,8.666666666666666,7.666666666666667,0.11258628533391815,0.0
v1_2_iter15,inf,3,complete_coloring,k10_color9,9,0.0,1.0,0.4028544444444444,0.2671399999999999,91650.33333333333,87512.0,0.08386452090736245,0.3333333333333333
v1_2_iter15,inf,3,complete_coloring,k8_color7,9,1.0,0.0,-0.013958777777777744,-0.0134959999999999,-444.6666666666667,-375.0,0.09938327558783024,0.0
v1_2_iter15,inf,3,complete_coloring,k9_color8,9,1.0,0.0,-0.14535177777777772,-0.169721,-3126.3333333333335,-2760.3333333333335,0.0032305212003389994,0.5555555555555556
v1_2_iter15,inf,3,php,php_p10_h9,9,0.0,1.0,0.41661444444444445,0.2212899999999997,91650.33333333333,87512.0,0.11859159683446095,0.3333333333333333
v1_2_iter15,inf,3,php,php_p9_h8,9,1.0,0.0,-0.1321905555555555,-0.152978,-3126.3333333333335,-2760.3333333333335,0.004696073927197178,0.5555555555555556
v1_2_iter15,inf,3,random_3sat_control,random_3sat_control_v160_c704_seed2615,9,0.0,1.0,0.008675111111111088,0.009494,909.3333333333334,677.0,0.13052143641411593,0.0
v1_2_iter15,inf,3,random_3sat_control,random_3sat_control_v180_c760_seed3301,9,0.0,1.0,0.15190122222222222,0.150588,14689.0,12776.0,-0.21044609806997244,1.0
v1_2_iter15,inf,3,random_3sat_control,random_3sat_control_v220_c928_seed3303,9,0.0,1.0,0.004609777777777755,0.005404,321.0,265.0,-0.4033085205607217,0.6666666666666666
v1_2_iter15,inf,3,random_3sat_control,random_3sat_control_v220_c942_seed3304,9,0.0,1.0,0.2116555555555555,0.215873,15194.0,13649.0,0.2126937397010591,0.0
v1_2_iter15,inf,3,random_3sat_control,random_3sat_control_v260_c1097_seed3305,9,1.0,0.0,-0.45784166666666665,-0.4199039999999999,-15828.0,-14791.333333333334,-3.8946728015925425,1.0
v1_2_iter15,inf,3,random_3sat_control,random_3sat_control_v260_c1113_seed3306,9,0.0,1.0,0.613551111111111,0.6648399999999999,60044.333333333336,48025.0,1.0334567797030079,0.0
v1_2_iter15,inf,3,random_3sat_control,random_3sat_control_v300_c1266_seed3307,9,0.0,1.0,0.022970999999999988,0.020006,2558.6666666666665,2114.0,-0.7829348932249282,1.0
v1_2_iter15,inf,3,subset_cardinality,subset_cardinality_bw10,9,0.0,1.0,-0.00023833333333332223,0.000736,18.666666666666668,3.0,0.10272304672024643,0.0
v1_2_iter15,inf,3,subset_cardinality,subset_cardinality_bw12,9,0.0,1.0,-0.0003532222222221889,-0.0002309999999999,26.666666666666668,12.666666666666666,0.06035679922534355,0.0
v1_2_iter15,inf,3,subset_cardinality,subset_cardinality_bw8,9,0.3333333333333333,0.6666666666666666,0.0007300000000000112,0.001613,3.6666666666666665,0.3333333333333333,0.0371619975422885,0.0
