family,method,rows,families,solved_instances,known_expected_instances,known_expected_match_instances,protocol_supported_instances,events_available_instances,mean_protocol_accounted_time,median_protocol_accounted_time,mean_protocol_wall_time,mean_final_cpu_time,median_final_cpu_time,mean_final_wall_time,mean_final_decisions,mean_final_conflicts,mean_static_inference_wall_time,mean_warmup_cpu_time,mean_warmup_wall_time,mean_event_attach_wall_time,mean_adapter_inference_wall_time,mean_event_state_nonzero_vars,mean_event_state_l2_sum
complete_coloring,plain_unguided_glucose,27,1,27,27,27,27,0,1.7000525555555555,0.605055,1.7062853817586545,1.7000525555555555,0.605055,1.7062853817586545,138452.77777777778,127753.44444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complete_coloring,neutral_weighted_glucose,27,1,27,27,27,27,0,1.5403257037037037,0.642575,1.5497102908514164,1.5403257037037037,0.642575,1.5497102908514164,116941.44444444444,108454.66666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complete_coloring,static_weighted_glucose,27,1,27,27,27,27,0,2.214365262209857,1.5240805399627686,2.223275553090153,1.4691045555555553,0.672517,1.4780148464358516,112804.11111111111,104668.22222222222,0.7452607066543014,0.0,0.0,0.0,0.0,0.0,0.0
complete_coloring,cached_trace_no_adapter_final,27,1,27,27,27,27,27,2.2208939544392514,1.5297092797025442,2.23568753749822,1.4691045555555553,0.672517,1.4780148464358516,112804.11111111111,104668.22222222222,0.7452607066543014,0.005202111111111111,0.011085403289783883,0.0013265811182834484,0.0,72.66666666666667,110.41176096598308
complete_coloring,event_adapter_final,27,1,27,27,27,27,27,2.141293029452024,1.5333349286835194,2.1534510234853736,1.356049962962963,0.464062,1.3623246648176401,105693.55555555556,98804.66666666667,0.7452607066543014,0.005202111111111111,0.011085403289783883,0.0013265811182834484,0.033453667605364765,72.66666666666667,110.41176096598308
php,plain_unguided_glucose,18,1,18,18,18,18,0,2.5479004444444446,2.3965255,2.5575048721705875,2.5479004444444446,2.3965255,2.5575048721705875,204663.16666666666,188881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
php,neutral_weighted_glucose,18,1,18,18,18,18,0,2.278205166666667,1.9046455,2.2884452362648315,2.278205166666667,1.9046455,2.2884452362648315,172352.5,159885.83333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
php,static_weighted_glucose,18,1,18,18,18,18,0,2.395721580673218,2.12468765725708,2.4072083734596768,2.155476,1.8126335,2.166962792786459,166146.5,154206.16666666666,0.24024558067321777,0.0,0.0,0.0,0.0,0.0,0.0
php,cached_trace_no_adapter_final,18,1,18,18,18,18,18,2.40355353480545,2.1321936183198096,2.4193440239048667,2.155476,1.8126335,2.166962792786459,166146.5,154206.16666666666,0.24024558067321777,0.006957166666666667,0.011260862979624007,0.0008747874655657344,0.0,81.0,123.23243077596028
php,event_adapter_final,18,1,18,18,18,18,18,2.2108221835667754,1.822498349324852,2.225740107759419,1.9320403888888888,1.462878,1.9426546167685754,150409.33333333334,140388.5,0.24024558067321777,0.006957166666666667,0.011260862979624007,0.0008747874655657344,0.030704259872436523,81.0,123.23243077596028
random_3sat_control,plain_unguided_glucose,63,1,63,0,0,63,0,2.0718613968253967,0.745371,2.0796859196815936,2.0718613968253967,0.745371,2.0796859196815936,73455.95238095238,63861.57142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_3sat_control,neutral_weighted_glucose,63,1,63,0,0,63,0,1.6370336825396825,0.533431,1.6462003302331718,1.6370336825396825,0.533431,1.6462003302331718,58671.09523809524,50970.09523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_3sat_control,static_weighted_glucose,63,1,63,0,0,63,0,1.5527964785991852,0.7612054566955566,1.560939425484292,1.0329868730158729,0.04905,1.04112981990098,43655.95238095238,39373.71428571428,0.519809605583312,0.0,0.0,0.0,0.0,0.0,0.0
random_3sat_control,cached_trace_no_adapter_final,63,1,63,0,0,63,63,1.559310941217763,0.7670178921268582,1.5743607022163888,1.0329868730158729,0.04905,1.04112981990098,43655.95238095238,39373.71428571428,0.519809605583312,0.005341047619047619,0.012247861732566168,0.001173414999530429,0.0,228.57142857142858,350.0224064418248
random_3sat_control,event_adapter_final,63,1,63,0,0,63,63,1.91921618271668,0.9188939439742565,1.9346006711915371,1.3539555714285714,0.510655,1.3624332457899102,64634.76190476191,57135.71428571428,0.519809605583312,0.005341047619047619,0.012247861732566168,0.001173414999530429,0.03893654308621845,228.57142857142858,350.0224064418248
