method,solved,mean_time,median_time
Glucose default,13.0,57.61451115,60.0
CaDiCaL default,75.0,42.92442253967514,60.0
One-shot,48.0,47.66469374202753,60.288920203844704
Online-Consistent Selector,53.0,46.323601891114095,60.36647401773072
Old Compact,54.0,46.27774595507939,60.37253785467275
+ Local Boundary Correction,54.0,45.91385553458354,60.36885614113617
