checkpoint,checkpoint_order,warmup_conflicts,family,rows,search_ok_frac,search_blowup_frac,adapter_cached_cpu_delta_mean,adapter_cached_cpu_delta_median,adapter_cached_decisions_delta_mean,adapter_cached_conflicts_delta_mean,adapter_plain_protocol_delta_mean,adapter_plain_protocol_improved_frac
iter=115,115.0,1,complete_coloring,27,0.6666666666666666,0.3333333333333333,-0.155415,-0.126301,2612.6666666666665,2800.4444444444443,0.15769859179918838,0.25925925925925924
iter=115,115.0,1,php,18,0.6666666666666666,0.3333333333333333,-0.19600994444444442,-0.17954349999999997,6388.5,6634.833333333333,-0.1064615907130341,0.5
iter=115,115.0,1,random_3sat_control,63,0.047619047619047616,0.9523809523809523,0.23115041269841263,0.0336469999999999,17711.52380952381,14806.238095238095,0.013097226026957912,0.31746031746031744
iter=115,115.0,1,subset_cardinality,27,0.1111111111111111,0.8888888888888888,-0.0003871851851851705,-0.000337,10.777777777777779,11.0,0.26844960948791097,0.0
iter=115,115.0,3,complete_coloring,27,0.6666666666666666,0.3333333333333333,-0.2943851851851851,-0.226017,16244.888888888889,16119.444444444445,0.2532479280215811,0.14814814814814814
iter=115,115.0,3,php,18,0.5,0.5,-0.22916244444444434,-0.25832,28812.833333333332,28231.666666666668,-0.01995862487453552,0.3888888888888889
iter=115,115.0,3,random_3sat_control,63,0.14285714285714285,0.8571428571428571,0.014465031746031743,0.026874,9733.238095238095,7679.523809523809,-0.6154239705432843,0.47619047619047616
iter=115,115.0,3,subset_cardinality,27,0.1111111111111111,0.8888888888888888,-0.00040974074074072225,-0.00035,15.777777777777779,7.0,0.26599786006574055,0.0
iter=50,50.0,1,complete_coloring,27,0.5555555555555556,0.4444444444444444,-0.3128311111111111,-0.1289469999999999,-3386.8888888888887,-3295.6666666666665,0.7930475876367246,0.14814814814814814
iter=50,50.0,1,php,18,0.6666666666666666,0.3333333333333333,-0.36424683333333335,-0.262507,-4726.166666666667,-4637.833333333333,-0.12370972126932935,0.3888888888888889
iter=50,50.0,1,random_3sat_control,63,0.047619047619047616,0.9523809523809523,0.15746458730158727,0.029727,15816.52380952381,13107.190476190477,-0.30358127022194104,0.36507936507936506
iter=50,50.0,1,subset_cardinality,27,0.1111111111111111,0.8888888888888888,0.0006446296296296297,0.001073,8.88888888888889,9.333333333333334,0.23354005251164783,0.0
iter=50,50.0,3,complete_coloring,27,0.7777777777777778,0.2222222222222222,-0.08538992592592592,-0.0224199999999999,18085.88888888889,17639.88888888889,0.45486152290905396,0.14814814814814814
iter=50,50.0,3,php,18,0.6666666666666666,0.3333333333333333,-0.04872300000000001,-0.21027349999999995,33580.166666666664,32359.0,0.05668572325429652,0.3333333333333333
iter=50,50.0,3,random_3sat_control,63,0.19047619047619047,0.8095238095238095,0.09479638095238095,0.029584,9555.047619047618,7549.476190476191,-0.5459534107662137,0.42857142857142855
iter=50,50.0,3,subset_cardinality,27,0.0,1.0,0.0006334814814814667,0.000652,18.444444444444443,7.777777777777778,0.2878881787048026,0.0
iter=80,80.0,1,complete_coloring,27,0.6666666666666666,0.3333333333333333,-0.15387022222222224,-0.014731,-528.8888888888889,-98.22222222222223,0.42863199012102904,0.2222222222222222
iter=80,80.0,1,php,18,0.6666666666666666,0.3333333333333333,-0.16399827777777776,-0.18972900000000004,-778.1666666666666,-184.16666666666666,0.024085441530532475,0.4444444444444444
iter=80,80.0,1,random_3sat_control,63,0.0,1.0,0.23359515873015874,0.1496199999999996,16776.285714285714,14007.333333333334,-0.5475837351819427,0.42857142857142855
iter=80,80.0,1,subset_cardinality,27,0.1111111111111111,0.8888888888888888,-0.00023218518518518147,-0.000558,4.666666666666667,6.444444444444445,0.17204238183653792,0.0
iter=80,80.0,3,complete_coloring,27,0.6666666666666666,0.3333333333333333,-0.19180651851851852,-0.2135099999999998,14787.222222222223,14622.777777777777,0.767432218949415,0.1111111111111111
iter=80,80.0,3,php,18,0.5,0.5,-0.2900555,-0.292675,22367.0,22095.833333333332,0.14171838117197819,0.3888888888888889
iter=80,80.0,3,random_3sat_control,63,0.14285714285714285,0.8571428571428571,0.009195539682539677,0.0240029999999999,9274.809523809523,7324.952380952381,-0.7220885306387714,0.5079365079365079
iter=80,80.0,3,subset_cardinality,27,0.0,1.0,-7.055555555555926e-05,-0.0001279999999999,18.555555555555557,7.666666666666667,0.14057149496868138,0.0
v1_2_iter15,inf,1,complete_coloring,27,0.7777777777777778,0.2222222222222222,-0.11305459259259248,-0.0155599999999997,-7110.555555555556,-5863.555555555556,0.4412404738964682,0.2222222222222222
v1_2_iter15,inf,1,php,18,0.8333333333333334,0.16666666666666666,-0.22343561111111107,-0.11129449999999991,-15737.166666666666,-13817.666666666666,-0.33707826087766884,0.5555555555555556
v1_2_iter15,inf,1,random_3sat_control,63,0.0,1.0,0.32096869841269837,0.1987449999999999,20978.809523809523,17762.0,-0.15264521410871681,0.3492063492063492
v1_2_iter15,inf,1,subset_cardinality,27,0.1111111111111111,0.8888888888888888,0.0006174074074073963,5.299999999999988e-05,12.222222222222221,11.333333333333334,0.30364361583764904,0.0
v1_2_iter15,inf,3,complete_coloring,27,0.6666666666666666,0.3333333333333333,0.08118129629629632,-0.016314,29359.777777777777,28125.555555555555,0.062159439231843895,0.2962962962962963
v1_2_iter15,inf,3,php,18,0.5,0.5,0.14221194444444446,-0.0235835,44262.0,42375.833333333336,0.06164383538082907,0.4444444444444444
v1_2_iter15,inf,3,random_3sat_control,63,0.14285714285714285,0.8571428571428571,0.07936030158730156,0.020006,11126.904761904761,8959.238095238095,-0.5592414796614258,0.5238095238095238
v1_2_iter15,inf,3,subset_cardinality,27,0.1111111111111111,0.8888888888888888,4.614814814816664e-05,0.000237,16.333333333333332,5.333333333333333,0.06674728116262615,0.0
