family,base_instance_id,repeats,variants,rows,plain_solved_rows,neutral_lost_rows,static_lost_rows,adapter_lost_rows,weighted_binary_input_delta_final_cpu_mean,weighted_binary_input_delta_protocol_time_mean,static_weights_delta_final_cpu_mean,static_weights_delta_protocol_time_mean,event_collection_overhead_delta_final_cpu_mean,event_collection_overhead_delta_protocol_time_mean,adapter_delta_inference_delta_final_cpu_mean,adapter_delta_inference_delta_protocol_time_mean,adapter_inference_wall_time_mean,event_overhead_mean,adapter_delta_overhead_mean,warmup_decisions_mean,warmup_conflicts_mean,event_state_nonzero_vars_mean,graph_gate_open_rows,primary_attribution_modes,primary_attribution_variant_consistency,plain_solved_variant_consistency,neutral_solved_variant_consistency,static_solved_variant_consistency,adapter_solved_variant_consistency,event_audit_role,symmetry_strength,control_type,scale,scale_key,benchmark_role,family_scale,variant_role,permutation_variant,source
complete_coloring,k10_color9,3,3,9,9,0,0,0,-0.21951222222222228,-0.21951222222222228,-0.16842000000000004,0.4274675020345053,0.0,0.009464658180872436,0.042607777777777724,0.10054714825100369,0.057939370473225914,0.009464658180872436,0.10054714825100369,9.0,3.0,90.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,strong,strong_symmetry,large,v10_c9,main,complete_coloring:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
complete_coloring,k8_color7,3,3,9,9,0,0,0,0.004250333333333333,0.004250333333333333,-0.0033242222222222223,0.592563279812283,0.0,0.004608467710263199,-0.011031111111111111,0.04690825936211483,0.057939370473225914,0.004608467710263199,0.04690825936211483,7.0,3.0,56.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,strong,strong_symmetry,large,v8_c7,main,complete_coloring:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
complete_coloring,k9_color8,3,3,9,9,0,0,0,0.12036888888888887,0.12036888888888887,0.02657811111111112,0.49612935648261175,0.0,0.007443249035841963,-0.2877464444444444,-0.22565435214233404,0.06209209230211046,0.007443249035841963,-0.22565435214233404,8.666666666666666,3.0,72.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,strong,strong_symmetry,large,v9_c8,main,complete_coloring:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
php,php_p10_h9,3,3,9,9,0,0,0,-0.22829222222222206,-0.22829222222222206,-0.25759000000000004,-0.04071126795450855,0.0,0.0066608468918867535,0.1499522222222222,0.22034975818210167,0.07039753595987956,0.0066608468918867535,0.22034975818210167,9.0,3.0,90.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,strong,strong_symmetry,large,p10_h9,main,php:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
php,php_p9_h8,3,3,9,9,0,0,0,0.10192599999999999,0.10192599999999999,0.008225666666666662,0.22510439871215818,0.0,0.005334619161519745,-0.2473982222222222,-0.17700068626234267,0.07039753595987956,0.005334619161519745,-0.17700068626234267,8.666666666666666,3.0,72.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,strong,strong_symmetry,large,p9_h8,main,php:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v160_c704_seed2615,3,3,9,9,0,0,0,0.01552877777777778,0.01552877777777778,-0.03542011111111111,0.2699033836941189,0.0,0.004412551277789818,0.0021515555555555554,0.05300480796644422,0.05085325241088867,0.004412551277789818,0.05300480796644422,22.0,3.0,160.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars160_clauses704,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v180_c760_seed3301,3,3,9,9,0,0,0,-0.585142,-0.585142,-0.11734088888888888,0.23220498729621042,0.0,0.004722535527792236,0.16607222222222223,0.2071533328586154,0.04108111063639323,0.004722535527792236,0.2071533328586154,28.0,3.0,180.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars180_clauses760,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v220_c928_seed3303,3,3,9,9,0,0,0,-0.39746577777777775,-0.39746577777777775,-0.36274888888888884,-0.013203012703789603,0.0,0.00515777538620764,0.001950888888888889,0.043031999525282125,0.04108111063639323,0.00515777538620764,0.043031999525282125,39.0,3.0,220.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars220_clauses928,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v220_c942_seed3304,3,3,9,9,0,0,0,0.14340477777777774,0.14340477777777774,-0.37143322222222225,-0.0627464889763726,0.0,0.005600178901155754,0.25898433333333337,0.34972453719075525,0.09074020385742188,0.005600178901155754,0.34972453719075525,26.0,3.0,220.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars220_clauses942,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v260_c1097_seed3305,3,3,9,9,0,0,0,-3.229169666666667,-3.229169666666667,-1.4452969999999996,-1.1366102667541502,0.0,0.0073170550973547955,-0.6244791111111111,-0.5337389072536892,0.09074020385742188,0.0073170550973547955,-0.5337389072536892,35.0,3.0,260.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars260_clauses1097,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v260_c1113_seed3306,3,3,9,9,0,0,0,0.9120688888888888,0.9120688888888888,-0.7172422222222222,-0.38203534271240236,0.0,0.007658396650890372,0.8286677777777778,0.9137365069664849,0.08506872918870714,0.007658396650890372,0.9137365069664849,34.0,3.0,260.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars260_clauses1113,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v300_c1266_seed3307,3,3,9,9,0,0,0,0.44194455555555556,0.44194455555555556,-1.5993062222222223,-1.2110590501844618,0.0,0.008968809475435158,0.030226999999999997,0.10395277985127767,0.07372577985127766,0.008968809475435158,0.10395277985127767,48.0,3.0,300.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars300_clauses1266,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
subset_cardinality,subset_cardinality_bw10,3,3,9,9,0,0,0,-0.0002522222222222223,-0.0002522222222222223,-3.3888888888888905e-05,0.38821328314887155,0.0,0.002347379136284183,0.0005414444444444445,0.07426722429572213,0.07372577985127766,0.002347379136284183,0.07426722429572213,8.333333333333334,3.0,41.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,weak,weak_symmetry,large,size10,main,subset_cardinality:large,"base,permutation_variant","False,True",SAT-b-inspired symmetry stress set; EchoSAT runtime v1.2 canonical DIMACS order
subset_cardinality,subset_cardinality_bw12,3,3,9,9,0,0,0,0.001481111111111111,0.001481111111111111,-0.0010624444444444446,0.2016552836405436,0.0,0.0021359918986956256,0.0011693333333333334,0.047845147855970604,0.04667581452263726,0.0021359918986956256,0.047845147855970604,10.666666666666666,3.0,49.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,weak,weak_symmetry,large,size12,main,subset_cardinality:large,"base,permutation_variant","False,True",SAT-b-inspired symmetry stress set; EchoSAT runtime v1.2 canonical DIMACS order
subset_cardinality,subset_cardinality_bw8,3,3,9,9,0,0,0,0.0001933333333333333,0.0001933333333333333,7.611111111111115e-05,0.110029117219713,0.0,0.0024083881714012864,0.00018966666666666668,0.03334049852498371,0.033150831858317055,0.0024083881714012864,0.03334049852498371,13.333333333333334,3.0,33.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,weak,weak_symmetry,medium,size8,main,subset_cardinality:medium,"base,permutation_variant","False,True",SAT-b-inspired symmetry stress set; EchoSAT runtime v1.2 canonical DIMACS order
