warmup_conflicts,family,observations,base_instances,variants,repeats,final_cpu_lim,warmup_cpu_lim,event_adapter_solved_rows,known_expected_rows,known_expected_match_rows,warmup_cpu_mean,warmup_cpu_median,warmup_conflict_count_mean,event_state_l2_sum_mean,event_state_nonzero_vars_mean,graph_gate_open_fraction,adapter_cached_final_cpu_delta_mean,adapter_cached_final_cpu_delta_median,adapter_cached_protocol_delta_mean,adapter_plain_final_cpu_delta_mean,adapter_plain_final_cpu_delta_median,adapter_plain_protocol_delta_mean,adapter_plain_protocol_delta_median,adapter_cached_decisions_delta_mean,adapter_cached_conflicts_delta_mean,neutral_plain_final_cpu_delta_mean,static_neutral_final_cpu_delta_mean,adapter_cached_final_cpu_improved_fraction,adapter_plain_final_cpu_improved_fraction,adapter_plain_protocol_improved_fraction
1,complete_coloring,27,3,3,3,10.0,5.0,27,27,27,0.0053877037037037044,0.004882,1.0,110.41176096598308,72.66666666666667,1.0,-0.31283111111111106,-0.12894699999999998,-0.2727706615815339,-0.28951188888888885,-0.071021,0.7930475876367247,0.7271763586019278,-3386.8888888888887,-3295.6666666666665,0.031709407407407436,-0.008390185185185209,0.8888888888888888,0.8518518518518519,0.14814814814814814
1,php,18,2,3,3,10.0,5.0,18,18,18,0.005609277777777778,0.0052060000000000006,1.0,123.23243077596028,81.0,1.0,-0.3642468333333333,-0.262507,-0.3160584648539226,-0.49915766666666667,-0.17011300000000001,-0.12370972126932939,0.04505446873942015,-4726.166666666667,-4637.833333333333,-0.11847,-0.016440833333333293,0.8888888888888888,1.0,0.3888888888888889
1,random_3sat_control,63,7,3,3,10.0,5.0,63,0,0,0.004566904761904762,0.004701,1.0,350.0224064418248,228.57142857142858,1.0,0.15746458730158727,0.029727000000000003,0.2147503275635734,-0.881486126984127,-0.08474199999999998,-0.30358127022194104,0.174133004844367,15816.52380952381,13107.190476190477,-0.42923830158730153,-0.6097124126984127,0.14285714285714285,0.746031746031746,0.36507936507936506
1,subset_cardinality,27,3,3,3,10.0,5.0,27,27,27,0.0012938148148148147,0.001358,1.0,63.58079952663846,41.0,1.0,0.0006446296296296297,0.001073,0.03670163385179307,0.0003213703703703704,0.00024899999999999987,0.23354005251164786,0.1852428111271262,8.88888888888889,9.333333333333334,0.00016455555555555556,-0.00048781481481481484,0.4074074074074074,0.4074074074074074,0.0
3,complete_coloring,27,3,3,3,10.0,5.0,27,27,27,0.00579637037037037,0.005067,3.0,159.2198944091797,72.66666666666667,1.0,-0.08538992592592594,-0.022419999999999995,-0.02606631484307179,-0.16540962962962968,-0.06202500000000005,0.454861522909054,0.4104732367261052,18085.88888888889,17639.88888888889,-0.03163100000000003,-0.04838870370370371,0.8518518518518519,0.8888888888888888,0.14814814814814814
3,php,18,2,3,3,10.0,5.0,18,18,18,0.004784333333333333,0.004694,3.0,176.2218805948893,81.0,1.0,-0.048722999999999995,-0.21027349999999997,0.021674535959879466,-0.23658827777777772,-0.18469300000000005,0.056685723254296536,0.13574913216271994,33580.166666666664,32359.0,-0.06318311111111104,-0.1246821666666667,0.7222222222222222,0.8333333333333334,0.3333333333333333
3,random_3sat_control,63,7,3,3,10.0,5.0,63,0,0,0.004791825396825397,0.004489,3.0,466.8184073311942,228.57142857142858,1.0,0.09479638095238095,0.029584,0.16240929387216718,-0.9548634761904762,-0.179929,-0.5459534107662137,0.1540896896084547,9555.047619047618,7549.476190476191,-0.38554720634920636,-0.6641126507936507,0.25396825396825395,0.7619047619047619,0.42857142857142855
3,subset_cardinality,27,3,3,3,10.0,5.0,27,27,27,0.0011238518518518518,0.001233,3.0,91.9214333428277,41.0,1.0,0.0006334814814814815,0.0006520000000000001,0.051817623558892134,0.0007674814814814814,0.0008759999999999999,0.2878881787048026,0.2649134055820107,18.444444444444443,7.777777777777778,0.000474074074074074,-0.00034007407407407413,0.3333333333333333,0.2962962962962963,0.0
