checkpoint,checkpoint_order,warmup_conflicts,strict_selection_score,anchor_min_search_ok_frac,hard_negative_min_search_ok_frac,target_base_search_ok_frac,strong_symmetry_search_ok_frac,random_control_search_ok_frac,random_control_cpu_delta_mean,subset_bw12_perm1730_search_ok_frac,overall_search_ok_frac,overall_search_blowup_frac,overall_adapter_cached_cpu_delta_mean,overall_adapter_cached_decisions_delta_mean,overall_adapter_cached_conflicts_delta_mean,overall_adapter_plain_protocol_delta_mean,all_solved,known_expected_rows,known_expected_match_rows
iter=115,115.0,1,4.238095238095238,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.047619047619047616,0.23115041269841263,0.0,0.26666666666666666,0.7333333333333333,0.05057509629629628,9641.866666666667,8356.511111111111,0.07714680030826238,True,72,72
iter=115,115.0,3,3.3142857142857145,1.0,0.0,0.5,0.6,0.14285714285714285,0.014465031746031743,0.0,0.28888888888888886,0.7111111111111111,-0.08276362962962962,11636.022222222222,10573.288888888888,-0.1860098452860064,True,72,72
iter=50,50.0,1,4.171428571428572,1.0,0.3333333333333333,0.6666666666666666,0.6,0.047619047619047616,0.15746458730158727,0.0,0.24444444444444444,0.7555555555555555,-0.03752006666666667,6075.288888888889,4841.044444444445,0.0471516390901914,True,72,72
iter=50,50.0,3,4.019047619047619,1.0,0.3333333333333333,0.6666666666666666,0.7333333333333333,0.19047619047619047,0.09479638095238095,0.0,0.3333333333333333,0.6666666666666666,0.020790622222222225,12557.244444444445,11367.155555555555,-0.09867022160088885,True,72,72
iter=80,80.0,1,4.333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.23359515873015874,0.0,0.24444444444444444,0.7555555555555555,0.056324155555555554,7620.333333333333,6493.844444444445,-0.13219280982265563,True,72,72
iter=80,80.0,3,3.3142857142857145,1.0,0.0,0.5,0.6,0.14285714285714285,0.009195539682539677,0.0,0.26666666666666666,0.7333333333333333,-0.07275822962962963,10271.666666666666,9290.511111111111,-0.13647812069154364,True,72,72
v1_2_iter15,inf,1,5.133333333333333,1.0,0.6666666666666666,0.8333333333333334,0.8,0.0,0.32096869841269837,0.0,0.28888888888888886,0.7111111111111111,0.09750654074074074,6272.155555555555,5276.133333333333,0.03279861657906643,True,72,72
v1_2_iter15,inf,3,3.3142857142857145,1.0,0.0,0.5,0.6,0.14285714285714285,0.07936030158730156,0.0,0.28888888888888886,0.7111111111111111,0.07224188888888887,16969.37777777778,15457.266666666666,-0.22697883504566088,True,72,72
