family,base_instance_id,method,repeats,variants,rows,solved_rows,known_expected_rows,known_expected_match_rows,protocol_supported_rows,events_available_rows,mean_protocol_accounted_time,median_protocol_accounted_time,std_protocol_accounted_time,mean_final_cpu_time,median_final_cpu_time,std_final_cpu_time,mean_warmup_cpu_time,mean_adapter_inference_wall_time,mean_event_state_nonzero_vars,graph_gate_open_rows
complete_coloring,k10_color9,plain_unguided_glucose,3,3,9,9,9,9,9,0,4.500084444444444,4.28573,0.4423043866250683,4.500084444444444,4.28573,0.4423043866250683,0.0,0.0,0.0,0
complete_coloring,k10_color9,neutral_weighted_glucose,3,3,9,9,9,9,9,0,4.280572222222222,4.21857,0.30246591712033366,4.280572222222222,4.21857,0.30246591712033366,0.0,0.0,0.0,0
complete_coloring,k10_color9,static_weighted_glucose,3,3,9,9,9,9,9,0,4.708039724256728,4.79954880897522,0.3312684571590019,4.112152222222222,4.08372,0.23689084146383632,0.0,0.0,0.0,0
complete_coloring,k10_color9,cached_trace_no_adapter_final,3,3,9,9,9,9,9,9,4.7175043824376,4.809851508862257,0.3302211501998892,4.112152222222222,4.08372,0.23689084146383632,0.007861111111111112,0.0,90.0,9
complete_coloring,k10_color9,event_adapter_final,3,3,9,9,9,9,9,9,4.818051530688603,4.688466430068135,0.7177428413916805,4.15476,3.83215,0.6432742270797113,0.007861111111111112,0.057939370473225914,90.0,9
complete_coloring,k8_color7,plain_unguided_glucose,3,3,9,9,9,9,9,0,0.048051111111111114,0.048877,0.006887911665455004,0.048051111111111114,0.048877,0.006887911665455004,0.0,0.0,0.0,0
complete_coloring,k8_color7,neutral_weighted_glucose,3,3,9,9,9,9,9,0,0.05230144444444444,0.04848,0.00836736092073109,0.05230144444444444,0.04848,0.00836736092073109,0.0,0.0,0.0,0
complete_coloring,k8_color7,static_weighted_glucose,3,3,9,9,9,9,9,0,0.6448647242567274,0.5613540618286132,0.2501242212369742,0.04897722222222222,0.04916,0.005933197531217414,0.0,0.0,0.0,0
complete_coloring,k8_color7,cached_trace_no_adapter_final,3,3,9,9,9,9,9,9,0.6494731919669907,0.5679866933098435,0.24925877863966164,0.04897722222222222,0.04916,0.005933197531217414,0.0032313333333333335,0.0,56.0,9
complete_coloring,k8_color7,event_adapter_final,3,3,9,9,9,9,9,9,0.6963814513291054,0.6157428115044237,0.2457910096900821,0.03794611111111111,0.037685,0.002279231638318295,0.0032313333333333335,0.057939370473225914,56.0,9
complete_coloring,k9_color8,plain_unguided_glucose,3,3,9,9,9,9,9,0,0.5929224444444444,0.625634,0.09775849526014495,0.5929224444444444,0.625634,0.09775849526014495,0.0,0.0,0.0,0
complete_coloring,k9_color8,neutral_weighted_glucose,3,3,9,9,9,9,9,0,0.7132913333333334,0.727566,0.06246831101446558,0.7132913333333334,0.727566,0.06246831101446558,0.0,0.0,0.0,0
complete_coloring,k9_color8,static_weighted_glucose,3,3,9,9,9,9,9,0,1.2094206898159452,1.0841676975250243,0.3128123854037486,0.7398694444444445,0.775916,0.12427642669681072,0.0,0.0,0.0,0
complete_coloring,k9_color8,cached_trace_no_adapter_final,3,3,9,9,9,9,9,9,1.216863938851787,1.0937740909534097,0.3137598896800215,0.7398694444444445,0.775916,0.12427642669681072,0.0062966666666666666,0.0,72.0,9
complete_coloring,k9_color8,event_adapter_final,3,3,9,9,9,9,9,9,0.9912095867094529,0.8814966286860704,0.24216635889207952,0.452123,0.415841,0.056061743974835467,0.0062966666666666666,0.06209209230211046,72.0,9
php,php_p10_h9,plain_unguided_glucose,3,3,9,9,9,9,9,0,4.560658888888889,4.35031,0.3740301250382262,4.560658888888889,4.35031,0.3740301250382262,0.0,0.0,0.0,0
php,php_p10_h9,neutral_weighted_glucose,3,3,9,9,9,9,9,0,4.332366666666667,4.24404,0.4216436663819346,4.332366666666667,4.24404,0.4216436663819346,0.0,0.0,0.0,0
php,php_p10_h9,static_weighted_glucose,3,3,9,9,9,9,9,0,4.291655398712158,4.357299833755493,0.17836145238793136,4.074776666666667,4.13125,0.18951655211352908,0.0,0.0,0.0,0
php,php_p10_h9,cached_trace_no_adapter_final,3,3,9,9,9,9,9,9,4.298316245604045,4.366921901021183,0.17889223974045568,4.074776666666667,4.13125,0.18951655211352908,0.005445888888888889,0.0,90.0,9
php,php_p10_h9,event_adapter_final,3,3,9,9,9,9,9,9,4.518666003786147,4.32303632533884,0.6124219694339302,4.2247288888888885,4.04774,0.6004924301655359,0.005445888888888889,0.07039753595987956,90.0,9
php,php_p9_h8,plain_unguided_glucose,3,3,9,9,9,9,9,0,0.5972641111111111,0.625401,0.09770928896917179,0.5972641111111111,0.625401,0.09770928896917179,0.0,0.0,0.0,0
php,php_p9_h8,neutral_weighted_glucose,3,3,9,9,9,9,9,0,0.6991901111111111,0.684158,0.04727273801950878,0.6991901111111111,0.684158,0.04727273801950878,0.0,0.0,0.0,0
php,php_p9_h8,static_weighted_glucose,3,3,9,9,9,9,9,0,0.9242945098232693,0.9086298337554931,0.08286652607367354,0.7074157777777779,0.676432,0.10206018878923576,0.0,0.0,0.0,0
php,php_p9_h8,cached_trace_no_adapter_final,3,3,9,9,9,9,9,9,0.9296291289847891,0.9147382149714827,0.08362099222033743,0.7074157777777779,0.676432,0.10206018878923576,0.004122777777777777,0.0,72.0,9
php,php_p9_h8,event_adapter_final,3,3,9,9,9,9,9,9,0.7526284427224463,0.7841677310542464,0.07409283947443285,0.4600175555555555,0.433154,0.04996806070659315,0.004122777777777777,0.07039753595987956,72.0,9
random_3sat_control,random_3sat_control_v160_c704_seed2615,plain_unguided_glucose,3,3,9,9,0,0,9,0,0.06925611111111112,0.062174,0.023446312436310984,0.06925611111111112,0.062174,0.023446312436310984,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v160_c704_seed2615,neutral_weighted_glucose,3,3,9,9,0,0,9,0,0.08478488888888888,0.091307,0.02272993503314761,0.08478488888888888,0.091307,0.02272993503314761,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v160_c704_seed2615,static_weighted_glucose,3,3,9,9,0,0,9,0,0.35468827258300784,0.23383704191589355,0.25306951364245955,0.04936477777777778,0.052272,0.005392456067919741,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v160_c704_seed2615,cached_trace_no_adapter_final,3,3,9,9,0,0,9,9,0.3591008238607976,0.2402526508411169,0.25247477952737996,0.04936477777777778,0.052272,0.005392456067919741,0.0030785555555555553,0.0,160.0,9
random_3sat_control,random_3sat_control_v160_c704_seed2615,event_adapter_final,3,3,9,9,0,0,9,9,0.41210563182724186,0.2922522647662163,0.2723930526022055,0.05151633333333334,0.05137,0.004302744647315247,0.0030785555555555553,0.05085325241088867,160.0,9
random_3sat_control,random_3sat_control_v180_c760_seed3301,plain_unguided_glucose,3,3,9,9,0,0,9,0,0.7123183333333334,0.497545,0.31103422933014946,0.7123183333333334,0.497545,0.31103422933014946,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v180_c760_seed3301,neutral_weighted_glucose,3,3,9,9,0,0,9,0,0.12717633333333334,0.132398,0.031124696528641048,0.12717633333333334,0.132398,0.031124696528641048,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v180_c760_seed3301,static_weighted_glucose,3,3,9,9,0,0,9,0,0.3593813206295437,0.18565304191589355,0.29648040643569945,0.009835444444444445,0.009955,0.003781528431438507,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v180_c760_seed3301,cached_trace_no_adapter_final,3,3,9,9,0,0,9,9,0.364103856157336,0.1895924803546071,0.29697518096156916,0.009835444444444445,0.009955,0.003781528431438507,0.0033335555555555558,0.0,180.0,9
random_3sat_control,random_3sat_control_v180_c760_seed3301,event_adapter_final,3,3,9,9,0,0,9,9,0.5712571890159513,0.39171521494323014,0.3345678062582716,0.17590766666666668,0.178074,0.02127654945004007,0.0033335555555555558,0.04108111063639323,180.0,9
random_3sat_control,random_3sat_control_v220_c928_seed3303,plain_unguided_glucose,3,3,9,9,0,0,9,0,0.7648465555555555,0.725134,0.6317614255844747,0.7648465555555555,0.725134,0.6317614255844747,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v220_c928_seed3303,neutral_weighted_glucose,3,3,9,9,0,0,9,0,0.3673807777777778,0.381397,0.1259357281292503,0.3673807777777778,0.381397,0.1259357281292503,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v220_c928_seed3303,static_weighted_glucose,3,3,9,9,0,0,9,0,0.3541777650739882,0.18152704191589356,0.2960223893524819,0.004631888888888889,0.005614,0.002358177709824073,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v220_c928_seed3303,cached_trace_no_adapter_final,3,3,9,9,0,0,9,9,0.35933554046019583,0.18762811002326013,0.29541708671363953,0.004631888888888889,0.005614,0.002358177709824073,0.0037255555555555553,0.0,220.0,9
random_3sat_control,random_3sat_control_v220_c928_seed3303,event_adapter_final,3,3,9,9,0,0,9,9,0.4023675399854779,0.22205041646796467,0.32600934327164344,0.006582777777777778,0.006993,0.0027484486887050384,0.0037255555555555553,0.04108111063639323,220.0,9
random_3sat_control,random_3sat_control_v220_c942_seed3304,plain_unguided_glucose,3,3,9,9,0,0,9,0,0.6956383333333334,0.668106,0.044261327953982604,0.6956383333333334,0.668106,0.044261327953982604,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v220_c942_seed3304,neutral_weighted_glucose,3,3,9,9,0,0,9,0,0.8390431111111111,0.806314,0.19607296976855612,0.8390431111111111,0.806314,0.19607296976855612,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v220_c942_seed3304,static_weighted_glucose,3,3,9,9,0,0,9,0,0.7762966221347385,0.6665321557159424,0.20158073985760705,0.4676098888888889,0.466923,0.03595940525941873,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v220_c942_seed3304,cached_trace_no_adapter_final,3,3,9,9,0,0,9,9,0.7818968010358943,0.6724855903204083,0.2019243815536103,0.4676098888888889,0.466923,0.03595940525941873,0.003988333333333333,0.0,220.0,9
random_3sat_control,random_3sat_control_v220_c942_seed3304,event_adapter_final,3,3,9,9,0,0,9,9,1.1316213382266496,1.0567057721011044,0.17123849921773848,0.7265942222222223,0.719676,0.06281408034783637,0.003988333333333333,0.09074020385742188,220.0,9
random_3sat_control,random_3sat_control_v260_c1097_seed3305,plain_unguided_glucose,3,3,9,9,0,0,9,0,6.066171111111111,6.81069,1.6635657025230808,6.066171111111111,6.81069,1.6635657025230808,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v260_c1097_seed3305,neutral_weighted_glucose,3,3,9,9,0,0,9,0,2.8370014444444447,2.53112,2.1178253070085304,2.8370014444444447,2.53112,2.1178253070085304,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v260_c1097_seed3305,static_weighted_glucose,3,3,9,9,0,0,9,0,1.700391177690294,1.778652155685425,0.2665719375976037,1.3917044444444444,1.46714,0.2305794974141842,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v260_c1097_seed3305,cached_trace_no_adapter_final,3,3,9,9,0,0,9,9,1.707708232787649,1.786946492504239,0.2665398575578104,1.3917044444444444,1.46714,0.2305794974141842,0.005846666666666667,0.0,260.0,9
random_3sat_control,random_3sat_control_v260_c1097_seed3305,event_adapter_final,3,3,9,9,0,0,9,9,1.1739693255339596,1.182656422847867,0.2061898592872234,0.7672253333333333,0.759345,0.15184360448336312,0.005846666666666667,0.09074020385742188,260.0,9
random_3sat_control,random_3sat_control_v260_c1113_seed3306,plain_unguided_glucose,3,3,9,9,0,0,9,0,5.688361111111111,5.53939,0.6133597538444393,5.688361111111111,5.53939,0.6133597538444393,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v260_c1113_seed3306,neutral_weighted_glucose,3,3,9,9,0,0,9,0,6.600429999999999,6.83878,0.44823037006655403,6.600429999999999,6.83878,0.44823037006655403,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v260_c1113_seed3306,static_weighted_glucose,3,3,9,9,0,0,9,0,6.218394657287598,6.323420369262696,0.3747564678344662,5.883187777777778,5.93937,0.3337997386449612,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v260_c1113_seed3306,cached_trace_no_adapter_final,3,3,9,9,0,0,9,9,6.226053053938489,6.331789827147007,0.3749168959438684,5.883187777777778,5.93937,0.3337997386449612,0.00613788888888889,0.0,260.0,9
random_3sat_control,random_3sat_control_v260_c1113_seed3306,event_adapter_final,3,3,9,9,0,0,9,9,7.139789560904973,7.1305687918953895,0.34919934659320107,6.711855555555555,6.66298,0.28148595249635067,0.00613788888888889,0.08506872918870714,260.0,9
random_3sat_control,random_3sat_control_v300_c1266_seed3307,plain_unguided_glucose,3,3,9,9,0,0,9,0,1.1663478888888887,1.27011,0.794485152159945,1.1663478888888887,1.27011,0.794485152159945,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v300_c1266_seed3307,neutral_weighted_glucose,3,3,9,9,0,0,9,0,1.6082924444444444,2.06321,1.129224530622687,1.6082924444444444,2.06321,1.129224530622687,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v300_c1266_seed3307,static_weighted_glucose,3,3,9,9,0,0,9,0,0.3972333942599826,0.3942503692626953,0.10723236673572285,0.008986222222222222,0.008944,0.0020355742296571857,0.0,0.0,0.0,0
random_3sat_control,random_3sat_control_v300_c1266_seed3307,cached_trace_no_adapter_final,3,3,9,9,0,0,9,9,0.40620220373541777,0.40179601893854144,0.10662365906819996,0.008986222222222222,0.008944,0.0020355742296571857,0.007432222222222223,0.0,300.0,9
random_3sat_control,random_3sat_control_v300_c1266_seed3307,event_adapter_final,3,3,9,9,0,0,9,9,0.5101549835866954,0.49924530982208254,0.11421693905964354,0.03921322222222222,0.039157,0.0051850815754860054,0.007432222222222223,0.07372577985127766,300.0,9
subset_cardinality,subset_cardinality_bw10,plain_unguided_glucose,3,3,9,9,9,9,9,0,0.0016374444444444444,0.001645,0.0011561987406055146,0.0016374444444444444,0.001645,0.0011561987406055146,0.0,0.0,0.0,0
subset_cardinality,subset_cardinality_bw10,neutral_weighted_glucose,3,3,9,9,9,9,9,0,0.0013852222222222221,0.001568,0.0013010788578885003,0.0013852222222222221,0.001568,0.0013010788578885003,0.0,0.0,0.0,0
subset_cardinality,subset_cardinality_bw10,static_weighted_glucose,3,3,9,9,9,9,9,0,0.38959850537109375,0.3856133692626953,0.10696534084501433,0.0013513333333333333,0.001658,0.0006686355509543297,0.0,0.0,0.0,0
subset_cardinality,subset_cardinality_bw10,cached_trace_no_adapter_final,3,3,9,9,9,9,9,9,0.39194588450737794,0.3870722052654624,0.10736045707011718,0.0013513333333333333,0.001658,0.0006686355509543297,0.0010172222222222223,0.0,41.0,9
subset_cardinality,subset_cardinality_bw10,event_adapter_final,3,3,9,9,9,9,9,9,0.4662131088031,0.45741209295517204,0.11293070914960368,0.001892777777777778,0.001814,0.000984598494029137,0.0010172222222222223,0.07372577985127766,41.0,9
subset_cardinality,subset_cardinality_bw12,plain_unguided_glucose,3,3,9,9,9,9,9,0,0.0014043333333333334,0.001833,0.0009783358319104948,0.0014043333333333334,0.001833,0.0009783358319104948,0.0,0.0,0.0,0
subset_cardinality,subset_cardinality_bw12,neutral_weighted_glucose,3,3,9,9,9,9,9,0,0.0028854444444444444,0.002471,0.0012492452832721754,0.0028854444444444444,0.002471,0.0012492452832721754,0.0,0.0,0.0,0
subset_cardinality,subset_cardinality_bw12,static_weighted_glucose,3,3,9,9,9,9,9,0,0.20454072808498805,0.23142725769042968,0.16884437539395653,0.0018229999999999998,0.002176,0.0009486603712604421,0.0,0.0,0.0,0
subset_cardinality,subset_cardinality_bw12,cached_trace_no_adapter_final,3,3,9,9,9,9,9,9,0.2066767199836837,0.23305191853076218,0.16907319234827475,0.0018229999999999998,0.002176,0.0009486603712604421,0.001073111111111111,0.0,49.0,9
subset_cardinality,subset_cardinality_bw12,event_adapter_final,3,3,9,9,9,9,9,9,0.2545218678396543,0.26500701785022024,0.18734522286258384,0.0029923333333333334,0.003016,0.0008388268593696796,0.001073111111111111,0.04667581452263726,49.0,9
subset_cardinality,subset_cardinality_bw8,plain_unguided_glucose,3,3,9,9,9,9,9,0,0.0009322222222222222,0.000955,0.00040601470964048137,0.0009322222222222222,0.000955,0.00040601470964048137,0.0,0.0,0.0,0
subset_cardinality,subset_cardinality_bw8,neutral_weighted_glucose,3,3,9,9,9,9,9,0,0.0011255555555555556,0.001302,0.0004949053220342026,0.0011255555555555556,0.001302,0.0004949053220342026,0.0,0.0,0.0,0
subset_cardinality,subset_cardinality_bw8,static_weighted_glucose,3,3,9,9,9,9,9,0,0.11115467277526855,0.06178906620788574,0.08958875546798395,0.0012016666666666666,0.001254,0.000521296220972299,0.0,0.0,0.0,0
subset_cardinality,subset_cardinality_bw8,cached_trace_no_adapter_final,3,3,9,9,9,9,9,9,0.11356306094666985,0.06391303433340788,0.08962887286236533,0.0012016666666666666,0.001254,0.000521296220972299,0.0012812222222222222,0.0,33.0,9
subset_cardinality,subset_cardinality_bw8,event_adapter_final,3,3,9,9,9,9,9,9,0.14690355947165357,0.10320893447971344,0.08830919694485136,0.0013913333333333334,0.001141,0.0011197155888885355,0.0012812222222222222,0.033150831858317055,33.0,9
