method,n,solved,mean_time,median_time,total_time,mean_cpu_time,mean_gpu_time,mean_conflicts,mean_decisions,delta_solved_vs_one_shot,delta_mean_time_vs_one_shot,delta_solved_vs_old_compact,delta_mean_time_vs_old_compact,delta_solved_vs_online_consistent,delta_mean_time_vs_online_consistent
one_shot,200,50,47.7516624905774,60.76596526165008,9550.33249811548,46.94407305500001,0.8075894355773926,1360590.18,1553591.675,,,,,,
old_compact,200,56,46.348388939752496,60.88062349633026,9269.677787950499,45.429550795,0.8467973947525025,1310319.785,1496544.645,,,,,,
online_consistent,200,56,46.22166870912506,60.88202661372375,9244.333741825012,45.33663646,0.812635064125061,1314977.19,1501977.42,,,,,,
local_reopen_guarded,200,56,45.49764153162567,60.34614962591553,9099.528306325134,45.11726004,0.2898646116256714,1301337.295,1486403.17,6.0,-2.2540209589517346,0.0,-0.8507474081268285,0.0,-0.7240271774993943
pairwise_veto,200,52,46.87552306334686,60.95929075707245,9375.104612669373,45.956313145,0.8467198133468627,1302398.595,1487153.925,,,,,,
