Unnamed: 0,restarts,conflicts,decisions,propagations,CPU time,Result,cnf_id,sample_id,file,final GPU time,refinement CPU time,refinement GPU time,GPU time,time,file_key,solved,method,batch
0,2.0,1556346.0,1775133.0,86672160.0,59.9711,INDETERMINATE,0,0,data/eval_batches/3sat/400/batch0/3sat_0.cnf,0.0148923397064208,0.075468,1.0408837795257568,1.0557761192321775,61.10234411923218,3sat_0.cnf,False,pairwise_veto_actual,0
1,1.0,73715.0,85712.0,4316774.0,2.47254,SATISFIABLE,1,0,data/eval_batches/3sat/400/batch0/3sat_1.cnf,0.0148923397064208,0.065796,1.0408837795257568,1.0557761192321775,3.594112119232178,3sat_1.cnf,True,pairwise_veto_actual,0
2,2.0,1690287.0,1929125.0,95248284.0,59.9797,INDETERMINATE,2,0,data/eval_batches/3sat/400/batch0/3sat_10.cnf,0.0148923397064208,0.081175,1.0408837795257568,1.0557761192321775,61.11665111923218,3sat_10.cnf,False,pairwise_veto_actual,0
3,1.0,3392.0,4166.0,213902.0,0.06179,SATISFIABLE,3,0,data/eval_batches/3sat/400/batch0/3sat_100.cnf,0.0148923397064208,0.0779199999999999,1.0408837795257568,1.0557761192321775,1.1954861192321775,3sat_100.cnf,True,pairwise_veto_actual,0
4,2.0,1668579.0,1904773.0,93248650.0,59.9788,INDETERMINATE,4,0,data/eval_batches/3sat/400/batch0/3sat_101.cnf,0.0148923397064208,0.07,1.0408837795257568,1.0557761192321775,61.10457611923218,3sat_101.cnf,False,pairwise_veto_actual,0
5,2.0,1622213.0,1874413.0,92695815.0,59.9862,INDETERMINATE,5,0,data/eval_batches/3sat/400/batch0/3sat_102.cnf,0.0148923397064208,0.07714,1.0408837795257568,1.0557761192321775,61.119116119232174,3sat_102.cnf,False,pairwise_veto_actual,0
6,2.0,1633175.0,1883043.0,93832579.0,59.9896,INDETERMINATE,6,0,data/eval_batches/3sat/400/batch0/3sat_103.cnf,0.0148923397064208,0.065166,1.0408837795257568,1.0557761192321775,61.11054211923218,3sat_103.cnf,False,pairwise_veto_actual,0
7,2.0,1676229.0,1914762.0,92854134.0,59.9792,INDETERMINATE,7,0,data/eval_batches/3sat/400/batch0/3sat_104.cnf,0.0148923397064208,0.07241,1.0408837795257568,1.0557761192321775,61.107386119232174,3sat_104.cnf,False,pairwise_veto_actual,0
8,2.0,1686272.0,1918684.0,96495996.0,59.9852,INDETERMINATE,8,0,data/eval_batches/3sat/400/batch0/3sat_105.cnf,0.0148923397064208,0.072137,1.0408837795257568,1.0557761192321775,61.113113119232175,3sat_105.cnf,False,pairwise_veto_actual,0
9,2.0,1678338.0,1908144.0,94613727.0,59.9926,INDETERMINATE,9,0,data/eval_batches/3sat/400/batch0/3sat_106.cnf,0.0148923397064208,0.0824459999999999,1.0408837795257568,1.0557761192321775,61.13082211923218,3sat_106.cnf,False,pairwise_veto_actual,0
10,2.0,1482915.0,1702812.0,84344795.0,59.9933,INDETERMINATE,10,0,data/eval_batches/3sat/400/batch0/3sat_107.cnf,0.0148923397064208,0.065795,1.0408837795257568,1.0557761192321775,61.11487111923218,3sat_107.cnf,False,pairwise_veto_actual,0
11,2.0,1593102.0,1833907.0,89003329.0,59.9898,INDETERMINATE,11,0,data/eval_batches/3sat/400/batch0/3sat_108.cnf,0.0148923397064208,0.0722339999999999,1.0408837795257568,1.0557761192321775,61.11781011923218,3sat_108.cnf,False,pairwise_veto_actual,0
12,2.0,1661282.0,1903575.0,92944054.0,59.9909,INDETERMINATE,12,0,data/eval_batches/3sat/400/batch0/3sat_109.cnf,0.0148923397064208,0.076846,1.0408837795257568,1.0557761192321775,61.12352211923218,3sat_109.cnf,False,pairwise_veto_actual,0
13,1.0,40661.0,47692.0,2496556.0,1.11337,SATISFIABLE,13,0,data/eval_batches/3sat/400/batch0/3sat_11.cnf,0.0148923397064208,0.072714,1.0408837795257568,1.0557761192321775,2.241860119232178,3sat_11.cnf,True,pairwise_veto_actual,0
14,2.0,1608836.0,1844496.0,92840458.0,59.9775,INDETERMINATE,14,0,data/eval_batches/3sat/400/batch0/3sat_110.cnf,0.0148923397064208,0.077113,1.0408837795257568,1.0557761192321775,61.110389119232174,3sat_110.cnf,False,pairwise_veto_actual,0
15,2.0,1581989.0,1814364.0,92090475.0,59.9671,INDETERMINATE,15,0,data/eval_batches/3sat/400/batch0/3sat_111.cnf,0.0148923397064208,0.074977,1.0408837795257568,1.0557761192321775,61.09785311923218,3sat_111.cnf,False,pairwise_veto_actual,0
16,2.0,1661604.0,1886811.0,95757385.0,59.9661,INDETERMINATE,16,0,data/eval_batches/3sat/400/batch0/3sat_112.cnf,0.0148923397064208,0.081731,1.0408837795257568,1.0557761192321775,61.10360711923217,3sat_112.cnf,False,pairwise_veto_actual,0
17,2.0,1641227.0,1858560.0,92826882.0,59.9817,INDETERMINATE,17,0,data/eval_batches/3sat/400/batch0/3sat_113.cnf,0.0148923397064208,0.078508,1.0408837795257568,1.0557761192321775,61.115984119232174,3sat_113.cnf,False,pairwise_veto_actual,0
18,2.0,1669170.0,1915671.0,94081330.0,59.9895,INDETERMINATE,18,0,data/eval_batches/3sat/400/batch0/3sat_114.cnf,0.0148923397064208,0.07246,1.0408837795257568,1.0557761192321775,61.11773611923218,3sat_114.cnf,False,pairwise_veto_actual,0
19,2.0,1509660.0,1712637.0,83408953.0,59.9875,INDETERMINATE,19,0,data/eval_batches/3sat/400/batch0/3sat_115.cnf,0.0148923397064208,0.081402,1.0408837795257568,1.0557761192321775,61.12467811923217,3sat_115.cnf,False,pairwise_veto_actual,0
20,2.0,1648873.0,1875946.0,91726949.0,59.9801,INDETERMINATE,20,0,data/eval_batches/3sat/400/batch0/3sat_116.cnf,0.0066938400268554,0.077224,1.030625581741333,1.0373194217681885,61.09464342176819,3sat_116.cnf,False,pairwise_veto_actual,0
21,2.0,1740182.0,1990318.0,96724180.0,59.9891,INDETERMINATE,21,0,data/eval_batches/3sat/400/batch0/3sat_117.cnf,0.0066938400268554,0.080075,1.030625581741333,1.0373194217681885,61.10649442176819,3sat_117.cnf,False,pairwise_veto_actual,0
22,2.0,1623049.0,1854613.0,91101516.0,59.9855,INDETERMINATE,22,0,data/eval_batches/3sat/400/batch0/3sat_118.cnf,0.0066938400268554,0.073003,1.030625581741333,1.0373194217681885,61.09582242176819,3sat_118.cnf,False,pairwise_veto_actual,0
23,2.0,1737067.0,1983496.0,95610485.0,59.9763,INDETERMINATE,23,0,data/eval_batches/3sat/400/batch0/3sat_119.cnf,0.0066938400268554,0.0663219999999999,1.030625581741333,1.0373194217681885,61.07994142176819,3sat_119.cnf,False,pairwise_veto_actual,0
24,2.0,1615465.0,1847024.0,90518353.0,59.9741,INDETERMINATE,24,0,data/eval_batches/3sat/400/batch0/3sat_12.cnf,0.0066938400268554,0.073509,1.030625581741333,1.0373194217681885,61.08492842176819,3sat_12.cnf,False,pairwise_veto_actual,0
25,1.0,23077.0,27394.0,1439359.0,0.576819,SATISFIABLE,25,0,data/eval_batches/3sat/400/batch0/3sat_120.cnf,0.0066938400268554,0.074102,1.030625581741333,1.0373194217681885,1.6882404217681883,3sat_120.cnf,True,pairwise_veto_actual,0
26,1.0,47329.0,54623.0,2823769.0,1.14483,SATISFIABLE,26,0,data/eval_batches/3sat/400/batch0/3sat_121.cnf,0.0066938400268554,0.075958,1.030625581741333,1.0373194217681885,2.258107421768188,3sat_121.cnf,True,pairwise_veto_actual,0
27,2.0,1721648.0,1969706.0,98311337.0,59.9839,INDETERMINATE,27,0,data/eval_batches/3sat/400/batch0/3sat_122.cnf,0.0066938400268554,0.070191,1.030625581741333,1.0373194217681885,61.09141042176819,3sat_122.cnf,False,pairwise_veto_actual,0
28,2.0,1717689.0,1954003.0,97225721.0,59.9855,INDETERMINATE,28,0,data/eval_batches/3sat/400/batch0/3sat_123.cnf,0.0066938400268554,0.0845549999999999,1.030625581741333,1.0373194217681885,61.10737442176819,3sat_123.cnf,False,pairwise_veto_actual,0
29,1.0,654.0,900.0,43163.0,0.020444,SATISFIABLE,29,0,data/eval_batches/3sat/400/batch0/3sat_124.cnf,0.0066938400268554,0.046317,1.030625581741333,1.0373194217681885,1.1040804217681883,3sat_124.cnf,True,pairwise_veto_actual,0
30,1.0,57267.0,67048.0,3451006.0,1.49591,SATISFIABLE,30,0,data/eval_batches/3sat/400/batch0/3sat_125.cnf,0.0066938400268554,0.076794,1.030625581741333,1.0373194217681885,2.6100234217681884,3sat_125.cnf,True,pairwise_veto_actual,0
