method,family,control_type,scale,benchmark_role,solver_path_role,rows,base_instances,solved_rows,unsolved_rows,indeterminate_rows,known_expected_rows,unknown_expected_rows,known_expected_match_rows,known_expected_wrong_rows,mean_final_cpu_time,median_final_cpu_time,mean_protocol_accounted_time,median_protocol_accounted_time
cached_trace_no_adapter_final,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,27,3,27,0,0,27,0,27,0,1.671882888888889,0.738116,2.578709695103319,1.5419920827118754
cached_trace_no_adapter_final,php,strong_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,2.489382111111111,2.349483,2.8565253869211507,2.817524026266545
cached_trace_no_adapter_final,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,63,7,63,0,0,0,63,0,0,1.1532336984126983,0.051264,1.364388862609045,0.2419297731003761
cached_trace_no_adapter_final,subset_cardinality,weak_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,0.002059277777777778,0.0020105,0.14559512432944444,0.11281307240247726
cached_trace_no_adapter_final,subset_cardinality,weak_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,0.001468888888888889,0.001502,0.05247771727539433,0.052713538637220864
event_adapter_final,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,27,3,27,0,0,27,0,27,0,1.4800763703703705,0.435841,2.447752922653119,1.5785509560867548
event_adapter_final,php,strong_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,2.199326611111111,2.07674,2.637094158949756,2.6471486470493675
event_adapter_final,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,63,7,63,0,0,0,63,0,0,1.1624292380952381,0.181383,1.428562405869165,0.42815919389289614
event_adapter_final,subset_cardinality,weak_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,0.0021095555555555555,0.0021865,0.17317506561701496,0.1163871473903656
event_adapter_final,subset_cardinality,weak_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,0.0011566666666666667,0.001218,0.07903924256090322,0.07860328564047812
neutral_weighted_glucose,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,27,3,27,0,0,27,0,27,0,1.6717705555555555,0.725242,1.6717705555555555,0.725242
neutral_weighted_glucose,php,strong_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,2.492776166666667,2.4594375,2.492776166666667,2.4594375
neutral_weighted_glucose,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,63,7,63,0,0,0,63,0,0,1.7851633174603174,0.602623,1.7851633174603174,0.602623
neutral_weighted_glucose,subset_cardinality,weak_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,0.0025250555555555556,0.002831,0.0025250555555555556,0.002831
neutral_weighted_glucose,subset_cardinality,weak_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,0.0008112222222222223,0.000582,0.0008112222222222223,0.000582
plain_unguided_glucose,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,27,3,27,0,0,27,0,27,0,1.6803207037037038,0.608984,1.6803207037037038,0.608984
plain_unguided_glucose,php,strong_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,2.495375777777778,2.3047945,2.495375777777778,2.3047945
plain_unguided_glucose,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,63,7,63,0,0,0,63,0,0,2.1506509365079363,0.749969,2.1506509365079363,0.749969
plain_unguided_glucose,subset_cardinality,weak_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,0.0013767222222222223,0.0017585,0.0013767222222222223,0.0017585
plain_unguided_glucose,subset_cardinality,weak_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,0.0009214444444444445,0.00092,0.0009214444444444445,0.00092
static_weighted_glucose,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,27,3,27,0,0,27,0,27,0,1.671882888888889,0.738116,2.5726926272599964,1.5404439088745117
static_weighted_glucose,php,strong_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,2.489382111111111,2.349483,2.851155840435452,2.81100778603363
static_weighted_glucose,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,63,7,63,0,0,0,63,0,0,1.1532336984126983,0.051264,1.3581311361895365,0.23635646865844728
static_weighted_glucose,subset_cardinality,weak_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,0.002059277777777778,0.0020105,0.14327208553907606,0.10962186985778809
static_weighted_glucose,subset_cardinality,weak_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,0.001468888888888889,0.001502,0.049487423867119684,0.04896631837463379
cached_trace_no_adapter_final,__overall__,__overall__,__overall__,__overall__,patched_pretrue_main,135,15,135,0,0,72,63,72,0,1.204842414814815,0.057605,1.5562379908899904,0.657150417642951
event_adapter_final,__overall__,__overall__,__overall__,__overall__,patched_pretrue_main,135,15,135,0,0,72,63,72,0,1.1320841851851853,0.181383,1.5361848867158638,0.6354142930256724
neutral_weighted_glucose,__overall__,__overall__,__overall__,__overall__,patched_pretrue_main,135,15,135,0,0,72,63,72,0,1.500191237037037,0.602623,1.500191237037037,0.602623
plain_unguided_glucose,__overall__,__overall__,__overall__,__overall__,patched_pretrue_main,135,15,135,0,0,72,63,72,0,1.6726630074074074,0.625922,1.6726630074074074,0.625922
static_weighted_glucose,__overall__,__overall__,__overall__,__overall__,patched_pretrue_main,135,15,135,0,0,72,63,72,0,1.204842414814815,0.057605,1.550889274061528,0.6503069012145997
