warmup_conflicts,family,base_instance_id,observations,base_instances,variants,repeats,final_cpu_lim,warmup_cpu_lim,event_adapter_solved_rows,known_expected_rows,known_expected_match_rows,warmup_cpu_mean,warmup_cpu_median,warmup_conflict_count_mean,event_state_l2_sum_mean,event_state_nonzero_vars_mean,graph_gate_open_fraction,adapter_cached_final_cpu_delta_mean,adapter_cached_final_cpu_delta_median,adapter_cached_protocol_delta_mean,adapter_plain_final_cpu_delta_mean,adapter_plain_final_cpu_delta_median,adapter_plain_protocol_delta_mean,adapter_plain_protocol_delta_median,adapter_cached_decisions_delta_mean,adapter_cached_conflicts_delta_mean,neutral_plain_final_cpu_delta_mean,static_neutral_final_cpu_delta_mean,adapter_cached_final_cpu_improved_fraction,adapter_plain_final_cpu_improved_fraction,adapter_plain_protocol_improved_fraction
1,complete_coloring,k10_color9,9,1,3,3,10.0,5.0,9,9,9,0.007769666666666667,0.007221,1.0,136.9733123779297,90.0,1.0,-0.6587622222222221,-0.9912800000000002,-0.6197177625613742,-0.731611111111111,-0.8521999999999998,0.44186131204983925,0.535372583268285,-3460.6666666666665,-3713.0,-0.0513088888888888,-0.02154000000000009,0.7777777777777778,0.8888888888888888,0.2222222222222222
1,complete_coloring,k8_color7,9,1,3,3,10.0,5.0,9,9,9,0.003941666666666666,0.004257,1.0,84.77042134602864,56.0,1.0,-0.01028788888888889,-0.010365,0.028756570771959075,-0.0018282222222222226,-0.0029919999999999947,1.1677530851043663,1.5088409115636348,-30.0,-32.333333333333336,0.005919666666666668,0.0025399999999999997,0.8888888888888888,0.6666666666666666,0.0
1,complete_coloring,k9_color8,9,1,3,3,10.0,5.0,9,9,9,0.0044517777777777785,0.004219,1.0,109.49154917399089,72.0,1.0,-0.2694432222222222,-0.23861300000000002,-0.22735079295518665,-0.13509633333333335,-0.08926499999999993,0.7695283657559686,0.5632909113118649,-6670.0,-6141.666666666667,0.14051744444444447,-0.006170555555555544,1.0,1.0,0.2222222222222222
1,php,php_p10_h9,9,1,3,3,10.0,5.0,9,9,9,0.006661111111111112,0.006995,1.0,136.9733123779297,90.0,1.0,-0.5025911111111111,-0.7626200000000001,-0.45440274263170033,-0.8766422222222222,-0.8236700000000003,-0.5001343126315541,-0.5887226232171061,-3460.6666666666665,-3713.0,-0.35137444444444443,-0.022676666666666605,0.7777777777777778,1.0,0.7777777777777778
1,php,php_p9_h8,9,1,3,3,10.0,5.0,9,9,9,0.004557444444444444,0.004673,1.0,109.49154917399089,72.0,1.0,-0.22590255555555558,-0.24680799999999997,-0.17771418707614478,-0.12167311111111112,-0.13869900000000002,0.25271487009289534,0.10068583967918165,-5991.666666666667,-5562.666666666667,0.11443444444444444,-0.010204999999999983,1.0,1.0,0.0
1,random_3sat_control,random_3sat_control_v160_c704_seed2615,9,1,3,3,10.0,5.0,9,0,0,0.0032332222222222224,0.003538,1.0,250.46484883626303,160.0,1.0,0.0017148888888888862,0.0024059999999999984,0.055102477813720685,-0.018971444444444444,-0.012781,0.4549848724033832,0.5422957986152768,661.0,487.6666666666667,0.017288444444444447,-0.037974777777777774,0.3333333333333333,0.8888888888888888,0.0
1,random_3sat_control,random_3sat_control_v180_c760_seed3301,9,1,3,3,10.0,5.0,9,0,0,0.0032294444444444445,0.003558,1.0,291.29674275716144,180.0,1.0,0.5778068888888889,0.6014619999999999,0.6337940880364311,-0.11688033333333332,0.10694999999999999,0.40810979058210717,0.3018394423478842,37563.0,33199.666666666664,-0.583693,-0.11099422222222222,0.0,0.3333333333333333,0.2222222222222222
1,random_3sat_control,random_3sat_control_v220_c928_seed3303,9,1,3,3,10.0,5.0,9,0,0,0.004063111111111111,0.004187,1.0,331.58192952473956,220.0,1.0,0.007783666666666667,0.00719,0.06377086581420897,-0.734738,-0.720711,-0.20940922961456251,-0.1302200291460156,679.0,572.0,-0.3967692222222222,-0.3457524444444445,0.0,1.0,0.5555555555555556
1,random_3sat_control,random_3sat_control_v220_c942_seed3304,9,1,3,3,10.0,5.0,9,0,0,0.00417,0.00472,1.0,323.7030029296875,220.0,1.0,0.20247,0.18605299999999997,0.2673826370747883,-0.03316411111111112,-0.03968499999999997,0.7567003365453613,0.6457783345660567,12625.0,11126.666666666666,0.09912633333333334,-0.3347604444444444,0.0,0.7777777777777778,0.0
1,random_3sat_control,random_3sat_control_v260_c1097_seed3305,9,1,3,3,10.0,5.0,9,0,0,0.005378999999999999,0.005399,1.0,390.126953125,260.0,1.0,-0.1862704444444445,-0.04302000000000006,-0.12135780736965586,-4.853783777777778,-5.75906,-4.062507001293288,-4.366425326132417,6884.333333333333,5454.333333333333,-3.328095333333333,-1.339418,0.5555555555555556,1.0,1.0
