warmup_conflicts,observations,base_instances,variants,repeats,final_cpu_lim,warmup_cpu_lim,event_adapter_solved_rows,known_expected_rows,known_expected_match_rows,warmup_cpu_mean,warmup_cpu_median,warmup_conflict_count_mean,event_state_l2_sum_mean,event_state_nonzero_vars_mean,graph_gate_open_fraction,adapter_cached_final_cpu_delta_mean,adapter_cached_final_cpu_delta_median,adapter_cached_protocol_delta_mean,adapter_plain_final_cpu_delta_mean,adapter_plain_final_cpu_delta_median,adapter_plain_protocol_delta_mean,adapter_plain_protocol_delta_median,adapter_cached_decisions_delta_mean,adapter_cached_conflicts_delta_mean,neutral_plain_final_cpu_delta_mean,static_neutral_final_cpu_delta_mean,adapter_cached_final_cpu_improved_fraction,adapter_plain_final_cpu_improved_fraction,adapter_plain_protocol_improved_fraction
1,135,15,3,3,10.0,5.0,135,72,72,0.0041995999999999995,0.004278,1.0,214.57329254150392,140.2,1.0,0.05632415555555555,0.002183,0.10389887346575703,-0.4416110666666666,-0.008960999999999997,-0.13219280982265558,0.18919400363683703,7620.333333333333,6493.844444444445,-0.1299677111111111,-0.3679675111111111,0.4148148148148148,0.6148148148148148,0.3037037037037037
3,135,15,3,3,10.0,5.0,135,72,72,0.003894355555555556,0.003646,3.0,291.57310638427737,140.2,1.0,-0.07275822962962962,-0.001126,-0.02005310417412652,-0.5405788222222222,-0.054696,-0.1364781206915436,0.1168484093629121,10271.666666666666,9290.511111111111,-0.17247177037037034,-0.2953488222222222,0.5555555555555556,0.7185185185185186,0.3111111111111111
