warmup_conflicts,checkpoint_order,source_csv,repeat_id,base_instance_id,variant,instance_id,family,control_type,scale,benchmark_role,symmetry_strength,num_vars,num_clauses,final_cpu_lim,warmup_cpu_lim,checkpoint,plain_unguided_glucose_final_cpu_time,plain_unguided_glucose_protocol_accounted_time,plain_unguided_glucose_final_decisions,plain_unguided_glucose_final_conflicts,plain_unguided_glucose_final_solved,neutral_weighted_glucose_final_cpu_time,neutral_weighted_glucose_protocol_accounted_time,neutral_weighted_glucose_final_decisions,neutral_weighted_glucose_final_conflicts,neutral_weighted_glucose_final_solved,static_weighted_glucose_final_cpu_time,static_weighted_glucose_protocol_accounted_time,static_weighted_glucose_final_decisions,static_weighted_glucose_final_conflicts,static_weighted_glucose_final_solved,cached_trace_no_adapter_final_final_cpu_time,cached_trace_no_adapter_final_protocol_accounted_time,cached_trace_no_adapter_final_final_decisions,cached_trace_no_adapter_final_final_conflicts,cached_trace_no_adapter_final_final_solved,event_adapter_final_final_cpu_time,event_adapter_final_protocol_accounted_time,event_adapter_final_final_decisions,event_adapter_final_final_conflicts,event_adapter_final_final_solved,known_expected_result,event_adapter_final_known_expected_match,warmup_cpu_time,warmup_conflict_count,warmup_decisions,event_state_l2_sum,event_state_nonzero_vars,event_adapter_graph_gate_evidence,event_adapter_graph_gate_open,adapter_inference_wall_time,adapter_cached_final_cpu_delta,adapter_cached_protocol_delta,adapter_plain_final_cpu_delta,adapter_plain_protocol_delta,adapter_cached_decisions_delta,adapter_cached_conflicts_delta,neutral_plain_final_cpu_delta,static_neutral_final_cpu_delta,adapter_cached_final_cpu_improved,adapter_plain_final_cpu_improved,adapter_plain_protocol_improved,search_ok,search_blowup,random_control
1,80.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,php_p9_h8,perm_seed1731,php_p9_h8_perm1731,php,strong_symmetry,large,main,strong,72,549,10.0,5.0,iter=80,0.706165,0.706165,47177.0,43763.0,True,0.725261,0.725261,47579.0,44103.0,True,0.681479,0.7696125735321044,47579.0,44103.0,True,0.681479,0.7756104768768548,47579.0,44103.0,True,0.41546,0.5144356655670405,36219.0,33463.0,True,True,True,0.005207,1.0,7.0,109.56788635253906,72,0.6931471824645996,True,0.0048441886901855,-0.2660189999999999,-0.2611748113098143,-0.290705,-0.1917293344329595,-11360.0,-10640.0,0.019096,-0.0437820000000001,True,True,True,True,False,False
1,80.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,random_3sat_control_v160_c704_seed2615,base,random_3sat_control_v160_c704_seed2615,random_3sat_control,non_symmetric_control,large,control,none,160,704,10.0,5.0,iter=80,0.0625,0.0625,6771.0,5767.0,True,0.064439,0.064439,5702.0,4813.0,True,0.059258,0.1473915735321045,4859.0,4212.0,True,0.059258,0.1544152231836915,4859.0,4212.0,True,0.051677,0.151678411873877,5471.0,4688.0,True,False,False,0.006068,1.0,20.0,250.25311279296875,160,0.6931471824645996,True,0.0048441886901855,-0.0075809999999999,-0.0027368113098144,-0.010823,0.089178411873877,612.0,476.0,0.0019389999999999,-0.0051809999999999,True,True,False,False,True,True
1,80.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,random_3sat_control_v160_c704_seed2615,perm_seed1730,random_3sat_control_v160_c704_seed2615_perm1730,random_3sat_control,non_symmetric_control,large,control,none,160,704,10.0,5.0,iter=80,0.113955,0.113955,8522.0,7299.0,True,0.081614,0.081614,7934.0,6809.0,True,0.045454,0.2299947485961914,4602.0,4008.0,True,0.045454,0.2351685939778089,4602.0,4008.0,True,0.054934,0.3263627472676039,5473.0,4688.0,True,False,False,0.004198,1.0,20.0,250.9976043701172,160,0.6931471824645996,True,0.0817141532897949,0.0094799999999999,0.091194153289795,-0.059021,0.2124077472676039,871.0,680.0,-0.0323409999999999,-0.03616,False,True,False,False,True,True
1,80.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,random_3sat_control_v160_c704_seed2615,perm_seed1731,random_3sat_control_v160_c704_seed2615_perm1731,random_3sat_control,non_symmetric_control,large,control,none,160,704,10.0,5.0,iter=80,0.05571,0.05571,5676.0,4847.0,True,0.100638,0.100638,8017.0,6851.0,True,0.050203,0.2347437485961914,4961.0,4384.0,True,0.050203,0.2361605814746618,4961.0,4384.0,True,0.047195,0.3148667347644567,5559.0,4673.0,True,False,False,0.000493,1.0,20.0,250.14382934570312,160,0.6931471824645996,True,0.0817141532897949,-0.0030079999999999,0.0787061532897949,-0.008515,0.2591567347644567,598.0,289.0,0.044928,-0.050435,True,True,False,False,True,True
1,80.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,random_3sat_control_v180_c760_seed3301,base,random_3sat_control_v180_c760_seed3301,random_3sat_control,non_symmetric_control,large,control,none,180,760,10.0,5.0,iter=80,0.560316,0.560316,27442.0,23617.0,True,0.148704,0.148704,10470.0,8910.0,True,0.009244,0.1937847485961914,693.0,567.0,True,0.009244,0.200624765184164,693.0,567.0,True,0.611384,0.884478918473959,41817.0,36891.0,True,False,False,0.00564,1.0,25.0,290.802978515625,180,0.6931471824645996,True,0.0817141532897949,0.60214,0.683854153289795,0.051068,0.3241629184739589,41124.0,36324.0,-0.411612,-0.13946,False,False,False,False,True,True
1,80.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,random_3sat_control_v180_c760_seed3301,perm_seed1730,random_3sat_control_v180_c760_seed3301_perm1730,random_3sat_control,non_symmetric_control,large,control,none,180,760,10.0,5.0,iter=80,1.05477,1.05477,47649.0,41152.0,True,0.096606,0.096606,7421.0,6253.0,True,0.008701,0.1932417485961914,643.0,525.0,True,0.008701,0.1989410377506613,643.0,525.0,True,0.481362,0.7533161910404562,33548.0,29357.0,True,False,False,0.004601,1.0,25.0,292.0396728515625,180,0.6931471824645996,True,0.0817141532897949,0.472661,0.5543751532897949,-0.5734079999999999,-0.3014538089595437,32905.0,28832.0,-0.958164,-0.087905,False,True,True,False,True,True
1,80.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,random_3sat_control_v180_c760_seed3301,perm_seed1731,random_3sat_control_v180_c760_seed3301_perm1731,random_3sat_control,non_symmetric_control,large,control,none,180,760,10.0,5.0,iter=80,0.646667,0.646667,27197.0,23469.0,True,0.127258,0.127258,9011.0,7714.0,True,0.004187,0.1887277485961914,590.0,484.0,True,0.004187,0.1926484769454002,590.0,484.0,True,0.637706,0.9078816302351952,43169.0,38129.0,True,False,False,0.002812,1.0,25.0,291.0475769042969,180,0.6931471824645996,True,0.0817141532897949,0.6335189999999999,0.715233153289795,-0.0089609999999999,0.2612146302351952,42579.0,37645.0,-0.519409,-0.123071,False,True,False,False,True,True
1,80.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,random_3sat_control_v220_c928_seed3303,base,random_3sat_control_v220_c928_seed3303,random_3sat_control,non_symmetric_control,large,control,none,220,928,10.0,5.0,iter=80,0.788494,0.788494,30277.0,25994.0,True,0.446042,0.446042,22265.0,19025.0,True,0.005293,0.1898337485961914,62.0,4.0,True,0.005293,0.1962731599847078,62.0,4.0,True,0.017668,0.2903623132745028,673.0,525.0,True,False,False,0.005433,1.0,28.0,332.48345947265625,220,0.6931471824645996,True,0.0817141532897949,0.012375,0.094089153289795,-0.770826,-0.4981316867254972,611.0,521.0,-0.342452,-0.440749,False,True,True,False,True,True
1,80.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,random_3sat_control_v220_c928_seed3303,perm_seed1730,random_3sat_control_v220_c928_seed3303_perm1730,random_3sat_control,non_symmetric_control,large,control,none,220,928,10.0,5.0,iter=80,1.49441,1.49441,52742.0,45477.0,True,0.207566,0.207566,13039.0,11071.0,True,0.005364,0.1899047485961914,62.0,4.0,True,0.005364,0.1951646036421656,62.0,4.0,True,0.015212,0.2867267569319606,668.0,531.0,True,False,False,0.004085,1.0,28.0,330.46795654296875,220,0.6931471824645996,True,0.0817141532897949,0.0098479999999999,0.091562153289795,-1.479198,-1.207683243068039,606.0,527.0,-1.286844,-0.202202,False,True,True,False,True,True
1,80.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,random_3sat_control_v220_c928_seed3303,perm_seed1731,random_3sat_control_v220_c928_seed3303_perm1731,random_3sat_control,non_symmetric_control,large,control,none,220,928,10.0,5.0,iter=80,0.057256,0.057256,4930.0,4147.0,True,0.356055,0.356055,19684.0,16814.0,True,0.005329,0.1898697485961914,63.0,4.0,True,0.005329,0.1954494532423615,63.0,4.0,True,0.010707,0.2825416065321565,822.0,632.0,True,False,False,0.004465,1.0,28.0,331.7943725585937,220,0.6931471824645996,True,0.0817141532897949,0.0053779999999999,0.087092153289795,-0.046549,0.2252856065321564,759.0,628.0,0.298799,-0.350726,False,True,False,False,True,True
1,80.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,random_3sat_control_v220_c942_seed3304,base,random_3sat_control_v220_c942_seed3304,random_3sat_control,non_symmetric_control,large,control,none,220,942,10.0,5.0,iter=80,0.742464,0.742464,35472.0,30813.0,True,0.964584,0.964584,41376.0,36046.0,True,0.480082,0.7411055214233399,26754.0,23980.0,True,0.480082,0.7449412353859544,26754.0,23980.0,True,0.66387,1.0064489238014818,40303.0,36145.0,True,False,False,0.00269,1.0,24.0,322.4337158203125,220,0.6931471824645996,True,0.0777196884155273,0.1837879999999999,0.2615076884155274,-0.078594,0.2639849238014817,13549.0,12165.0,0.2221199999999999,-0.484502,False,True,False,False,True,True
1,80.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,random_3sat_control_v220_c942_seed3304,perm_seed1730,random_3sat_control_v220_c942_seed3304_perm1730,random_3sat_control,non_symmetric_control,large,control,none,220,942,10.0,5.0,iter=80,0.638115,0.638115,34825.0,30052.0,True,0.621997,0.621997,33221.0,28818.0,True,0.502256,0.7632795214233399,26445.0,23804.0,True,0.502256,0.7700046408703327,26445.0,23804.0,True,0.602689,0.94815732928586,39714.0,35415.0,True,False,False,0.005593,1.0,24.0,324.02960205078125,220,0.6931471824645996,True,0.0777196884155273,0.100433,0.1781526884155273,-0.0354259999999999,0.31004232928586,13269.0,11611.0,-0.0161179999999999,-0.1197409999999999,False,True,False,False,True,True
1,80.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,random_3sat_control_v220_c942_seed3304,perm_seed1731,random_3sat_control_v220_c942_seed3304_perm1731,random_3sat_control,non_symmetric_control,large,control,none,220,942,10.0,5.0,iter=80,0.712338,0.712338,38737.0,33758.0,True,0.799155,0.799155,38909.0,33544.0,True,0.490387,0.7514105214233399,26149.0,23448.0,True,0.490387,0.7601267651433349,26149.0,23448.0,True,0.647919,0.9953784535588622,40803.0,36445.0,True,False,False,0.007714,1.0,24.0,324.64569091796875,220,0.6931471824645996,True,0.0777196884155273,0.157532,0.2352516884155273,-0.064419,0.2830404535588622,14654.0,12997.0,0.0868169999999999,-0.3087679999999999,False,True,False,False,True,True
1,80.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,random_3sat_control_v260_c1097_seed3305,base,random_3sat_control_v260_c1097_seed3305,random_3sat_control,non_symmetric_control,large,control,none,260,1097,10.0,5.0,iter=80,6.86472,6.86472,216854.0,188499.0,True,2.28024,2.28024,73626.0,64181.0,True,1.55858,1.81960352142334,60642.0,54350.0,True,1.55858,1.8276535044772624,60642.0,54350.0,True,1.76373,2.11052319289279,80287.0,71600.0,True,False,False,0.006912,1.0,35.0,390.6428833007813,260,0.6931471824645996,True,0.0777196884155273,0.2051499999999999,0.2828696884155275,-5.10099,-4.75419680710721,19645.0,17250.0,-4.58448,-0.72166,False,True,True,False,True,True
1,80.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,random_3sat_control_v260_c1097_seed3305,perm_seed1730,random_3sat_control_v260_c1097_seed3305_perm1730,random_3sat_control,non_symmetric_control,large,control,none,260,1097,10.0,5.0,iter=80,7.37414,7.37414,224505.0,195557.0,True,0.644387,0.644387,27246.0,23387.0,True,1.51048,1.77150352142334,60686.0,54724.0,True,1.51048,1.775206160480976,60686.0,54724.0,True,1.45328,1.795725848896503,69741.0,62000.0,True,False,False,0.00264,1.0,35.0,390.0680847167969,260,0.6931471824645996,True,0.0777196884155273,-0.0572000000000001,0.0205196884155272,-5.920859999999999,-5.578414151103496,9055.0,7276.0,-6.729753,0.866093,True,True,True,False,True,True
1,80.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,random_3sat_control_v260_c1097_seed3305,perm_seed1731,random_3sat_control_v260_c1097_seed3305_perm1731,random_3sat_control,non_symmetric_control,large,control,none,260,1097,10.0,5.0,iter=80,4.00219,4.00219,105916.0,92052.0,True,5.5251,5.5251,162997.0,142194.0,True,1.10621,1.3672335214233398,48534.0,43247.0,True,1.10621,1.373838031843066,48534.0,43247.0,True,1.75872,2.104067720258594,80122.0,71235.0,True,False,False,0.005496,1.0,35.0,389.6698913574219,260,0.6931471824645996,True,0.0777196884155273,0.6525100000000001,0.7302296884155277,-2.2434699999999994,-1.898122279741406,31588.0,27988.0,1.5229100000000004,-4.41889,False,True,True,False,True,True
1,80.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,random_3sat_control_v260_c1113_seed3306,base,random_3sat_control_v260_c1113_seed3306,random_3sat_control,non_symmetric_control,large,control,none,260,1113,10.0,5.0,iter=80,5.47903,5.47903,178146.0,155541.0,True,6.00798,6.00798,186876.0,163308.0,True,6.4425,6.70352352142334,226200.0,205404.0,True,6.4425,6.711034626169503,226200.0,205404.0,True,6.66152,7.00777431458503,262785.0,231853.0,True,False,False,0.006475,1.0,33.0,397.6284790039063,260,0.6931471824645996,True,0.0777196884155273,0.2190200000000004,0.2967396884155278,1.1824900000000005,1.5287443145850306,36585.0,26449.0,0.52895,0.43452,False,False,False,False,True,True
1,80.0,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc1_per_instance.csv,0,random_3sat_control_v260_c1113_seed3306,perm_seed1730,random_3sat_control_v260_c1113_seed3306_perm1730,random_3sat_control,non_symmetric_control,large,control,none,260,1113,10.0,5.0,iter=80,5.16899,5.16899,171334.0,149746.0,True,6.87559,6.87559,206936.0,180741.0,True,5.60591,5.86693352142334,206101.0,186162.0,True,5.60591,5.871403623811602,206101.0,186162.0,True,6.3065,6.64971331222713,254223.0,224105.0,True,False,False,0.003285,1.0,33.0,396.3316650390625,260,0.6931471824645996,True,0.0777196884155273,0.70059,0.7783096884155274,1.1375099999999998,1.4807233122271295,48122.0,37943.0,1.7066,-1.26968,False,False,False,False,True,True
