method,family,control_type,scale,benchmark_role,solver_path_role,rows,base_instances,solved_rows,unsolved_rows,indeterminate_rows,known_expected_rows,unknown_expected_rows,known_expected_match_rows,known_expected_wrong_rows,mean_final_cpu_time,median_final_cpu_time,mean_protocol_accounted_time,median_protocol_accounted_time
cached_trace_no_adapter_final,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,27,3,27,0,0,27,0,27,0,1.6336662962962962,0.775916,2.194613837752126,1.0937740909534097
cached_trace_no_adapter_final,php,strong_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,2.391096222222222,2.35056,2.613972687294417,2.5407909850093424
cached_trace_no_adapter_final,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,63,7,63,0,0,0,63,0,0,1.1164743492063491,0.052272,1.4577715017108255,0.6624778185793757
cached_trace_no_adapter_final,subset_cardinality,weak_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,0.0015871666666666666,0.0017645,0.2993113022455308,0.27127628056478503
cached_trace_no_adapter_final,subset_cardinality,weak_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,0.0012016666666666666,0.001254,0.11356306094666985,0.06391303433340788
event_adapter_final,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,27,3,27,0,0,27,0,27,0,1.5482763703703701,0.415841,2.168547522909054,1.007789241086185
event_adapter_final,php,strong_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,2.342373222222222,2.0095505,2.6356472232542965,2.3115362049221395
event_adapter_final,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,63,7,63,0,0,0,63,0,0,1.2112707301587302,0.178074,1.6201807955829928,0.8394648930038213
event_adapter_final,subset_cardinality,weak_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,0.0024425555555555555,0.002229,0.36036748832137716,0.3409509903731346
event_adapter_final,subset_cardinality,weak_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,0.0013913333333333334,0.001141,0.14690355947165357,0.10320893447971344
neutral_weighted_glucose,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,27,3,27,0,0,27,0,27,0,1.6820549999999999,0.727566,1.6820549999999999,0.727566
neutral_weighted_glucose,php,strong_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,2.5157783888888887,2.3721115,2.5157783888888887,2.3721115
neutral_weighted_glucose,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,63,7,63,0,0,0,63,0,0,1.780587,0.578634,1.780587,0.578634
neutral_weighted_glucose,subset_cardinality,weak_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,0.0021353333333333333,0.0021355000000000002,0.0021353333333333333,0.0021355000000000002
neutral_weighted_glucose,subset_cardinality,weak_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,0.0011255555555555556,0.001302,0.0011255555555555556,0.001302
plain_unguided_glucose,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,27,3,27,0,0,27,0,27,0,1.713686,0.625634,1.713686,0.625634
plain_unguided_glucose,php,strong_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,2.5789615,2.4275015,2.5789615,2.4275015
plain_unguided_glucose,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,63,7,63,0,0,0,63,0,0,2.166134206349206,0.758722,2.166134206349206,0.758722
plain_unguided_glucose,subset_cardinality,weak_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,0.001520888888888889,0.0016589999999999999,0.001520888888888889,0.0016589999999999999
plain_unguided_glucose,subset_cardinality,weak_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,0.0009322222222222222,0.000955,0.0009322222222222222,0.000955
static_weighted_glucose,complete_coloring,strong_symmetry,large,main,patched_pretrue_main,27,3,27,0,0,27,0,27,0,1.6336662962962962,0.775916,2.1874417127764665,1.0841676975250243
static_weighted_glucose,php,strong_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,2.391096222222222,2.35056,2.6079749542677138,2.534774833755493
static_weighted_glucose,random_3sat_control,non_symmetric_control,large,control,patched_pretrue_main,63,7,63,0,0,0,63,0,0,1.1164743492063491,0.052272,1.4515090299513076,0.6565211557159424
static_weighted_glucose,subset_cardinality,weak_symmetry,large,main,patched_pretrue_main,18,2,18,0,0,18,0,18,0,0.0015871666666666666,0.0017645,0.2970696167280409,0.2692573014221191
static_weighted_glucose,subset_cardinality,weak_symmetry,medium,main,patched_pretrue_main,9,1,9,0,0,9,0,9,0,0.0012016666666666666,0.001254,0.11115467277526855,0.06178906620788574
