warmup_conflicts,source_csv,repeat_id,base_instance_id,variant,instance_id,family,control_type,scale,benchmark_role,symmetry_strength,num_vars,num_clauses,final_cpu_lim,warmup_cpu_lim,checkpoint,plain_unguided_glucose_final_cpu_time,plain_unguided_glucose_protocol_accounted_time,plain_unguided_glucose_final_decisions,plain_unguided_glucose_final_conflicts,plain_unguided_glucose_final_solved,neutral_weighted_glucose_final_cpu_time,neutral_weighted_glucose_protocol_accounted_time,neutral_weighted_glucose_final_decisions,neutral_weighted_glucose_final_conflicts,neutral_weighted_glucose_final_solved,static_weighted_glucose_final_cpu_time,static_weighted_glucose_protocol_accounted_time,static_weighted_glucose_final_decisions,static_weighted_glucose_final_conflicts,static_weighted_glucose_final_solved,cached_trace_no_adapter_final_final_cpu_time,cached_trace_no_adapter_final_protocol_accounted_time,cached_trace_no_adapter_final_final_decisions,cached_trace_no_adapter_final_final_conflicts,cached_trace_no_adapter_final_final_solved,event_adapter_final_final_cpu_time,event_adapter_final_protocol_accounted_time,event_adapter_final_final_decisions,event_adapter_final_final_conflicts,event_adapter_final_final_solved,known_expected_result,event_adapter_final_known_expected_match,warmup_cpu_time,warmup_conflict_count,warmup_decisions,event_state_l2_sum,event_state_nonzero_vars,event_adapter_graph_gate_evidence,event_adapter_graph_gate_open,adapter_inference_wall_time,adapter_cached_final_cpu_delta,adapter_cached_protocol_delta,adapter_plain_final_cpu_delta,adapter_plain_protocol_delta,adapter_cached_decisions_delta,adapter_cached_conflicts_delta,neutral_plain_final_cpu_delta,static_neutral_final_cpu_delta,adapter_cached_final_cpu_improved,adapter_plain_final_cpu_improved,adapter_plain_protocol_improved
3,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc3_per_instance.csv,0,k10_color9,perm_seed1731,k10_color9_perm1731,complete_coloring,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_7_WC1_PositiveCap/iter=80.pt,3.82531,3.82531,340033.0,312592.0,True,3.92942,3.92942,290369.0,269757.0,True,4.94238,5.764011908416748,290369.0,269757.0,True,4.94238,5.771165672204256,290369.0,269757.0,True,4.16733,5.054856049630403,331745.0,312573.0,True,True,True,0.006161,3.0,9.0,193.47189331054688,90,1.0986123085021973,True,0.0587403774261474,-0.7750500000000002,-0.7163096225738528,0.34201999999999977,1.229546049630403,41376.0,42816.0,0.10410999999999992,1.01296,True,False,False
3,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc3_per_instance.csv,0,k8_color7,base,k8_color7,complete_coloring,strong_symmetry,large,main,strong,56,372,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_7_WC1_PositiveCap/iter=80.pt,0.05364,0.05364,6158.0,5600.0,True,0.042059,0.042059,5946.0,5440.0,True,0.042097,0.8637289084167481,5946.0,5440.0,True,0.042097,0.8656790513919592,5946.0,5440.0,True,0.030839,0.9131614288181066,5490.0,5053.0,True,True,True,0.001061,3.0,7.0,125.01708984375,56,1.0986123085021973,True,0.0587403774261474,-0.011258000000000004,0.04748237742614736,-0.022801000000000002,0.8595214288181066,-456.0,-387.0,-0.011581000000000001,3.800000000000331e-05,True,True,False
3,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc3_per_instance.csv,0,k8_color7,perm_seed1730,k8_color7_perm1730,complete_coloring,strong_symmetry,large,main,strong,56,372,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_7_WC1_PositiveCap/iter=80.pt,0.047086,0.047086,6138.0,5624.0,True,0.04719,0.04719,6264.0,5696.0,True,0.048483,0.8701149084167481,6264.0,5696.0,True,0.048483,0.8716849596142173,6264.0,5696.0,True,0.030142,0.9120843370403648,5686.0,5200.0,True,True,True,0.000656,3.0,7.0,125.1129913330078,56,1.0986123085021973,True,0.0587403774261474,-0.018341,0.04039937742614752,-0.016944000000000004,0.8649983370403649,-578.0,-496.0,0.00010399999999999993,0.0012929999999999955,True,True,False
3,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc3_per_instance.csv,0,k8_color7,perm_seed1731,k8_color7_perm1731,complete_coloring,strong_symmetry,large,main,strong,56,372,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_7_WC1_PositiveCap/iter=80.pt,0.046927,0.046927,5800.0,5271.0,True,0.05473,0.05473,6148.0,5641.0,True,0.060382,0.8820139084167481,6148.0,5641.0,True,0.060382,0.8828895537338853,6148.0,5641.0,True,0.030843,0.9120909311600328,6065.0,5554.0,True,True,True,0.0,3.0,7.0,125.51768493652344,56,1.0986123085021973,True,0.0587403774261474,-0.029539,0.02920137742614748,-0.016084000000000005,0.8651639311600328,-83.0,-87.0,0.0078029999999999974,0.005651999999999997,True,True,False
3,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc3_per_instance.csv,0,k9_color8,base,k9_color8,complete_coloring,strong_symmetry,large,main,strong,72,549,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_7_WC1_PositiveCap/iter=80.pt,0.608984,0.608984,46557.0,43529.0,True,0.63402,0.63402,44352.0,41138.0,True,0.652662,1.474293908416748,43519.0,40436.0,True,0.652662,1.4834358834621906,43519.0,40436.0,True,0.405013,1.294527260888338,39547.0,36846.0,True,True,True,0.008169,3.0,8.0,158.36375427246094,72,1.0986123085021973,True,0.0587403774261474,-0.24764899999999995,-0.18890862257385255,-0.20397099999999996,0.6855432608883381,-3972.0,-3590.0,0.025036000000000058,0.018641999999999936,True,True,False
3,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc3_per_instance.csv,0,k9_color8,perm_seed1730,k9_color8_perm1730,complete_coloring,strong_symmetry,large,main,strong,72,549,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_7_WC1_PositiveCap/iter=80.pt,0.412336,0.412336,39708.0,36681.0,True,0.719415,0.719415,45794.0,42555.0,True,0.738116,1.559747908416748,45794.0,42555.0,True,0.738116,1.5685274209299087,45794.0,42555.0,True,0.400815,1.289966798356056,44352.0,41061.0,True,True,True,0.007763,3.0,10.0,157.64891052246094,72,1.0986123085021973,True,0.0587403774261474,-0.337301,-0.2785606225738526,-0.011521000000000003,0.8776307983560561,-1442.0,-1494.0,0.30707900000000005,0.018700999999999968,True,True,False
3,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc3_per_instance.csv,0,k9_color8,perm_seed1731,k9_color8_perm1731,complete_coloring,strong_symmetry,large,main,strong,72,549,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_7_WC1_PositiveCap/iter=80.pt,0.539786,0.539786,47177.0,43763.0,True,0.669854,0.669854,47579.0,44103.0,True,0.755497,0.9004736159057617,47579.0,44103.0,True,0.755497,0.9039739487009048,47579.0,44103.0,True,0.42366,0.6422482234201431,42307.0,39488.0,True,True,True,0.002511,3.0,8.0,158.0809783935547,72,1.0986123085021973,True,0.0701112747192382,-0.331837,-0.26172572528076166,-0.11612600000000001,0.1024622234201431,-5272.0,-4615.0,0.13006799999999996,0.08564300000000002,True,True,False
3,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc3_per_instance.csv,0,php_p10_h9,base,php_p10_h9,php,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_7_WC1_PositiveCap/iter=80.pt,3.94431,3.94431,340861.0,314066.0,True,4.12883,4.12883,322229.0,299168.0,True,4.15398,4.2989566159057615,321840.0,298649.0,True,4.15398,4.305906886451363,321840.0,298649.0,True,3.83746,4.059498161170602,340002.0,317794.0,True,True,True,0.005972,3.0,9.0,195.45620727539065,90,1.0986123085021973,True,0.0701112747192382,-0.3165199999999997,-0.2464087252807614,-0.10685000000000011,0.1151881611706016,18162.0,19145.0,0.18451999999999957,0.025150000000000006,True,True,False
3,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc3_per_instance.csv,0,php_p10_h9,perm_seed1730,php_p10_h9_perm1730,php,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_7_WC1_PositiveCap/iter=80.pt,4.65678,4.65678,413643.0,382655.0,True,4.235,4.235,283792.0,262594.0,True,4.49763,4.642606615905762,247778.0,229737.0,True,4.49763,4.651377417901516,247778.0,229737.0,True,3.64509,3.8689486926207546,333128.0,310050.0,True,True,True,0.007836,3.0,9.0,194.30953979492188,90,1.0986123085021973,True,0.0701112747192382,-0.8525399999999999,-0.7824287252807616,-1.0116900000000002,-0.7878313073792458,85350.0,80313.0,-0.42178000000000004,0.2626299999999997,True,True,True
3,/home/sunshixin/chenchao/my_rlaf/runs/analysis/echosat_symmetry_grpo_v1_7_acceptance_iter=80_canonical_low_warmup_wc3_per_instance.csv,0,php_p10_h9,perm_seed1731,php_p10_h9_perm1731,php,strong_symmetry,large,main,strong,90,775,10.0,5.0,/home/sunshixin/chenchao/my_rlaf/runs/GNN_Glucose_3SAT_EchoSAT_SymmetryGRPO_v1_7_WC1_PositiveCap/iter=80.pt,3.90358,3.90358,340033.0,312592.0,True,4.25211,4.25211,290369.0,269757.0,True,4.42732,4.572296615905762,290369.0,269757.0,True,4.42732,4.576596143401802,290369.0,269757.0,True,4.18704,4.40642741812104,331745.0,312573.0,True,True,True,0.003364,3.0,9.0,193.47189331054688,90,1.0986123085021973,True,0.0701112747192382,-0.24028000000000027,-0.170168725280762,0.2834599999999998,0.5028474181210401,41376.0,42816.0,0.34853000000000023,0.17520999999999987,True,False,False
