family,base_instance_id,repeats,variants,rows,plain_solved_rows,neutral_lost_rows,static_lost_rows,adapter_lost_rows,weighted_binary_input_delta_final_cpu_mean,weighted_binary_input_delta_protocol_time_mean,static_weights_delta_final_cpu_mean,static_weights_delta_protocol_time_mean,event_collection_overhead_delta_final_cpu_mean,event_collection_overhead_delta_protocol_time_mean,adapter_delta_inference_delta_final_cpu_mean,adapter_delta_inference_delta_protocol_time_mean,adapter_inference_wall_time_mean,event_overhead_mean,adapter_delta_overhead_mean,warmup_decisions_mean,warmup_conflicts_mean,event_state_nonzero_vars_mean,graph_gate_open_rows,primary_attribution_modes,primary_attribution_variant_consistency,plain_solved_variant_consistency,neutral_solved_variant_consistency,static_solved_variant_consistency,adapter_solved_variant_consistency,event_audit_role,symmetry_strength,control_type,scale,scale_key,benchmark_role,family_scale,variant_role,permutation_variant,source
complete_coloring,k10_color9,3,3,9,9,0,0,0,-0.537401111111111,-0.537401111111111,-0.19999777777777789,0.6083898196241591,0.0,0.008081212407396836,-0.18443777777777756,-0.1506404342057967,0.0337973435719808,0.008081212407396836,-0.1506404342057967,8.0,1.0,90.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,strong,strong_symmetry,large,v10_c9,main,complete_coloring:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
complete_coloring,k8_color7,3,3,9,9,0,0,0,0.0011755555555555573,0.0011755555555555573,-0.0008157777777777764,0.8075718196241591,0.0,0.00572177741505704,-0.006191333333333335,0.027606010238647474,0.0337973435719808,0.00572177741505704,0.027606010238647474,6.0,1.0,56.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,strong,strong_symmetry,large,v8_c7,main,complete_coloring:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
complete_coloring,k9_color8,3,3,9,9,0,0,0,0.057044999999999985,0.057044999999999985,-0.012849888888888883,0.6061570362701416,0.0,0.00578308686572979,-0.14853466666666668,-0.11576835099453403,0.0327663156721327,0.00578308686572979,-0.11576835099453403,7.0,1.0,72.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,strong,strong_symmetry,large,v9_c8,main,complete_coloring:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
php,php_p10_h9,3,3,9,9,0,0,0,-0.5648944444444444,-0.5648944444444444,-0.19753666666666664,0.04270891400655113,0.0,0.009001945411754943,-0.3622844444444444,-0.331580184572008,0.030704259872436523,0.009001945411754943,-0.331580184572008,8.0,1.0,90.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,strong,strong_symmetry,large,p10_h9,main,php:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
php,php_p9_h8,3,3,9,9,0,0,0,0.025503888888888895,0.025503888888888895,-0.047921666666666654,0.1923239140065511,0.0,0.00666196285270985,-0.08458677777777776,-0.05388251790534126,0.030704259872436523,0.00666196285270985,-0.05388251790534126,7.0,1.0,72.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,strong,strong_symmetry,large,p9_h8,main,php:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v160_c704_seed2615,3,3,9,9,0,0,0,0.0033368888888888892,0.0033368888888888892,-0.027639,0.3016618009592692,0.0,0.004638961360428075,0.002061666666666666,0.03171635497199163,0.02965468830532498,0.004638961360428075,0.03171635497199163,20.0,1.0,160.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars160_clauses704,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v180_c760_seed3301,3,3,9,9,0,0,0,-0.5685282222222222,-0.5685282222222222,-0.10825422222222222,0.26557418888007267,0.0,0.0055698670972055865,0.5872858888888888,0.6164157914106582,0.029129902521769207,0.0055698670972055865,0.6164157914106582,25.0,1.0,180.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars180_clauses760,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v220_c928_seed3303,3,3,9,9,0,0,0,-0.3892768888888889,-0.3892768888888889,-0.3447453333333333,0.029083077768961605,0.0,0.006268703431672521,0.0028603333333333332,0.031990235855102536,0.029129902521769207,0.006268703431672521,0.031990235855102536,28.0,1.0,220.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars220_clauses928,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v220_c942_seed3304,3,3,9,9,0,0,0,0.05135911111111113,0.05135911111111113,-0.36705544444444443,0.33564095842319064,0.0,0.006995008106496559,0.18769733333333333,0.24477950954182942,0.057082176208496094,0.006995008106496559,0.24477950954182942,24.0,1.0,220.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars220_clauses942,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v260_c1097_seed3305,3,3,9,9,0,0,0,-3.066663777777778,-3.066663777777778,-1.4266061111111112,-0.723909708243476,0.0,0.0077007035944726505,0.6393210000000001,0.6964031762084962,0.057082176208496094,0.0077007035944726505,0.6964031762084962,35.0,1.0,260.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars260_clauses1097,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v260_c1113_seed3306,3,3,9,9,0,0,0,0.656751111111111,0.656751111111111,-0.5300166666666667,0.11041073731316459,0.0,0.007030597201824307,0.7958277777777778,0.8419881048414442,0.04616032706366645,0.007030597201824307,0.8419881048414442,33.0,1.0,260.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars260_clauses1113,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
random_3sat_control,random_3sat_control_v300_c1266_seed3307,3,3,9,9,0,0,0,0.26922777777777784,0.26922777777777784,-1.424010888888889,-0.9081214826846653,0.0,0.007397397537946697,0.03172688888888889,0.05604351766289607,0.02431662877400716,0.007397397537946697,0.05604351766289607,46.0,1.0,300.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,none,non_symmetric_control,large,vars300_clauses1266,control,random_3sat_control:large,"base,permutation_variant","False,True",SAT symmetry harder baseline candidate pool; EchoSAT runtime v1.2 canonical DIMACS order
subset_cardinality,subset_cardinality_bw10,3,3,9,9,0,0,0,0.00011355555555555549,0.00011355555555555549,-0.0009697777777777777,0.5149196284264459,0.0,0.001796364810473393,0.0009277777777777778,0.025244406551784948,0.02431662877400716,0.001796364810473393,0.025244406551784948,6.0,1.0,41.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,weak,weak_symmetry,large,size10,main,subset_cardinality:large,"base,permutation_variant","False,True",SAT-b-inspired symmetry stress set; EchoSAT runtime v1.2 canonical DIMACS order
subset_cardinality,subset_cardinality_bw12,3,3,9,9,0,0,0,0.000874,0.000874,-0.0009262222222222222,0.23067652601284452,0.0,0.0018830836227602423,0.0009445555555555556,0.022836997199164495,0.021892441643608943,0.0018830836227602423,0.022836997199164495,7.666666666666667,1.0,49.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,weak,weak_symmetry,large,size12,main,subset_cardinality:large,"base,permutation_variant","False,True",SAT-b-inspired symmetry stress set; EchoSAT runtime v1.2 canonical DIMACS order
subset_cardinality,subset_cardinality_bw8,3,3,9,9,0,0,0,0.0005013333333333332,0.0005013333333333332,2.0888888888888938e-05,0.08948030813937717,0.0,0.0019444068939089782,-2.0111111111111154e-05,0.020660236967298726,0.020680348078409832,0.0019444068939089782,0.020660236967298726,9.333333333333334,1.0,33.0,9,event_collection_overhead_only,1.0,1.0,1.0,1.0,1.0,event,weak,weak_symmetry,medium,size8,main,subset_cardinality:medium,"base,permutation_variant","False,True",SAT-b-inspired symmetry stress set; EchoSAT runtime v1.2 canonical DIMACS order
