Unnamed: 0,restarts,conflicts,decisions,propagations,CPU time,Result,cnf_id,sample_id,file,final GPU time,refinement CPU time,refinement GPU time,GPU time,time,file_key,solved,method,batch
20,2.0,1736337.0,1973886.0,96428155.0,59.9854,INDETERMINATE,20,0,data/eval_batches/3sat/400/batch0/3sat_116.cnf,0.0047962665557861,0.067107,1.1353116035461426,1.1401078701019287,61.19261487010193,3sat_116.cnf,False,online_consistent_boundary400,0
21,2.0,1743714.0,1996951.0,97125924.0,59.9861,INDETERMINATE,21,0,data/eval_batches/3sat/400/batch0/3sat_117.cnf,0.0047962665557861,0.072049,1.1353116035461426,1.1401078701019287,61.19825687010193,3sat_117.cnf,False,online_consistent_boundary400,0
22,2.0,1722229.0,1966888.0,96493735.0,59.9935,INDETERMINATE,22,0,data/eval_batches/3sat/400/batch0/3sat_118.cnf,0.0047962665557861,0.074881,1.1353116035461426,1.1401078701019287,61.20848887010192,3sat_118.cnf,False,online_consistent_boundary400,0
23,2.0,1787184.0,2039905.0,98293898.0,59.991,INDETERMINATE,23,0,data/eval_batches/3sat/400/batch0/3sat_119.cnf,0.0047962665557861,0.078973,1.1353116035461426,1.1401078701019287,61.210080870101926,3sat_119.cnf,False,online_consistent_boundary400,0
24,2.0,1691352.0,1932994.0,94749577.0,59.9858,INDETERMINATE,24,0,data/eval_batches/3sat/400/batch0/3sat_12.cnf,0.0047962665557861,0.071856,1.1353116035461426,1.1401078701019287,61.19776387010192,3sat_12.cnf,False,online_consistent_boundary400,0
25,1.0,23077.0,27394.0,1439359.0,0.539777,SATISFIABLE,25,0,data/eval_batches/3sat/400/batch0/3sat_120.cnf,0.0047962665557861,0.080775,1.1353116035461426,1.1401078701019287,1.7606598701019287,3sat_120.cnf,True,online_consistent_boundary400,0
26,1.0,47329.0,54623.0,2823769.0,1.09486,SATISFIABLE,26,0,data/eval_batches/3sat/400/batch0/3sat_121.cnf,0.0047962665557861,0.070835,1.1353116035461426,1.1401078701019287,2.3058028701019286,3sat_121.cnf,True,online_consistent_boundary400,0
27,2.0,1730118.0,1979322.0,98795504.0,58.0646,SATISFIABLE,27,0,data/eval_batches/3sat/400/batch0/3sat_122.cnf,0.0047962665557861,0.078669,1.1353116035461426,1.1401078701019287,59.283376870101925,3sat_122.cnf,True,online_consistent_boundary400,0
28,2.0,1797337.0,2045064.0,101523529.0,59.996,INDETERMINATE,28,0,data/eval_batches/3sat/400/batch0/3sat_123.cnf,0.0047962665557861,0.07777,1.1353116035461426,1.1401078701019287,61.21387787010193,3sat_123.cnf,False,online_consistent_boundary400,0
29,1.0,654.0,900.0,43163.0,0.019949,SATISFIABLE,29,0,data/eval_batches/3sat/400/batch0/3sat_124.cnf,0.0047962665557861,0.047692,1.1353116035461426,1.1401078701019287,1.2077488701019288,3sat_124.cnf,True,online_consistent_boundary400,0
