size,split,file_key,base_result,base_solved,base_time,base_cpu_time,base_gpu_time,base_conflicts,base_decisions,base_propagations,old_result,old_solved,old_time,old_cpu_time,old_gpu_time,old_conflicts,old_decisions,old_propagations,pairwise_result,pairwise_solved,pairwise_time,pairwise_cpu_time,pairwise_gpu_time,pairwise_conflicts,pairwise_decisions,pairwise_propagations,new_result,new_solved,new_time,new_cpu_time,new_gpu_time,new_conflicts,new_decisions,new_propagations,delta_time_vs_base,delta_conflicts_vs_base,outcome_vs_base,delta_time_vs_old,delta_conflicts_vs_old,outcome_vs_old,delta_time_vs_pairwise,delta_conflicts_vs_pairwise,outcome_vs_pairwise,difficulty_bucket
400,data/test/3sat/400,3sat_0.cnf,INDETERMINATE,False,60.81852078895569,59.9698,0.8487207889556885,1672027.0,1907191.0,93128703.0,INDETERMINATE,False,60.876747970932,59.9584,0.8363549709320068,1682995.0,1919828.0,93733229.0,INDETERMINATE,False,61.10234411923218,59.9711,1.0557761192321775,1556346.0,1775133.0,86672160.0,INDETERMINATE,False,61.14558245095825,59.9566,1.107811450958252,1723371.0,1965411.0,95957432.0,0.3270616620025635,51344.0,both_timeout,0.2688344800262499,40376.0,both_timeout,0.04323833172607294,167025.0,both_timeout,timeout
400,data/test/3sat/400,3sat_1.cnf,SATISFIABLE,True,3.2234607889556885,2.37474,0.8487207889556885,73715.0,85712.0,4316774.0,SATISFIABLE,True,3.3463329709320067,2.42041,0.8363549709320068,73715.0,85712.0,4316774.0,SATISFIABLE,True,3.594112119232178,2.47254,1.0557761192321775,73715.0,85712.0,4316774.0,SATISFIABLE,True,3.607240450958252,2.42278,1.107811450958252,73715.0,85712.0,4316774.0,0.3837796620025635,0.0,slower_both_solved,0.2609074800262454,0.0,slower_both_solved,0.013128331726074194,0.0,tie_both_solved,easy(<10s)
400,data/test/3sat/400,3sat_10.cnf,INDETERMINATE,False,60.83442078895569,59.9857,0.8487207889556885,1826229.0,2083750.0,102916413.0,INDETERMINATE,False,60.901103970932006,59.9856,0.8363549709320068,1753211.0,2000555.0,98800376.0,INDETERMINATE,False,61.11665111923218,59.9797,1.0557761192321775,1690287.0,1929125.0,95248284.0,INDETERMINATE,False,61.16147545095826,59.9746,1.107811450958252,1790500.0,2042949.0,100917450.0,0.32705466200256694,-35729.0,both_timeout,0.2603714800262509,37289.0,both_timeout,0.04482433172607614,100213.0,both_timeout,timeout
400,data/test/3sat/400,3sat_100.cnf,SATISFIABLE,True,0.9034027889556884,0.054682,0.8487207889556885,3392.0,4166.0,213902.0,SATISFIABLE,True,0.9748959709320068,0.063792,0.8363549709320068,3392.0,4166.0,213902.0,SATISFIABLE,True,1.1954861192321775,0.06179,1.0557761192321775,3392.0,4166.0,213902.0,SATISFIABLE,True,1.2407914509582518,0.057727,1.107811450958252,3392.0,4166.0,213902.0,0.33738866200256346,0.0,slower_both_solved,0.2658954800262451,0.0,slower_both_solved,0.045305331726074316,0.0,tie_both_solved,easy(<10s)
400,data/test/3sat/400,3sat_101.cnf,INDETERMINATE,False,60.82742078895569,59.9787,0.8487207889556885,1719479.0,1962700.0,96025164.0,INDETERMINATE,False,60.887933970932,59.9758,0.8363549709320068,1705302.0,1946604.0,95264467.0,INDETERMINATE,False,61.10457611923218,59.9788,1.0557761192321775,1668579.0,1904773.0,93248650.0,INDETERMINATE,False,61.16340445095825,59.9781,1.107811450958252,1693124.0,1932769.0,94602810.0,0.3359836620025547,-26355.0,both_timeout,0.2754704800262431,-12178.0,both_timeout,0.05882833172606894,24545.0,both_timeout,timeout
400,data/test/3sat/400,3sat_102.cnf,INDETERMINATE,False,60.83412078895569,59.9854,0.8487207889556885,1750176.0,2020509.0,99945638.0,INDETERMINATE,False,60.890598970932,59.9835,0.8363549709320068,1733833.0,2001867.0,98997044.0,INDETERMINATE,False,61.119116119232174,59.9862,1.0557761192321775,1622213.0,1874413.0,92695815.0,INDETERMINATE,False,61.17822745095825,59.9899,1.107811450958252,1766751.0,2039715.0,100898155.0,0.34410666200256657,16575.0,both_timeout,0.28762848002625674,32918.0,both_timeout,0.059111331726079186,144538.0,both_timeout,timeout
400,data/test/3sat/400,3sat_103.cnf,INDETERMINATE,False,60.83732078895569,59.9886,0.8487207889556885,1732339.0,1991122.0,97894485.0,INDETERMINATE,False,60.88788697093201,59.9795,0.8363549709320068,1714295.0,1976215.0,98367096.0,INDETERMINATE,False,61.11054211923218,59.9896,1.0557761192321775,1633175.0,1883043.0,93832579.0,INDETERMINATE,False,61.14406245095825,59.9595,1.107811450958252,1753236.0,2020792.0,100578118.0,0.30674166200256536,20897.0,both_timeout,0.25617548002624346,38941.0,both_timeout,0.03352033172607349,120061.0,both_timeout,timeout
400,data/test/3sat/400,3sat_104.cnf,INDETERMINATE,False,60.84032078895569,59.9916,0.8487207889556885,1670000.0,1907745.0,92517251.0,INDETERMINATE,False,60.888383970932,59.9931,0.8363549709320068,1722285.0,1967652.0,95326374.0,INDETERMINATE,False,61.107386119232174,59.9792,1.0557761192321775,1676229.0,1914762.0,92854134.0,INDETERMINATE,False,61.16458545095825,59.9826,1.107811450958252,1716254.0,1960666.0,95010296.0,0.32426466200256243,46254.0,both_timeout,0.276201480026252,-6031.0,both_timeout,0.05719933172607483,40025.0,both_timeout,timeout
400,data/test/3sat/400,3sat_105.cnf,INDETERMINATE,False,60.825320788955686,59.9766,0.8487207889556885,1794308.0,2042617.0,102943843.0,INDETERMINATE,False,60.88377097093201,59.9926,0.8363549709320068,1849920.0,2106622.0,106281812.0,INDETERMINATE,False,61.113113119232175,59.9852,1.0557761192321775,1686272.0,1918684.0,96495996.0,INDETERMINATE,False,61.168222450958254,59.9956,1.107811450958252,1841898.0,2097340.0,105803579.0,0.3429016620025678,47590.0,both_timeout,0.28445148002624165,-8022.0,both_timeout,0.05510933172607935,155626.0,both_timeout,timeout
400,data/test/3sat/400,3sat_106.cnf,INDETERMINATE,False,60.83652078895569,59.9878,0.8487207889556885,1705239.0,1948237.0,94644372.0,INDETERMINATE,False,60.88814097093201,59.9798,0.8363549709320068,1798716.0,2043266.0,101302572.0,INDETERMINATE,False,61.13082211923218,59.9926,1.0557761192321775,1678338.0,1908144.0,94613727.0,INDETERMINATE,False,61.18511545095825,59.9999,1.107811450958252,1684910.0,1924955.0,93538027.0,0.3485946620025615,-20329.0,both_timeout,0.29697448002624327,-113806.0,both_timeout,0.05429333172607187,6572.0,both_timeout,timeout
