warmup_conflicts,family,observations,base_instances,variants,repeats,final_cpu_lim,warmup_cpu_lim,event_adapter_solved_rows,known_expected_rows,known_expected_match_rows,warmup_cpu_mean,warmup_cpu_median,warmup_conflict_count_mean,event_state_l2_sum_mean,event_state_nonzero_vars_mean,graph_gate_open_fraction,adapter_cached_final_cpu_delta_mean,adapter_cached_final_cpu_delta_median,adapter_cached_protocol_delta_mean,adapter_plain_final_cpu_delta_mean,adapter_plain_final_cpu_delta_median,adapter_plain_protocol_delta_mean,adapter_plain_protocol_delta_median,adapter_cached_decisions_delta_mean,adapter_cached_conflicts_delta_mean,neutral_plain_final_cpu_delta_mean,static_neutral_final_cpu_delta_mean,adapter_cached_final_cpu_improved_fraction,adapter_plain_final_cpu_improved_fraction,adapter_plain_protocol_improved_fraction
1,complete_coloring,27,3,3,3,10.0,5.0,27,27,27,0.005202111111111111,0.004208,1.0,110.41176096598308,72.66666666666667,1.0,-0.11305459259259253,-0.015559999999999796,-0.07960092498722772,-0.3440025925925925,-0.08841900000000003,0.44124047389646825,0.3974690382456779,-7110.555555555556,-5863.555555555556,-0.15972685185185181,-0.07122114814814819,0.7407407407407407,0.7777777777777778,0.2222222222222222
1,php,18,2,3,3,10.0,5.0,18,18,18,0.006957166666666667,0.007135000000000001,1.0,123.23243077596028,81.0,1.0,-0.22343561111111113,-0.11129449999999996,-0.1927313512386746,-0.6158600555555555,-0.17609099999999994,-0.3370782608776688,-0.060483630748569966,-15737.166666666666,-13817.666666666666,-0.26969527777777774,-0.12272916666666663,0.6111111111111112,0.8888888888888888,0.5555555555555556
1,random_3sat_control,63,7,3,3,10.0,5.0,63,0,0,0.005341047619047619,0.005282,1.0,350.0224064418248,228.57142857142858,1.0,0.3209686984126984,0.19874499999999995,0.3599052414989169,-0.7179058253968253,-0.09465699999999999,-0.15264521410871684,0.20951499543422458,20978.809523809523,17762.0,-0.43482771428571426,-0.6040468095238095,0.1111111111111111,0.7619047619047619,0.3492063492063492
1,subset_cardinality,27,3,3,3,10.0,5.0,27,27,27,0.0009554074074074074,0.001001,1.0,63.58079952663846,41.0,1.0,0.0006174074074074074,5.299999999999988e-05,0.022913880239416057,0.0004886666666666667,0.00028299999999999994,0.30364361583764904,0.2181966858243942,12.222222222222221,11.333333333333334,0.0004962962962962962,-0.000625037037037037,0.4074074074074074,0.3333333333333333,0.0
3,complete_coloring,27,3,3,3,10.0,5.0,27,27,27,0.0066984814814814815,0.006673,3.0,159.2198944091797,72.66666666666667,1.0,0.08118129629629631,-0.016314000000000002,0.08477793769553861,-0.04770177777777777,-0.014360000000000001,0.06215943923184389,0.0949041037279367,29359.777777777777,28125.555555555555,-0.08232922222222223,-0.04655385185185183,0.7037037037037037,0.7037037037037037,0.2962962962962963
3,php,18,2,3,3,10.0,5.0,18,18,18,0.008489944444444446,0.009489000000000001,3.0,176.2218805948893,81.0,1.0,0.14221194444444443,-0.02358349999999998,0.14477812308417423,-0.05030150000000003,-0.07474150000000002,0.06164383538082906,0.04203266861853003,44262.0,42375.833333333336,-0.14647277777777779,-0.046040666666666674,0.5,0.6666666666666666,0.4444444444444444
3,random_3sat_control,63,7,3,3,10.0,5.0,63,0,0,0.005628444444444445,0.004797,3.0,466.8184073311942,228.57142857142858,1.0,0.07936030158730156,0.020006,0.08306577286832295,-0.7190823174603175,-0.13513200000000003,-0.5592414796614259,-0.0333325909716487,11126.904761904761,8959.238095238095,-0.3100953968253968,-0.48834722222222227,0.1746031746031746,0.7142857142857143,0.5238095238095238
3,subset_cardinality,27,3,3,3,10.0,5.0,27,27,27,0.0014891851851851852,0.00118,3.0,91.9214333428277,41.0,1.0,4.61481481481482e-05,0.00023700000000000001,0.0023690250430636922,5.707407407407415e-05,0.00021700000000000018,0.06674728116262617,0.0441896490908265,16.333333333333332,5.333333333333333,0.0008937777777777778,-0.0008828518518518519,0.48148148148148145,0.4074074074074074,0.0
