cadical_result,cadical_solved,cadical_time,cadical_wall_time,file,file_key,local_actual_wall_time,local_cpu_time_reported,local_external_timeout,local_result,local_solved,local_stage,local_total_time_reported,local_wall_time,portfolio_solved,portfolio_time
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_120.cnf,3sat_120.cnf,0.8429392818361521,0.531223,False,SATISFIABLE,True,final,0.675659422454834,0.8429392818361521,True,0.8429392818361521
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_121.cnf,3sat_121.cnf,1.4039440178312361,1.0677,False,SATISFIABLE,True,final,1.223766121688843,1.4039440178312361,True,1.4039440178312361
SATISFIABLE,True,5.395067747682333,5.395067747682333,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_122.cnf,3sat_122.cnf,5.035689121112227,4.676990854088217,True,TIMEOUT,False,final,4.867713166771322,5.0,True,10.395067747682333
SATISFIABLE,True,1.1552255768328905,1.1552255768328905,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_123.cnf,3sat_123.cnf,5.0373088316991925,4.743314903229475,True,TIMEOUT,False,final,4.877665400315046,5.0,True,6.1552255768328905
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_124.cnf,3sat_124.cnf,0.2620960851199925,0.005199,False,SATISFIABLE,True,final,0.11313458755493164,0.2620960851199925,True,0.2620960851199925
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_125.cnf,3sat_125.cnf,2.705814861226827,2.42358,False,SATISFIABLE,True,final,2.556059720413208,2.705814861226827,True,2.705814861226827
UNKNOWN,False,55.0,55.00606215791777,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_126.cnf,3sat_126.cnf,5.036341757979244,4.742667741142213,True,TIMEOUT,False,final,4.87476661051172,5.0,False,60.0
SATISFIABLE,True,44.822626314125955,44.822626314125955,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_127.cnf,3sat_127.cnf,5.035392079036683,4.593525059055537,True,TIMEOUT,False,final,4.731728822391719,5.0,True,49.822626314125955
SATISFIABLE,True,2.1174063980579376,2.1174063980579376,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_128.cnf,3sat_128.cnf,5.03778377501294,4.72571528237313,True,TIMEOUT,False,final,4.870439383157432,5.0,True,7.117406398057938
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_129.cnf,3sat_129.cnf,0.939470465760678,0.618157,False,SATISFIABLE,True,final,0.7870101905059814,0.939470465760678,True,0.939470465760678
SATISFIABLE,True,37.737669887021184,37.737669887021184,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_13.cnf,3sat_13.cnf,5.036112362984568,4.752160461619496,True,TIMEOUT,False,final,4.877855231562734,5.0,True,42.737669887021184
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_130.cnf,3sat_130.cnf,3.7517401869408786,3.467,False,SATISFIABLE,True,final,3.5801669718322753,3.7517401869408786,True,3.7517401869408786
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_131.cnf,3sat_131.cnf,2.8190325889736414,2.53703,False,SATISFIABLE,True,final,2.6537835650634767,2.8190325889736414,True,2.8190325889736414
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_132.cnf,3sat_132.cnf,0.3124544471502304,0.035916,False,SATISFIABLE,True,final,0.16551616778564454,0.3124544471502304,True,0.3124544471502304
UNKNOWN,False,55.0,55.00750872725621,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_133.cnf,3sat_133.cnf,5.036262481007725,4.7531427731737494,True,TIMEOUT,False,final,4.883055134852826,5.0,False,60.0
UNKNOWN,False,55.0,55.00729403458536,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_134.cnf,3sat_134.cnf,5.03787434566766,4.7495821211487055,True,TIMEOUT,False,final,4.868861351739525,5.0,False,60.0
UNKNOWN,False,55.0,55.006342214066535,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_135.cnf,3sat_135.cnf,5.036764089949429,4.751789986155927,True,TIMEOUT,False,final,4.883164819148481,5.0,False,60.0
UNKNOWN,False,55.0,55.00738906534389,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_136.cnf,3sat_136.cnf,5.037282384000719,4.743739953264594,True,TIMEOUT,False,final,4.872445303881049,5.0,False,60.0
