file_key,portfolio_solved_repeats,local_first_stage_solved_repeats,cadical_second_stage_solved_repeats,portfolio_only_vs_cadical_repeats,cadical_only_vs_portfolio_repeats,stable_portfolio_solved,stable_portfolio_only_vs_cadical,cadical_60s_solved,cadical_60s_time,local_correction_time_mean,portfolio_time_mean,portfolio_time_std,pattern
3sat_148.cnf,3,0,3,0,0,True,True,True,26.65602825814858,60.39607031393433,26.49041504304235,0.27190464511139534,0000
3sat_149.cnf,3,3,0,0,0,True,True,True,9.47403134033084,4.28076564726766,3.2331166026803353,0.014858284797032545,1111
3sat_15.cnf,0,0,0,0,0,True,True,False,60.0,60.40033231393432,60.0,0.0,0000
3sat_150.cnf,3,3,0,0,0,True,True,True,0.6038581440225244,0.8217769806009928,0.5939485171499351,0.006581883730728901,1111
3sat_151.cnf,0,0,0,0,0,True,True,False,60.0,60.411970313934326,60.0,0.0,0000
3sat_152.cnf,0,0,0,0,0,True,True,False,60.0,60.38102393755086,60.0,0.0,0000
3sat_153.cnf,0,0,0,0,0,True,True,False,60.0,60.372472604217535,60.0,0.0,0000
3sat_154.cnf,3,3,0,0,0,True,True,True,2.75419194623828,0.6164282708841959,0.4658613922074437,0.00877970480296283,1111
3sat_155.cnf,0,0,0,0,0,True,True,False,60.0,60.39620560421753,60.0,0.0,0000
3sat_156.cnf,0,0,0,0,0,True,True,False,60.0,60.3909112708842,60.0,0.0,0000
3sat_157.cnf,3,0,3,0,0,True,True,True,6.270832111127675,34.450387937550865,10.208022232477864,0.07413435660434617,1111
3sat_158.cnf,0,0,0,0,0,True,True,False,60.0,60.39255493755087,60.0,0.0,0000
3sat_159.cnf,0,0,0,0,0,True,True,False,60.0,60.385860270884194,60.0,0.0,0000
3sat_16.cnf,0,0,0,0,0,True,True,False,60.0,60.38495993755086,60.0,0.0,0000
3sat_160.cnf,0,0,0,0,0,True,True,False,60.0,60.3848122708842,60.0,0.0,0000
3sat_161.cnf,3,0,3,0,0,True,True,True,35.81325959926471,60.38616282889303,35.00031378958374,0.09708552385893862,0000
3sat_162.cnf,0,0,0,0,0,True,True,False,60.0,60.35957882889303,60.0,0.0,0000
3sat_163.cnf,3,0,3,0,0,True,True,True,18.501433050259948,35.27130982889302,19.89957845568036,0.17073550857327172,0111
3sat_164.cnf,3,0,3,0,0,True,True,True,26.31007248768583,60.3659494955597,26.891285571890574,0.21301141691881467,0000
3sat_165.cnf,3,3,0,0,0,True,True,True,5.116305225994438,0.4196154955596924,0.33054476805652183,0.021803778386520374,1111
3sat_166.cnf,0,0,0,0,0,True,True,False,60.0,60.38139316222635,60.0,0.0,0000
3sat_167.cnf,3,0,3,0,0,True,True,True,9.51387830125168,13.27350116222636,12.589511191627631,0.05761057219056596,1111
3sat_168.cnf,0,0,0,0,0,True,True,False,60.0,60.37868382889303,60.0,0.0,0000
3sat_169.cnf,0,0,0,0,0,True,True,False,60.0,60.37091116222636,60.0,0.0,0000
3sat_17.cnf,0,0,0,0,0,True,True,False,60.0,60.36302849555969,60.0,0.0,0000
3sat_170.cnf,0,0,0,0,0,True,True,False,60.0,60.40269423980205,60.0,0.0,0000
3sat_171.cnf,0,0,0,0,0,True,True,False,60.0,60.39776923980204,60.0,0.0,0000
3sat_172.cnf,0,0,0,0,0,True,True,False,60.0,60.40451857313538,60.0,0.0,0000
3sat_173.cnf,0,0,0,0,0,True,True,False,60.0,60.40367157313538,60.0,0.0,0000
3sat_174.cnf,0,0,0,0,0,True,True,False,60.0,60.40747557313538,60.0,0.0,0000
3sat_175.cnf,3,0,3,0,0,True,True,True,18.44206083472818,60.39777023980204,20.208785313802462,0.1508407329244089,0000
3sat_176.cnf,3,3,0,0,0,True,True,True,6.5517137493006885,1.873989573135376,1.4700744763637583,0.017822522104628293,1111
3sat_177.cnf,0,0,0,0,0,True,True,False,60.0,60.41022557313537,60.0,0.0,0000
3sat_178.cnf,0,0,0,0,0,True,True,False,60.0,60.411294906468704,60.0,0.0,0000
3sat_179.cnf,3,0,3,0,0,True,True,True,6.8405946479178965,60.41037790646871,10.447799766591439,0.027739408478074237,0000
3sat_18.cnf,0,0,0,0,0,True,True,False,60.0,60.37757800723775,60.0,0.0,0000
3sat_180.cnf,3,0,3,0,0,True,True,True,48.25100433407352,17.07397167390442,41.730622103748225,0.38943332981885304,1111
3sat_181.cnf,3,3,0,0,0,True,True,True,18.15594138391316,2.257087340571086,1.7476368721884985,0.015139422867935484,1111
3sat_182.cnf,0,0,0,0,0,True,True,False,60.0,60.384516673904415,60.0,0.0,0000
3sat_183.cnf,0,0,0,0,0,True,True,False,60.0,60.370353673904425,60.0,0.0,0000
3sat_184.cnf,0,0,0,0,0,True,True,False,60.0,60.39154767390442,60.0,0.0,0000
3sat_185.cnf,0,0,0,0,0,True,True,False,60.0,60.36884500723775,60.0,0.0,0000
3sat_186.cnf,0,0,0,0,0,True,True,False,60.0,60.374134673904415,60.0,0.0,0000
3sat_187.cnf,0,0,0,0,0,True,True,False,60.0,60.38194200723776,60.0,0.0,0000
3sat_188.cnf,0,0,0,0,0,True,True,False,60.0,31.987218340571086,60.0,0.0,0011
3sat_189.cnf,3,0,3,0,0,True,True,True,18.62347537931055,17.35591796470642,19.758356371739257,0.2538583326598744,0111
3sat_19.cnf,3,3,0,0,0,True,True,True,0.5883188471198082,1.431974298039754,1.1233046273700893,0.012390062749751915,1111
3sat_190.cnf,3,3,0,0,0,True,True,True,0.5868944441899657,0.4072512980397542,0.28613560801992816,0.005481434669139717,1111
3sat_191.cnf,3,0,3,0,0,True,True,True,6.9544531889259815,60.36456629803976,10.235838218747327,0.0427189586791656,0000
3sat_192.cnf,0,0,0,0,0,True,True,False,60.0,60.38362829803975,60.0,0.0,0000
3sat_193.cnf,0,0,0,0,0,True,True,False,60.0,60.36790629803976,60.0,0.0,0000
3sat_194.cnf,0,0,0,0,0,True,True,False,60.0,60.371864631373086,60.0,0.0,0000
3sat_195.cnf,3,0,3,0,0,True,True,True,47.50026782695204,60.36918429803975,43.65490927640349,0.41887233173102895,0000
3sat_196.cnf,3,0,3,0,0,True,True,True,2.9408471388742328,11.82615796470642,7.282372645102441,0.017347103006320103,1111
3sat_197.cnf,0,0,0,0,0,True,True,False,60.0,60.36797496470641,60.0,0.0,0000
3sat_198.cnf,0,0,0,0,0,True,True,False,60.0,60.38166672647094,60.0,0.0,0000
3sat_199.cnf,0,0,0,0,0,True,True,False,60.0,60.38793305980428,60.0,0.0,0000
3sat_2.cnf,0,0,0,0,0,True,True,False,60.0,60.38628305980428,60.0,0.0,0000
3sat_20.cnf,3,0,3,0,0,True,True,True,1.4493690188974142,12.50511805980428,6.145341508400937,0.01116208095388262,1111
3sat_21.cnf,0,0,0,0,0,True,True,False,60.0,60.39395572647095,60.0,0.0,0000
3sat_22.cnf,3,3,0,0,0,True,True,True,18.592141778673977,1.789797393137614,1.4032348751400907,0.011205127523249817,1111
3sat_23.cnf,0,0,0,0,0,True,True,False,60.0,60.37929705980428,60.0,0.0,0000
3sat_24.cnf,3,3,0,0,0,True,True,True,0.6385623048990965,4.476213726470948,3.4446821679982045,0.015621308420425382,1111
3sat_25.cnf,3,3,0,3,0,True,True,False,60.0,1.556499393137614,1.2091068477990727,0.019984801761240137,1111
3sat_26.cnf,0,0,0,0,0,True,True,False,60.0,60.38589372647095,60.0,0.0,0000
3sat_27.cnf,3,3,0,0,0,True,True,True,1.191111512016505,0.6118038609619142,0.4506777389906347,0.027111382786074008,1111
3sat_28.cnf,3,0,3,0,0,True,True,True,17.859642781782895,60.41163886096192,19.40605995291844,0.14414253031173427,0000
3sat_29.cnf,3,0,3,0,0,True,True,True,36.56515139807016,60.40492586096192,35.41095901948089,0.2545328746396745,0000
3sat_3.cnf,0,0,0,0,0,True,True,False,60.0,60.39980086096191,60.0,0.0,0000
3sat_30.cnf,3,0,3,0,0,True,True,True,18.332298184745014,60.40358052762858,19.440875115804374,0.1622724339773701,0000
3sat_31.cnf,0,0,0,0,0,True,True,False,60.0,60.37781986096192,60.0,0.0,0000
3sat_32.cnf,0,0,0,0,0,True,True,False,60.0,60.38994819429524,60.0,0.0,0000
3sat_33.cnf,0,0,0,0,0,True,True,False,60.0,60.393240527628585,60.0,0.0,0000
3sat_34.cnf,0,0,0,0,0,True,True,False,60.0,60.41582919429524,60.0,0.0,0000
3sat_35.cnf,0,0,0,0,0,True,True,False,60.0,60.40492719429525,60.0,0.0,0000
3sat_36.cnf,0,0,0,0,0,True,True,False,60.0,60.38705329456075,60.0,0.0,0000
3sat_37.cnf,0,0,0,0,0,True,True,False,60.0,60.39451896122742,60.0,0.0,0000
3sat_38.cnf,0,0,0,0,0,True,True,False,60.0,60.38149996122741,60.0,0.0,0000
3sat_39.cnf,0,0,0,0,0,True,True,False,60.0,60.37640962789408,60.0,0.0,0000
3sat_4.cnf,3,0,3,0,0,True,True,True,46.46183716319501,60.393045961227415,43.23842608463019,0.33805460612215094,0000
3sat_40.cnf,0,0,0,0,0,True,True,False,60.0,60.38616529456075,60.0,0.0,0000
3sat_41.cnf,0,0,0,0,0,True,True,False,60.0,60.393885294560754,60.0,0.0,0000
3sat_42.cnf,0,0,0,0,0,True,True,False,60.0,60.38234396122741,60.0,0.0,0000
3sat_43.cnf,0,0,0,0,0,True,True,False,60.0,60.379377294560754,60.0,0.0,0000
3sat_44.cnf,0,0,0,0,0,True,True,False,60.0,60.385316294560745,60.0,0.0,0000
3sat_45.cnf,0,0,0,0,0,True,True,False,60.0,60.38082615542603,60.0,0.0,0000
3sat_46.cnf,3,3,0,0,0,True,True,True,1.459800926968455,0.606965822092692,0.46682354249060154,0.03155254812318933,1111
3sat_47.cnf,3,3,0,0,0,True,True,True,0.6218615197576582,2.872840155426025,2.2462204988114536,0.024998262486764643,1111
3sat_48.cnf,2,0,2,2,0,False,False,False,60.0,60.389411155426025,59.74828377676507,0.20967583474329127,0000
3sat_49.cnf,0,0,0,0,0,True,True,False,60.0,60.37737248875936,60.0,0.0,0000
3sat_5.cnf,0,0,0,0,0,True,True,False,60.0,60.372874155426025,60.0,0.0,0000
3sat_50.cnf,0,0,0,0,0,True,True,False,60.0,60.37882115542603,60.0,0.0,0000
3sat_51.cnf,0,0,0,0,0,True,True,False,60.0,60.38896482209268,60.0,0.0,0000
3sat_52.cnf,0,0,0,0,0,True,True,False,60.0,60.36120148875936,60.0,0.0,0000
3sat_53.cnf,0,0,0,0,0,True,True,False,60.0,60.37375115542603,60.0,0.0,0000
3sat_54.cnf,3,0,3,0,0,True,True,True,5.030556058045477,22.48909580336507,9.019390289050838,0.027731887985012103,1111
3sat_55.cnf,0,0,0,0,0,True,True,False,60.0,60.345971803365074,60.0,0.0,0000
3sat_56.cnf,3,0,3,0,0,True,True,True,18.39492767164484,60.35589380336506,19.876226000177365,0.15937644480075544,0000
3sat_57.cnf,3,0,3,0,0,True,True,True,47.37102061184123,60.35924880336509,44.22866441573327,0.4058328496525532,0000
3sat_58.cnf,3,0,3,0,0,True,True,True,6.990795596968383,60.36477880336506,10.394019302756837,0.03645485749747653,0000
3sat_59.cnf,3,0,3,0,0,True,True,True,0.5967489751055837,60.36388180336508,5.4813153973470135,0.007757745006930739,0000
