cadical_result,cadical_solved,cadical_time,cadical_wall_time,file,file_key,local_actual_wall_time,local_cpu_time_reported,local_external_timeout,local_result,local_solved,local_stage,local_total_time_reported,local_wall_time,portfolio_solved,portfolio_time
UNKNOWN,False,55.0,55.007731975987554,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_0.cnf,3sat_0.cnf,5.037986976560205,4.717183642089367,True,TIMEOUT,False,final,4.8576943744044305,5.0,False,60.0
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_1.cnf,3sat_1.cnf,2.498011650983244,2.1908,False,SATISFIABLE,True,final,2.326609500289917,2.498011650983244,True,2.498011650983244
SATISFIABLE,True,0.49097047839313745,0.49097047839313745,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_10.cnf,3sat_10.cnf,5.035353714134544,4.765439616981894,True,TIMEOUT,False,final,4.880141470787436,5.0,True,5.4909704783931375
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_100.cnf,3sat_100.cnf,0.3301057037897408,0.047476,False,SATISFIABLE,True,final,0.1675276175994873,0.3301057037897408,True,0.3301057037897408
UNKNOWN,False,55.0,55.00779775297269,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_101.cnf,3sat_101.cnf,5.036364695057273,4.684268320910633,True,TIMEOUT,False,final,4.868520171084583,5.0,False,60.0
UNKNOWN,False,55.0,55.00818735174835,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_102.cnf,3sat_102.cnf,5.036118313670158,4.734253741335124,True,TIMEOUT,False,final,4.862018621614665,5.0,False,60.0
UNKNOWN,False,55.0,55.00691323587671,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_103.cnf,3sat_103.cnf,5.036329976283014,4.731558489613235,True,TIMEOUT,False,final,4.855494205601394,5.0,False,60.0
UNKNOWN,False,55.0,55.007635559886694,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_104.cnf,3sat_104.cnf,5.036263240966946,4.733279868029058,True,TIMEOUT,False,final,4.863026864824712,5.0,False,60.0
UNKNOWN,False,55.0,55.00722128804773,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_105.cnf,3sat_105.cnf,5.03721763798967,4.73265068186447,True,TIMEOUT,False,final,4.861688368769378,5.0,False,60.0
UNKNOWN,False,55.0,55.00743370084092,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_106.cnf,3sat_106.cnf,5.036654739174992,4.731839111074805,True,TIMEOUT,False,final,4.868424616003394,5.0,False,60.0
UNKNOWN,False,55.0,55.00575383659452,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_107.cnf,3sat_107.cnf,5.038017084822059,4.728842236101627,True,TIMEOUT,False,final,4.8599376430840495,5.0,False,60.0
UNKNOWN,False,55.0,55.0064069959335,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_108.cnf,3sat_108.cnf,5.038129853084683,4.685531934257597,True,TIMEOUT,False,final,4.872346816352934,5.0,False,60.0
UNKNOWN,False,55.0,55.006763896439224,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_109.cnf,3sat_109.cnf,5.03698189323768,4.739808551967144,True,TIMEOUT,False,final,4.861085342204571,5.0,False,60.0
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_11.cnf,3sat_11.cnf,1.3994809798896313,1.08891,False,SATISFIABLE,True,final,1.2235254954071046,1.3994809798896313,True,1.3994809798896313
UNKNOWN,False,55.0,55.00615852326155,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_110.cnf,3sat_110.cnf,5.038141358178109,4.729363540653139,True,TIMEOUT,False,final,4.862065532031924,5.0,False,60.0
SATISFIABLE,True,53.90221566474065,53.90221566474065,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_111.cnf,3sat_111.cnf,5.036374966613948,4.72945099323988,True,TIMEOUT,False,final,4.873758352004528,5.0,True,58.90221566474065
UNKNOWN,False,55.0,55.00638307631016,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_112.cnf,3sat_112.cnf,5.036482127849013,4.734635572414845,True,TIMEOUT,False,final,4.863578824947804,5.0,False,60.0
UNKNOWN,False,55.0,55.00682952674106,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_113.cnf,3sat_113.cnf,5.036226489115506,4.734648136887699,True,TIMEOUT,False,final,4.869708509949833,5.0,False,60.0
UNKNOWN,False,55.0,55.00709654809907,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_114.cnf,3sat_114.cnf,5.0372296972200274,4.732965820003301,True,TIMEOUT,False,final,4.862651620647222,5.0,False,60.0
UNKNOWN,False,55.0,55.00443712994456,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_115.cnf,3sat_115.cnf,5.0356247536838055,4.705169388093054,True,TIMEOUT,False,final,4.870465379365027,5.0,False,60.0
UNKNOWN,False,55.0,55.00646177306771,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_116.cnf,3sat_116.cnf,5.0349904843606055,4.773603568784893,True,TIMEOUT,False,final,4.872868741712749,5.0,False,60.0
UNKNOWN,False,55.0,55.00661547994241,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_117.cnf,3sat_117.cnf,5.036309125367552,4.77030991576612,True,TIMEOUT,False,final,4.872805087290168,5.0,False,60.0
UNKNOWN,False,55.0,55.00680047692731,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_118.cnf,3sat_118.cnf,5.036084985360503,4.764242289587855,True,TIMEOUT,False,final,4.877563263754725,5.0,False,60.0
