cadical_result,cadical_solved,cadical_time,cadical_wall_time,file,file_key,local_actual_wall_time,local_cpu_time_reported,local_external_timeout,local_result,local_solved,local_stage,local_total_time_reported,local_wall_time,portfolio_solved,portfolio_time
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_120.cnf,3sat_120.cnf,0.8216748228296638,0.527304,False,SATISFIABLE,True,final,0.6504523961334229,0.8216748228296638,True,0.8216748228296638
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_121.cnf,3sat_121.cnf,1.377166067250073,1.08093,False,SATISFIABLE,True,final,1.210400931625366,1.377166067250073,True,1.377166067250073
SATISFIABLE,True,5.381590801291168,5.381590801291168,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_122.cnf,3sat_122.cnf,5.037867681588978,4.7091005011461675,True,TIMEOUT,False,final,4.870136035905689,5.0,True,10.381590801291168
SATISFIABLE,True,1.1482562948949635,1.1482562948949635,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_123.cnf,3sat_123.cnf,5.036750301253051,4.730285232886672,True,TIMEOUT,False,final,4.866710165870071,5.0,True,6.1482562948949635
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_124.cnf,3sat_124.cnf,0.27937488816678524,0.009839,False,SATISFIABLE,True,final,0.13052579823303223,0.27937488816678524,True,0.27937488816678524
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_125.cnf,3sat_125.cnf,2.7330263718031347,2.43466,False,SATISFIABLE,True,final,2.560743542312622,2.7330263718031347,True,2.7330263718031347
UNKNOWN,False,55.0,55.00598239572719,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_126.cnf,3sat_126.cnf,5.036703417077661,4.718930138275027,True,TIMEOUT,False,final,4.862828371246219,5.0,False,60.0
SATISFIABLE,True,43.299486845731735,43.299486845731735,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_127.cnf,3sat_127.cnf,5.0369808953255415,4.554336708970368,True,TIMEOUT,False,final,4.7224797558453675,5.0,True,48.299486845731735
SATISFIABLE,True,2.1521025439724326,2.1521025439724326,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_128.cnf,3sat_128.cnf,5.037300223950297,4.728384282905608,True,TIMEOUT,False,final,4.874858456077606,5.0,True,7.152102543972433
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_129.cnf,3sat_129.cnf,0.9180871960707009,0.61293,False,SATISFIABLE,True,final,0.7455644407196045,0.9180871960707009,True,0.9180871960707009
SATISFIABLE,True,38.45921102585271,38.45921102585271,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_13.cnf,3sat_13.cnf,5.036846366710961,4.731017664074898,True,TIMEOUT,False,final,4.860369510464668,5.0,True,43.45921102585271
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_130.cnf,3sat_130.cnf,3.766571380198002,3.46092,False,SATISFIABLE,True,final,3.5948055173339846,3.766571380198002,True,3.766571380198002
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_131.cnf,3sat_131.cnf,2.840121990069747,2.53407,False,SATISFIABLE,True,final,2.6739543239593506,2.840121990069747,True,2.840121990069747
,False,,,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_132.cnf,3sat_132.cnf,0.32818426890298724,0.035615,False,SATISFIABLE,True,final,0.16574888648986816,0.32818426890298724,True,0.32818426890298724
UNKNOWN,False,55.0,55.00684768194333,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_133.cnf,3sat_133.cnf,5.037218367215246,4.710095867048949,True,TIMEOUT,False,final,4.868251031996459,5.0,False,60.0
UNKNOWN,False,55.0,55.007144573144615,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_134.cnf,3sat_134.cnf,5.036913617979735,4.7249707956798375,True,TIMEOUT,False,final,4.8755753291881385,5.0,False,60.0
UNKNOWN,False,55.0,55.00632252916694,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_135.cnf,3sat_135.cnf,5.038683889899403,4.738518660888076,True,TIMEOUT,False,final,4.875859890181899,5.0,False,60.0
