size,method,solved,total,mean_time,median_time,delta_solved_vs_one_shot,delta_mean_time_vs_one_shot
300,one_shot,200,200,15.311458525441285,14.098938780441284,0,0.0
300,online_consistent,200,200,7.272318541766663,6.060745320495605,0,-8.039139983674623
350,one_shot,108,200,43.74057890627808,57.103738091278075,0,0.0
350,online_consistent,109,200,33.81538021931961,40.06517029348755,1,-9.925198686958474
