file,Result,time,wall_time,external_timeout,returncode,stdout_head,stderr_head
/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_14.cnf,SATISFIABLE,1.1307873576879501,1.1307873576879501,False,10,"['s SATISFIABLE', 'v 1 2 -3 -4 5 6 7 -8 -9 -10 -11 -12 -13 14 15 -16 -17 -18 19 20 -21 22 23 -24', 'v -25 -26 27 28 -29 -30 -31 -32 33 34 35 36 37 -38 39 40 41 42 43 44 45 -46']",[]
/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_138.cnf,SATISFIABLE,29.99088506307453,29.99088506307453,False,10,"['s SATISFIABLE', 'v -1 2 3 4 -5 -6 -7 8 -9 -10 -11 -12 -13 -14 15 -16 -17 -18 -19 20 21 -22 -23', 'v 24 25 26 -27 -28 29 -30 31 -32 33 -34 35 -36 37 -38 -39 40 41 -42 -43 44 -45']",[]
/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_133.cnf,UNKNOWN,55.0,55.007245528977364,False,0,['c UNKNOWN'],[]
/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_134.cnf,UNKNOWN,55.0,55.00661812722683,False,0,['c UNKNOWN'],[]
/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_135.cnf,UNKNOWN,55.0,55.00680826371536,False,0,['c UNKNOWN'],[]
/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_136.cnf,UNKNOWN,55.0,55.00618716701865,False,0,['c UNKNOWN'],[]
/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_137.cnf,UNKNOWN,55.0,55.00628181407228,False,0,['c UNKNOWN'],[]
/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_139.cnf,UNKNOWN,55.0,55.00643391394988,False,0,['c UNKNOWN'],[]
/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_140.cnf,UNKNOWN,55.0,55.006490838713944,False,0,['c UNKNOWN'],[]
/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_148.cnf,SATISFIABLE,21.360831134021282,21.360831134021282,False,10,"['s SATISFIABLE', 'v -1 -2 3 -4 -5 6 7 8 -9 10 -11 12 -13 -14 15 16 17 18 -19 20 21 22 -23 24 -25', 'v -26 27 28 -29 30 -31 32 33 34 -35 -36 -37 -38 39 -40 -41 42 43 44 45 46 -47']",[]
