file_key,one_shot_solved_seeds,one_shot_solved,one_shot_time_mean,one_shot_time_std,one_shot_result_values,online_solved_seeds,online_solved,online_time_mean,online_time_std,online_result_values,old_compact_solved_seeds,old_compact_solved,old_compact_time_mean,old_compact_time_std,old_compact_result_values,local_correction_solved_seeds,local_correction_solved,local_correction_time_mean,local_correction_time_std,local_correction_result_values,pattern,pattern_label,stable_across_seeds_all_methods,old_minus_online_time_mean,local_minus_online_time_mean,local_minus_old_time_mean,cadical_result,cadical_solved,cadical_time,cadical_wall_time,external_timeout_x,returncode_x,file,local_stage1_solved,Result,stage2_solved,stage2_time,wall_time,external_timeout_y,returncode_y,stage2_run,portfolio_solved,portfolio_time,mode,first_cap,second_cap,portfolio_only_vs_cadical,cadical_only_vs_portfolio
3sat_107.cnf,0,False,60.330470517349234,0.0590429603450923,INDETERMINATE,0,False,60.39018169209289,0.0284185853095928,INDETERMINATE,0,False,60.40625553219096,0.0071573900319017,INDETERMINATE,0,False,60.41776832716878,0.0263752806202292,INDETERMINATE,0000,p0000,True,0.0160738400980733,0.0275866350758917,0.0115127949778184,UNKNOWN,False,60.0,60.00592140294612,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_107.cnf,False,UNKNOWN,False,55.0,55.007730823010206,False,0.0,True,False,60.0,full,5.0,55.0,False,False
3sat_108.cnf,0,False,60.34300385068258,0.0616608897938098,INDETERMINATE,0,False,60.38857802542623,0.0197846105620304,INDETERMINATE,0,False,60.39592086552429,0.0090450297402372,INDETERMINATE,0,False,60.41362466050212,0.0270790734702045,INDETERMINATE,0000,p0000,True,0.0073428400980617,0.0250466350758884,0.0177037949778267,UNKNOWN,False,60.0,60.00794276827946,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_108.cnf,False,UNKNOWN,False,55.0,55.0062752389349,False,0.0,True,False,60.0,full,5.0,55.0,False,False
3sat_109.cnf,0,False,60.33633718401591,0.0690630249788915,INDETERMINATE,0,False,60.396344692092896,0.0241205963318807,INDETERMINATE,0,False,60.40019353219096,0.0085882444164766,INDETERMINATE,0,False,60.417004327168776,0.0194324952868031,INDETERMINATE,0000,p0000,True,0.0038488400980654,0.02065963507588,0.0168107949778146,UNKNOWN,False,60.0,60.00774123100564,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_109.cnf,False,UNKNOWN,False,55.0,55.00716978497803,False,0.0,True,False,60.0,full,5.0,55.0,False,False
3sat_11.cnf,3,True,1.7300538506825764,0.0690327006485529,SATISFIABLE,3,True,1.802338692092896,0.0112912603802153,SATISFIABLE,3,True,1.8321761988576253,0.0240949251739931,SATISFIABLE,3,True,1.827014660502116,0.0079537320326419,SATISFIABLE,1111,p1111,True,0.0298375067647296,0.0246759684092203,-0.0051615383555092,SATISFIABLE,True,17.923918209969997,17.923918209969997,False,10,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_11.cnf,True,,False,55.0,,,,False,True,1.827014660502116,full,5.0,55.0,False,False
3sat_110.cnf,0,False,60.32933718401591,0.0621589282984555,INDETERMINATE,0,False,60.38851602542624,0.0205773709574077,INDETERMINATE,0,False,60.42716219885764,0.0022023083291342,INDETERMINATE,0,False,60.42402299383545,0.0373520361553325,INDETERMINATE,0000,p0000,True,0.0386461734314025,0.0355069684092157,-0.0031392050221867,UNKNOWN,False,60.0,60.00867148302496,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_110.cnf,False,UNKNOWN,False,55.0,55.00769062107429,False,0.0,True,False,60.0,full,5.0,55.0,False,False
3sat_111.cnf,0,False,60.34090385068257,0.0497640243475911,INDETERMINATE,0,False,60.39098769209289,0.0387728636434522,INDETERMINATE,0,False,60.40654353219096,0.0081158509065686,INDETERMINATE,0,False,60.42047099383546,0.0254495620348737,INDETERMINATE,0000,p0000,True,0.0155558400980666,0.0294833017425659,0.0139274616444993,UNKNOWN,False,60.0,60.00706844497472,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_111.cnf,False,SATISFIABLE,True,54.18845927203074,54.18845927203074,False,10.0,True,True,59.18845927203074,full,5.0,55.0,True,False
3sat_112.cnf,0,False,60.33037051734925,0.0565768903396016,INDETERMINATE,0,False,60.388801358759565,0.0256095106779657,INDETERMINATE,0,False,60.408218532190965,0.011291656768157,INDETERMINATE,0,False,60.41818966050212,0.0339698386544598,INDETERMINATE,0000,p0000,True,0.0194171734313997,0.02938830174255,0.0099711283111503,UNKNOWN,False,60.0,60.008135464042425,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_112.cnf,False,UNKNOWN,False,55.0,55.005933948326856,False,0.0,True,False,60.0,full,5.0,55.0,False,False
3sat_113.cnf,0,False,60.334270517349246,0.0541298702832753,INDETERMINATE,0,False,60.392649692092895,0.0212317939854027,INDETERMINATE,0,False,60.40941519885763,0.0180638977105349,INDETERMINATE,0,False,60.42196766050211,0.0329226471064841,INDETERMINATE,0000,p0000,True,0.0167655067647345,0.0293179684092166,0.012552461644482,UNKNOWN,False,60.0,60.00611898582429,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_113.cnf,False,UNKNOWN,False,55.0,55.00660251500085,False,0.0,True,False,60.0,full,5.0,55.0,False,False
3sat_114.cnf,0,False,60.33703718401591,0.0615209595959734,INDETERMINATE,0,False,60.40221169209289,0.0214207813538916,INDETERMINATE,0,False,60.39207753219096,0.0073466423313814,INDETERMINATE,0,False,60.412501327168776,0.0414095264498279,INDETERMINATE,0000,p0000,True,-0.0101341599019306,0.0102896350758854,0.0204237949778161,UNKNOWN,False,60.0,60.007790486793965,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_114.cnf,False,UNKNOWN,False,55.0,55.0066879959777,False,0.0,True,False,60.0,full,5.0,55.0,False,False
3sat_115.cnf,0,False,60.34620385068258,0.056759909242584,INDETERMINATE,0,False,60.38999735875956,0.0284828304306221,INDETERMINATE,0,False,60.40247853219096,0.0168425326882039,INDETERMINATE,0,False,60.39914532716878,0.0246562557953283,INDETERMINATE,0000,p0000,True,0.0124811734314036,0.0091479684092234,-0.0033332050221801,UNKNOWN,False,60.0,60.00794344488531,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_115.cnf,False,UNKNOWN,False,55.0,55.00687615480274,False,0.0,True,False,60.0,full,5.0,55.0,False,False
