size,split,file_key,base_result,base_solved,base_time,base_cpu_time,base_gpu_time,base_conflicts,base_decisions,base_propagations,old_result,old_solved,old_time,old_cpu_time,old_gpu_time,old_conflicts,old_decisions,old_propagations,pairwise_result,pairwise_solved,pairwise_time,pairwise_cpu_time,pairwise_gpu_time,pairwise_conflicts,pairwise_decisions,pairwise_propagations,new_result,new_solved,new_time,new_cpu_time,new_gpu_time,new_conflicts,new_decisions,new_propagations,delta_time_vs_base,delta_conflicts_vs_base,outcome_vs_base,delta_time_vs_old,delta_conflicts_vs_old,outcome_vs_old,delta_time_vs_pairwise,delta_conflicts_vs_pairwise,outcome_vs_pairwise,difficulty_bucket,cnf_id,risk_prob,recovery_prob,slowdown_prob,selector_use_adapter,warmup_c2000_event_entropy_norm,warmup_c2000_event_top10_mass,warmup_c2000_rho_event_corr,warmup_c2000_delta_abs_mean,warmup_c2000_event_conf_learnt_log_max,old_original_use_adapter,old_on_new_cache_risk_prob,old_on_new_cache_recovery_prob,old_on_new_cache_slowdown_prob,old_on_new_cache_use_adapter,old_on_new_cache_risk_threshold,old_on_new_cache_recovery_threshold,old_on_new_cache_slowdown_threshold,old_on_new_cache_risk_margin,old_on_new_cache_recovery_margin,new_risk_prob,new_recovery_prob,new_slowdown_prob,new_use_adapter,new_risk_threshold,new_recovery_threshold,new_slowdown_threshold,new_risk_margin,new_recovery_margin,new_slowdown_margin,new_use_adapter_actual,decision_change,old_weight_cache_shift,diagnosis,new_minus_old_time,new_minus_base_time,adapter_observed_for_threshold_sweep,adapter_observation_source,local_closed_old_label,local_closed_old_reason,local_closed_old_weight,local_closed_old_labelled,local_old_gain_vs_new,local_new_gain_vs_base,local_old_gain_vs_base
400,data/test/3sat/400,3sat_173.cnf,INDETERMINATE,False,60.81281999320984,59.9847,0.8281199932098389,1687625.0,1931607.0,96515543.0,INDETERMINATE,False,60.9519517117157,59.9769,0.9045627117156982,1705532.0,1951090.0,97126931.0,INDETERMINATE,False,61.09358033409119,59.9948,1.0186803340911863,1653371.0,1891784.0,94333281.0,INDETERMINATE,False,61.10291719752503,59.9682,1.0656301975250244,1690823.0,1935246.0,96699581.0,0.2900972043151881,3198.0,both_timeout,0.1509654858093299,-14709.0,both_timeout,0.0093368634338375,37452.0,both_timeout,timeout,83,0.20591417,0.63771415,0.04214745,0,0.8901464343070984,0.4514152109622955,-0.1009785234928131,0.0343383848667144,7.090909957885742,1,0.23192029,0.99845827,,1,0.7952608466148375,0.5980716943740845,,-0.5633405596017836,0.4003865718841553,0.20591417,0.63771415,0.04214745,0,0.7644651159644127,0.7578478455543518,0.2329548150300979,-0.5585509464144707,-0.1201336979866027,-0.1908073648810386,0,new_closed_old_on,both_on,边界变化但 outcome 不显著,0.1509654858093299,0.2900972043151881,1,old_compact_proxy,,neutral,0.0,False,0.1509654858093299,-0.29009720431518815,-0.13913171850585826
400,data/test/3sat/400,3sat_183.cnf,INDETERMINATE,False,60.82261999320984,59.9945,0.8281199932098389,1780115.0,2031789.0,99605341.0,INDETERMINATE,False,60.9468607117157,59.9763,0.9045627117156982,1673146.0,1914596.0,94405508.0,INDETERMINATE,False,60.3711616373291,59.9735,0.3200626373291015,1672748.0,1914161.0,94382213.0,INDETERMINATE,False,60.3602361287384,59.9903,0.2995331287384033,1782196.0,2034138.0,99725601.0,-0.4623838644714411,2081.0,both_timeout,-0.5866245829773007,109050.0,both_timeout,-0.0109255085907022,109448.0,both_timeout,timeout,94,0.39363027,0.002002626,0.8402484,0,0.8842137455940247,0.4702903628349304,0.2335304319858551,0.0354128330945968,7.025538444519043,1,0.51565695,0.7822536,,1,0.7952608466148375,0.5980716943740845,,-0.2796038985252379,0.1841819286346435,0.39363027,0.002002626,0.8402484,0,0.7644651159644127,0.7578478455543518,0.2329548150300979,-0.3708348497748375,-0.7558452195953578,0.6072935909032822,0,new_closed_old_on,both_on,边界变化但 outcome 不显著,-0.5866245829773007,-0.4623838644714411,1,old_compact_proxy,,neutral,0.0,False,-0.5866245829773007,0.4623838644714411,-0.1242407185058596
400,data/test/3sat/400,3sat_188.cnf,INDETERMINATE,False,60.80111999320984,59.973,0.8281199932098389,1827869.0,2084183.0,104202064.0,SATISFIABLE,True,26.351198711715696,25.3877,0.9045627117156982,892642.0,1020150.0,51846480.0,INDETERMINATE,False,60.35733263732911,59.9804,0.3200626373291015,1838195.0,2096034.0,104782455.0,SATISFIABLE,True,25.62994512873841,25.2786,0.2995331287384033,892642.0,1020150.0,51846480.0,-35.171174864471425,-935227.0,recovered_timeout,-0.7212535829772868,0.0,faster_both_solved,-34.727387508590695,-945553.0,recovered_timeout,timeout,99,0.26349407,0.75445163,0.01887627,0,0.8782775402069092,0.4770383238792419,0.2096367627382278,0.0336120091378688,7.182352066040039,1,0.25857916,0.923856,,1,0.7952608466148375,0.5980716943740845,,-0.5366816818714141,0.3257843255996704,0.26349407,0.75445163,0.01887627,0,0.7644651159644127,0.7578478455543518,0.2329548150300979,-0.5009710416197777,-0.0033962130546569,-0.2140785455703735,0,new_closed_old_on,both_on,新 selector 关闭旧 compact 曾开启的 adapter，退回路径反而加速,-0.7212535829772868,-35.171174864471425,1,old_compact_proxy,0,keep_closed,8.0,True,-0.7212535829772868,35.171174864471425,34.44992128149414
400,data/test/3sat/400,3sat_196.cnf,SATISFIABLE,True,25.112878266525268,24.3387,0.7741782665252686,885139.0,1017689.0,51832819.0,SATISFIABLE,True,10.317234207504272,9.25905,0.9777162075042723,339864.0,392433.0,20520894.0,SATISFIABLE,True,10.372671436340331,9.48022,0.829289436340332,339864.0,392433.0,20520894.0,SATISFIABLE,True,26.11590105828857,25.1966,0.8397550582885742,885139.0,1017689.0,51832819.0,1.0030227917633034,0.0,slower_both_solved,15.7986668507843,545275.0,slower_both_solved,15.74322962194824,545275.0,slower_both_solved,medium(10-30s),108,0.5841643,0.2481659,0.43497196,0,0.8966101408004761,0.4276759922504425,0.0365009680390358,0.0346296764910221,7.061334133148193,1,0.51083153,0.7537621,,1,0.7952608466148375,0.5980716943740845,,-0.2844293117523192,0.1556904315948486,0.5841643,0.2481659,0.43497196,0,0.7644651159644127,0.7578478455543518,0.2329548150300979,-0.1803007945418357,-0.5096819400787354,0.202017143368721,0,new_closed_old_on,both_on,新 selector 关闭旧 compact 曾开启的 adapter，退回路径慢化,15.7986668507843,1.0030227917633034,1,old_compact_proxy,1,reopen_old_adapter,8.0,True,15.798666850784299,-1.0030227917633034,14.795644059020995
400,data/test/3sat/400,3sat_197.cnf,INDETERMINATE,False,60.75387826652527,59.9797,0.7741782665252686,1744001.0,1988325.0,97647571.0,INDETERMINATE,False,61.02923620750427,59.9783,0.9777162075042723,1707714.0,1954807.0,96482701.0,INDETERMINATE,False,60.893544436340335,59.9942,0.829289436340332,1650730.0,1889004.0,93297428.0,INDETERMINATE,False,60.88698005828857,59.9781,0.8397550582885742,1739816.0,1983583.0,97415587.0,0.1331017917633019,-4185.0,both_timeout,-0.1422561492156973,32102.0,both_timeout,-0.0065643780517632,89086.0,both_timeout,timeout,109,0.2966175,0.67612684,0.044524267,0,0.8804604411125183,0.4700582325458526,0.0884696468710899,0.0343977026641368,7.070724010467529,1,0.32058752,0.7065175,,1,0.7952608466148375,0.5980716943740845,,-0.4746733307838439,0.1084458231925964,0.2966175,0.67612684,0.044524267,0,0.7644651159644127,0.7578478455543518,0.2329548150300979,-0.4678476080298424,-0.081721007823944,-0.1884305477142334,0,new_closed_old_on,both_on,边界变化但 outcome 不显著,-0.1422561492156973,0.1331017917633019,1,old_compact_proxy,,neutral,0.0,False,-0.1422561492156973,-0.13310179176330195,-0.27535794097899924
400,data/test/3sat/400,3sat_23.cnf,INDETERMINATE,False,60.75387826652527,59.9797,0.7741782665252686,1658264.0,1895267.0,91861408.0,INDETERMINATE,False,61.02402820750427,59.9799,0.9777162075042723,1659933.0,1888897.0,92584925.0,INDETERMINATE,False,60.88574243634033,59.9856,0.829289436340332,1617849.0,1840627.0,90258844.0,INDETERMINATE,False,60.89322805828857,59.9847,0.8397550582885742,1657233.0,1894104.0,91803593.0,0.1393497917633013,-1031.0,both_timeout,-0.1308001492157018,-2700.0,both_timeout,0.0074856219482413,39384.0,both_timeout,timeout,116,0.25350752,0.54423684,0.11545742,0,0.8867873549461365,0.4559938907623291,-0.0532571040093898,0.0345954447984695,7.015712261199951,1,0.31272334,0.7539687,,1,0.7952608466148375,0.5980716943740845,,-0.4825375080108641,0.1558970212936401,0.25350752,0.54423684,0.11545742,0,0.7644651159644127,0.7578478455543518,0.2329548150300979,-0.5109575912356377,-0.2136110067367553,-0.1174973919987678,0,new_closed_old_on,both_on,边界变化但 outcome 不显著,-0.1308001492157018,0.1393497917633013,1,old_compact_proxy,,neutral,0.0,False,-0.13080014921570182,-0.1393497917633013,-0.27014994097900313
400,data/test/3sat/400,3sat_37.cnf,INDETERMINATE,False,60.74140643615723,59.9677,0.7737064361572266,1773344.0,2013038.0,99318374.0,INDETERMINATE,False,60.90696996730042,59.9806,0.861562967300415,1709239.0,1956878.0,95429364.0,INDETERMINATE,False,61.07400943478394,59.9889,1.0208964347839355,1748750.0,1984794.0,97961176.0,INDETERMINATE,False,60.88275522737121,59.9768,0.8444092273712158,1756467.0,1993679.0,98392366.0,0.1413487912139857,-16877.0,both_timeout,-0.0242147399292065,47228.0,both_timeout,-0.1912542074127259,7717.0,both_timeout,timeout,131,0.434724,0.03998926,0.73883224,0,0.8687078952789307,0.5054402351379395,-0.0500213541090488,0.0353407338261604,7.071573257446289,1,0.5401156,0.75456744,,1,0.7952608466148375,0.5980716943740845,,-0.2551452517509459,0.1564957499504089,0.434724,0.03998926,0.73883224,0,0.7644651159644127,0.7578478455543518,0.2329548150300979,-0.3297411128878593,-0.7178585864603519,0.5058774203062057,0,new_closed_old_on,both_on,边界变化但 outcome 不显著,-0.0242147399292065,0.1413487912139857,1,old_compact_proxy,,neutral,0.0,False,-0.02421473992920653,-0.1413487912139857,-0.16556353114319222
400,data/test/3sat/400,3sat_46.cnf,SATISFIABLE,True,30.742546820831297,29.9352,0.8073468208312988,977212.0,1110702.0,56336677.0,SATISFIABLE,True,1.0575350529327392,0.176915,0.8037960529327393,9772.0,11592.0,590576.0,SATISFIABLE,True,30.63111130049133,30.2756,0.280137300491333,977212.0,1110702.0,56336677.0,SATISFIABLE,True,29.837088877975464,29.5962,0.1864268779754638,977212.0,1110702.0,56336677.0,-0.9054579428558328,0.0,faster_both_solved,28.77955382504273,967440.0,slower_both_solved,-0.7940224225158659,0.0,faster_both_solved,hard(>=30s),141,0.5160821,0.34863493,0.40614945,0,0.887936532497406,0.455727756023407,0.0859050154685974,0.0352374464273452,7.051855564117432,1,0.5562801,0.8464164,,1,0.7952608466148375,0.5980716943740845,,-0.2389807701110838,0.2483447194099426,0.5160821,0.34863493,0.40614945,0,0.7644651159644127,0.7578478455543518,0.2329548150300979,-0.2483830079436302,-0.4092129170894623,0.1731946319341659,0,new_closed_old_on,both_on,新 selector 关闭旧 compact 曾开启的 adapter，退回路径慢化,28.77955382504273,-0.9054579428558328,1,old_compact_proxy,1,reopen_old_adapter,8.0,True,28.779553825042726,0.9054579428558327,29.68501176789856
400,data/test/3sat/400,3sat_49.cnf,INDETERMINATE,False,60.7917468208313,59.9844,0.8073468208312988,1700396.0,1947903.0,97817936.0,INDETERMINATE,False,60.85510905293274,59.9726,0.8037960529327393,1684706.0,1931946.0,96691299.0,INDETERMINATE,False,60.31950030049133,59.9582,0.280137300491333,1668527.0,1913536.0,95794704.0,INDETERMINATE,False,60.25357387797546,59.986,0.1864268779754638,1711534.0,1960640.0,98449525.0,-0.5381729428558373,11138.0,both_timeout,-0.6015351749572773,26828.0,both_timeout,-0.0659264225158651,43007.0,both_timeout,timeout,144,0.72569597,0.266947,0.5220217,0,0.8855831623077393,0.45493084192276,-0.0470906123518943,0.0347892716526985,7.015712261199951,1,0.75316846,0.9341,,1,0.7952608466148375,0.5980716943740845,,-0.0420923829078673,0.3360282778739929,0.72569597,0.266947,0.5220217,0,0.7644651159644127,0.7578478455543518,0.2329548150300979,-0.0387691482901573,-0.490900844335556,0.2890668958425522,0,new_closed_old_on,both_on,边界变化但 outcome 不显著,-0.6015351749572773,-0.5381729428558373,1,old_compact_proxy,,neutral,0.0,False,-0.6015351749572773,0.5381729428558373,-0.06336223210143999
400,data/test/3sat/400,3sat_53.cnf,INDETERMINATE,False,60.7938468208313,59.9865,0.8073468208312988,1648629.0,1878362.0,89297854.0,INDETERMINATE,False,60.85645505293274,59.9807,0.8037960529327393,1677047.0,1909071.0,93658638.0,INDETERMINATE,False,60.32647430049133,59.9729,0.280137300491333,1708366.0,1944698.0,95410953.0,INDETERMINATE,False,60.23321787797547,59.9787,0.1864268779754638,1684767.0,1919546.0,91237747.0,-0.5606289428558284,36138.0,both_timeout,-0.6232371749572678,7720.0,both_timeout,-0.0932564225158572,-23599.0,both_timeout,timeout,149,0.7625146,0.19483684,0.40706953,0,0.871110200881958,0.504264771938324,-0.0469924546778202,0.0345514714717865,7.191429138183594,1,0.7146143,0.63148147,,1,0.7952608466148375,0.5980716943740845,,-0.0806465744972227,0.0334097743034362,0.7625146,0.19483684,0.40706953,0,0.7644651159644127,0.7578478455543518,0.2329548150300979,-0.0019505247473716,-0.5630110055208206,0.1741147190332412,0,new_closed_old_on,both_on,边界变化但 outcome 不显著,-0.6232371749572678,-0.5606289428558284,1,old_compact_proxy,,neutral,0.0,False,-0.6232371749572678,0.5606289428558284,-0.0626082321014394
