solver_name,repeat,total,solved,unknown,mean_time,median_time,mean_wall_time,external_timeouts
march,0,200,192,8,26.800538662350736,28.759147722041234,27.000640092047398,8
march,1,200,192,8,26.840905287612696,28.838060683570802,27.04101235321723,8
march,2,200,192,8,26.81187743913848,28.935648534912616,27.01198173105251,8
