solver_name,file_key,repeats,solved_repeats,stable_solved,time_mean,time_min,time_max,results
march,3sat_0.cnf,1,1,True,37.75924061005935,37.75924061005935,37.75924061005935,UNSATISFIABLE
march,3sat_1.cnf,1,1,True,20.92014541709796,20.92014541709796,20.92014541709796,SATISFIABLE
march,3sat_10.cnf,1,1,True,3.345335509162396,3.345335509162396,3.345335509162396,SATISFIABLE
march,3sat_100.cnf,1,1,True,0.2981334622018039,0.2981334622018039,0.2981334622018039,SATISFIABLE
march,3sat_101.cnf,1,1,True,33.43216543318704,33.43216543318704,33.43216543318704,UNSATISFIABLE
march,3sat_102.cnf,1,0,True,60.0,60.0,60.0,UNKNOWN
march,3sat_103.cnf,1,1,True,31.814971988555044,31.814971988555044,31.814971988555044,SATISFIABLE
march,3sat_104.cnf,1,1,True,41.00638121319935,41.00638121319935,41.00638121319935,UNSATISFIABLE
march,3sat_105.cnf,1,1,True,12.206269662827252,12.206269662827252,12.206269662827252,SATISFIABLE
march,3sat_106.cnf,1,1,True,33.36772267892957,33.36772267892957,33.36772267892957,UNSATISFIABLE
march,3sat_107.cnf,1,1,True,34.61896690307185,34.61896690307185,34.61896690307185,UNSATISFIABLE
march,3sat_108.cnf,1,1,True,41.85455498704687,41.85455498704687,41.85455498704687,UNSATISFIABLE
march,3sat_109.cnf,1,1,True,34.0957368449308,34.0957368449308,34.0957368449308,UNSATISFIABLE
march,3sat_11.cnf,1,1,True,11.80367516167462,11.80367516167462,11.80367516167462,SATISFIABLE
march,3sat_110.cnf,1,1,True,47.80806237179786,47.80806237179786,47.80806237179786,UNSATISFIABLE
march,3sat_111.cnf,1,1,True,10.567260804120451,10.567260804120451,10.567260804120451,SATISFIABLE
march,3sat_112.cnf,1,1,True,32.289452572818846,32.289452572818846,32.289452572818846,UNSATISFIABLE
march,3sat_113.cnf,1,1,True,37.70425333594903,37.70425333594903,37.70425333594903,UNSATISFIABLE
march,3sat_114.cnf,1,1,True,26.9029587819241,26.9029587819241,26.9029587819241,SATISFIABLE
march,3sat_115.cnf,1,1,True,17.391268159262836,17.391268159262836,17.391268159262836,UNSATISFIABLE
march,3sat_116.cnf,1,1,True,43.709739852231,43.709739852231,43.709739852231,UNSATISFIABLE
march,3sat_117.cnf,1,1,True,32.23217350197956,32.23217350197956,32.23217350197956,UNSATISFIABLE
march,3sat_118.cnf,1,1,True,55.581695357803255,55.581695357803255,55.581695357803255,UNSATISFIABLE
march,3sat_119.cnf,1,1,True,21.3225399130024,21.3225399130024,21.3225399130024,UNSATISFIABLE
march,3sat_12.cnf,1,1,True,22.144610919989645,22.144610919989645,22.144610919989645,UNSATISFIABLE
march,3sat_120.cnf,1,1,True,0.2609601547010243,0.2609601547010243,0.2609601547010243,SATISFIABLE
march,3sat_121.cnf,1,1,True,1.9110076129436493,1.9110076129436493,1.9110076129436493,SATISFIABLE
march,3sat_122.cnf,1,1,True,12.278039888013154,12.278039888013154,12.278039888013154,SATISFIABLE
march,3sat_123.cnf,1,1,True,18.330225847195837,18.330225847195837,18.330225847195837,SATISFIABLE
march,3sat_124.cnf,1,1,True,0.3720167158171534,0.3720167158171534,0.3720167158171534,SATISFIABLE
march,3sat_125.cnf,1,1,True,1.5633089798502624,1.5633089798502624,1.5633089798502624,SATISFIABLE
