file_key,one_shot_solved,online_solved,local_correction_solved,cadical_solved_repeats,march_solved_strict60,march_wall_time,pattern
3sat_59.cnf,False,False,False,3,True,3.2690071929246187,0000
3sat_6.cnf,False,False,False,0,True,26.521487551741306,0000
3sat_60.cnf,False,False,False,3,True,21.66000551497564,0000
3sat_61.cnf,False,False,False,0,True,22.772936714813117,0000
3sat_62.cnf,False,False,False,0,True,34.730415457859635,0000
3sat_64.cnf,False,False,False,0,True,35.92007986083627,0000
3sat_66.cnf,False,False,False,0,True,26.99072800204158,0000
3sat_68.cnf,False,False,False,0,True,34.62810671469197,0000
3sat_69.cnf,False,False,False,0,True,47.54599995072931,0000
3sat_7.cnf,False,False,False,0,True,17.427957617677748,0000
3sat_71.cnf,False,False,False,0,True,36.8101113718003,0000
3sat_73.cnf,False,False,False,0,True,49.04771070368588,0000
3sat_74.cnf,False,False,False,3,True,31.12307081790641,0000
3sat_75.cnf,False,False,False,0,True,25.651976419147104,0000
3sat_76.cnf,False,False,False,3,True,27.3614089069888,0000
3sat_77.cnf,False,False,False,0,True,38.41046734293923,0000
3sat_78.cnf,False,False,False,0,True,34.78931536292657,0000
3sat_79.cnf,False,False,False,0,True,26.08189987204969,0000
3sat_8.cnf,False,False,False,0,True,46.534180735237896,0000
3sat_80.cnf,False,False,False,0,True,42.40741385985166,0000
3sat_81.cnf,False,False,False,0,True,21.678526241797957,0000
3sat_83.cnf,False,False,False,0,True,32.4908831291832,0000
3sat_84.cnf,False,False,False,3,True,0.930112258065492,0000
3sat_87.cnf,False,False,False,0,True,28.579476695973423,0000
3sat_9.cnf,False,False,False,0,True,31.92129012010992,0000
3sat_90.cnf,False,False,False,3,True,34.87471728026867,0000
3sat_95.cnf,False,False,False,0,True,33.18291913392022,0000
3sat_98.cnf,False,False,False,0,True,43.79062288906425,0000
3sat_99.cnf,False,False,False,0,True,24.409841453190893,0000
